name;automata-runtime;mata-runtime;mata-mataparsing;mata-compl;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-emptiness_check;awali-emptiness_check_result;mona-runtime;mona-mataparsing;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-complement;pyfado-emptiness;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-complement;pyautomata-lib-emptiness;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1728.0.mata;ERR;0.24; 0.172962; 0.0431081; 4.468e-06; false;0.62; 0.172521; 0.28766; 0.141019; 0.00294484; false;0.25; 0.171401; 0.014196; 0.0329609; 0.00660473; false;TO; 0.17152;ERR;ERR;ERR;ERR;1.69; 0.1119; 0.5895; 0.0037; 0.0608;1.18; 0.1142; 0.1373; 0.0011; 0.0001;2.58; 0.535316754; 0.037472023; 0.001617398; false;2.0; 0.228412373; 0.072756788; 2.8413E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1729.0.mata;ERR;0.24; 0.17158; 0.0429235; 5.819e-06; false;0.62; 0.173787; 0.287591; 0.140526; 0.00295059; false;0.25; 0.172383; 0.0143389; 0.033053; 0.00661844; false;TO; 0.173318;ERR;ERR;ERR;ERR;1.14; 0.0651; 0.3227; 0.0020; 0.0320;1.18; 0.1124; 0.1374; 0.0011; 0.0001;2.67; 0.436063966; 0.060695934; 0.002185318; false;1.68; 0.126449552; 0.065191861; 2.8022E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_173.0.mata;ERR;0.08; 0.0573365; 0.0165969; 3.652e-06; false;0.2; 0.0568442; 0.0868497; 0.0500811; 0.00254631; false;0.08; 0.0567196; 0.00431388; 0.00807021; 0.00287711; false;TO; 0.0570744;ERR;ERR;ERR;ERR;1.13; 0.0406; 0.1282; 0.0015; 0.0095;1.04; 0.0403; 0.0520; 0.0008; 0.0000;1.62; 0.184847436; 0.028714471; 0.001800647; false;1.24; 0.059191521; 0.032763059; 3.1228E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1732.0.mata;ERR;0.23; 0.171678; 0.042833; 4.254e-06; false;0.62; 0.170262; 0.286615; 0.140674; 0.00294267; false;0.25; 0.17186; 0.0145025; 0.0330695; 0.00656267; false;TO; 0.172312;ERR;ERR;ERR;ERR;1.69; 0.1134; 0.5877; 0.0037; 0.0606;1.18; 0.1129; 0.1369; 0.0011; 0.0001;2.41; 0.413082787; 0.031016945; 0.002111602; false;1.85; 0.126261672; 0.094064501; 2.5393E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1736.0.mata;ERR;0.25; 0.175634; 0.0440347; 5.557e-06; false;0.64; 0.17734; 0.295044; 0.142836; 0.00298393; false;0.15; 0.104138; 0.00907086; 0.0201276; 0.00421897; false;TO; 0.175716;ERR;ERR;ERR;ERR;1.09; 0.0646; 0.3159; 0.0020; 0.0315;0.83; 0.0617; 0.0710; 0.0006; 0.0000;2.27; 0.394613961; 0.054555267; 0.001994852; false;1.77; 0.1243161; 0.053320267; 2.6289E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1737.0.mata;ERR;0.24; 0.175671; 0.0439779; 5.587e-06; false;0.63; 0.174769; 0.29348; 0.144213; 0.00303329; false;0.26; 0.176143; 0.0145485; 0.0342184; 0.00687626; false;TO; 0.176514;ERR;ERR;ERR;ERR;1.1; 0.0647; 0.3180; 0.0019; 0.0319;1.21; 0.1147; 0.1410; 0.0011; 0.0001;2.52; 0.449221776; 0.029249375; 0.001730977; false;1.88; 0.216281041; 0.055247382; 3.4953E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1738.0.mata;ERR;0.24; 0.177509; 0.0428467; 4.56e-06; false;0.62; 0.172736; 0.286673; 0.141914; 0.0029296; false;0.25; 0.172037; 0.0142779; 0.0329116; 0.00664249; false;TO; 0.172362;ERR;ERR;ERR;ERR;1.76; 0.1170; 0.6144; 0.0038; 0.0626;1.17; 0.1117; 0.1370; 0.0011; 0.0001;2.3; 0.366282662; 0.027742382; 0.001793273; false;1.67; 0.145371437; 0.052760618; 2.5574E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1739.0.mata;ERR;0.24; 0.172932; 0.0431009; 3.957e-06; false;0.62; 0.171395; 0.289438; 0.143159; 0.00295118; false;0.25; 0.172374; 0.0144207; 0.0330122; 0.00661318; false;TO; 0.172484;ERR;ERR;ERR;ERR;1.13; 0.0638; 0.3146; 0.0019; 0.0314;1.19; 0.1177; 0.1409; 0.0012; 0.0001;2.61; 0.525407748; 0.036498513; 0.001692683; false;2.11; 0.237676251; 0.07594417; 3.1939E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1741.0.mata;ERR;0.25; 0.176836; 0.0442942; 6.322e-06; false;0.64; 0.175492; 0.295862; 0.145961; 0.00301772; false;0.26; 0.177887; 0.0147691; 0.0340704; 0.00689771; false;TO; 0.177967;ERR;ERR;ERR;ERR;1.69; 0.1127; 0.5885; 0.0037; 0.0606;1.19; 0.1125; 0.1370; 0.0011; 0.0001;2.21; 0.345011384; 0.054226781; 0.001677311; false;1.63; 0.14336433; 0.05483318; 2.9459E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1748.0.mata;ERR;0.19; 0.132142; 0.0389075; 5.178e-06; false;0.46; 0.129918; 0.208327; 0.10508; 0.00299597; false;0.2; 0.130697; 0.0102106; 0.0297428; 0.00609462; false;TO; 0.132477;ERR;ERR;ERR;ERR;1.0; 0.0480; 0.2479; 0.0017; 0.0258;0.8; 0.0479; 0.0596; 0.0005; 0.0000;2.09; 0.399519145; 0.030602558; 0.001724266; false;1.79; 0.164087138; 0.07969831; 2.7835E-5; false
