name;automata-runtime;mata-runtime;mata-mataparsing;mata-compl;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-emptiness_check;awali-emptiness_check_result;mona-runtime;mona-mataparsing;pymata-runtime;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-complement;pyfado-emptiness;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-complement;pyautomata-lib-emptiness;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance04001-1.mata;ERR;0.0; 0.000215494; 6.0175e-05; 2.471e-06; false;0.0; 0.000224081; 0.000385467; 0.000333385; 8.697e-05; false;0.0; 0.000223765; 1.9911e-05; 0.000729439; 0.000578075; false;TO; 0.000240306;ERR;0.96; 0.0063; 0.0002; 0.0001; 0.0000;0.95; 0.0063; 0.0006; 0.0001; 0.0000;0.85; 0.053530315; 0.018030496; 0.001471769; false;0.76; 0.005228878; 0.001869065; 1.4887E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance04390-1.mata;ERR;0.0; 0.000100034; 2.7215e-05; 2.539e-06; false;0.0; 0.000109613; 0.000147898; 0.000129563; 2.3086e-05; false;0.01; 0.00010437; 2.1327e-05; 0.000616173; 0.000518609; false;TO; 9.6173e-05;ERR;0.73; 0.0046; 0.0001; 0.0000; 0.0000;0.72; 0.0046; 0.0002; 0.0001; 0.0000;0.68; 0.042166681; 0.010037301; 0.001206126; false;0.63; 0.004540011; 0.001906909; 1.7375E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance04451-1.mata;ERR;0.0; 0.000119889; 4.166e-05; 3.68e-06; false;0.0; 0.000105513; 0.000150552; 0.000130972; 2.3571e-05; false;0.0; 0.000106266; 1.1878e-05; 0.000648738; 0.000499329; false;TO; 0.000103712;ERR;0.97; 0.0063; 0.0001; 0.0000; 0.0000;0.97; 0.0062; 0.0005; 0.0001; 0.0000;0.88; 0.049949722; 0.012563506; 0.001486348; false;0.8; 0.004422841; 0.001787933; 1.7803E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance05755-1.mata;ERR;0.0; 0.000110297; 2.6895e-05; 2.888e-06; false;0.0; 0.000100644; 0.000161602; 0.000131578; 2.463e-05; false;0.0; 0.000147509; 1.1634e-05; 0.000633376; 0.000534468; false;TO; 0.000109339;ERR;0.94; 0.0062; 0.0001; 0.0000; 0.0000;0.98; 0.0063; 0.0004; 0.0001; 0.0000;0.87; 0.066926536; 0.012358697; 0.001507632; false;0.81; 0.004393823; 0.001866036; 1.7169E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance05997-1.mata;ERR;0.0; 0.000695335; 0.000999396; 3.427e-06; false;0.0; 0.000716377; 0.00113492; 0.00436985; 0.00151326; false;0.01; 0.000677454; 8.1997e-05; 0.00118352; 0.000771581; false;TO; 0.000692801;ERR;0.97; 0.0069; 0.0012; 0.0004; 0.0002;0.96; 0.0069; 0.0026; 0.0010; 0.0000;0.87; 0.079099261; 0.038165814; 0.001885932; false;0.88; 0.009178405; 0.005315622; 2.0266E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-1.mata;ERR;0.0; 0.00885897; 0.00114086; 3.542e-06; false;0.01; 0.00430558; 0.00602013; 0.00618041; 0.00172436; false;0.01; 0.0041931; 0.000337637; 0.00143467; 0.000821341; false;TO; 0.00423084;ERR;0.95; 0.0087; 0.0030; 0.0004; 0.0002;0.95; 0.0088; 0.0050; 0.0011; 0.0000;0.98; 0.095597041; 0.021840967; 0.0024901; false;0.83; 0.018673961; 0.004468606; 1.8625E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-2.mata;ERR;0.0; 0.000553892; 0.00117907; 3.619e-06; false;0.0; 0.000584041; 0.0009919; 0.00466425; 0.00159148; false;0.01; 0.000560715; 7.2956e-05; 0.0012607; 0.000830618; false;TO; 0.000575139;ERR;0.96; 0.0066; 0.0012; 0.0004; 0.0001;0.95; 0.0067; 0.0026; 0.0011; 0.0000;0.95; 0.075364162; 0.028575642; 0.001704638; false;0.79; 0.008350257; 0.005014577; 1.6636E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-3.mata;ERR;0.0; 0.00037609; 0.000503713; 3.011e-06; false;0.0; 0.000444954; 0.000692492; 0.00245408; 0.000905492; false;0.0; 0.00036007; 4.5039e-05; 0.000988634; 0.000706704; false;TO; 0.00040642;ERR;0.95; 0.0065; 0.0007; 0.0003; 0.0001;0.97; 0.0065; 0.0019; 0.0006; 0.0000;0.89; 0.068577823; 0.02145818; 0.001581094; false;0.75; 0.00694263; 0.004498867; 2.7912E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-4.mata;ERR;0.0; 0.000736769; 0.00162141; 3.212e-06; false;0.01; 0.000731355; 0.00145899; 0.0061454; 0.00227425; false;0.0; 0.000476346; 5.7041e-05; 0.000897066; 0.000553263; false;TO; 0.000795357;ERR;0.96; 0.0068; 0.0017; 0.0005; 0.0002;0.96; 0.0069; 0.0035; 0.0014; 0.0000;0.9; 0.084874681; 0.029949564; 0.001971217; false;0.9; 0.014668176; 0.00894201; 2.2267E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-1.mata;ERR;0.0; 0.00166358; 0.00260164; 4.346e-06; false;0.01; 0.00257055; 0.0098198; 0.0058998; 0.00185072; false;0.01; 0.00148928; 0.000105516; 0.00119074; 0.000810563; false;TO; 0.00238416;ERR;0.96; 0.0078; 0.0017; 0.0005; 0.0001;0.94; 0.0078; 0.0036; 0.0009; 0.0000;0.99; 0.086933985; 0.025918726; 0.001813025; false;0.81; 0.013460237; 0.002692532; 1.5709E-5; false
