name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-automata_inclusion_naive;mata-bin-automata_inclusion_antichain;automata-runtime;automata-result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-inclusion_check;vata-inclusion_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-inclusion_check;awali-inclusion_check_result;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-inclusion;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-inclusion;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-inclusion;java-automatalib-runtime;java-automatalib-construction;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-brics-runtime;java-brics-construction;java-brics-inclusion_check;java-brics-inclusion_result
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T25-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T25-rhs.mata;0.62; 0.465785; 0.145312; 0.0142; 0.0013;0.62; EMPTY;1.42; 1.15798; 0.278873; 0.000666503; false;1.83; 1.0744; 0.281089;0.31600500000000004; 0.154634; false;1.65; 1.15613; 0.405221;0.031567545; 0.0427856; false;TO; 1.42467; 0.441818;1.7; 0.6345; 0.0000; 0.0014;TO;MISSING;MISSING;MISSING;2.37; 0.6767; 0.4812; 0.0007;5.1;1.1185865469999998; 0.104139706; false;2.71;0.328386691; 0.029039549; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T26-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T26-rhs.mata;0.63; 0.478454; 0.14983; 0.0124; 0.0012;0.67; EMPTY;1.97; 1.51943; 0.449394; 0.00183093; false;2.75; 1.53573; 0.457851;0.5149142800000001; 0.247101; false;1.27; 0.944067; 0.283059;0.02171664; 0.0306736; false;TO; 1.42483; 0.280914;1.76; 0.6524; 0.0000; 0.0019;TO;MISSING;MISSING;MISSING;1.53; 0.3824; 0.2834; 0.0004;4.66;1.0255323280000002; 0.121609527; false;2.52;0.35480021500000003; 0.028071307; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T27-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T27-rhs.mata;0.62; 0.498453; 0.142842; 0.0151; 0.0014;0.65; EMPTY;1.56; 1.29573; 0.282935; 0.000692419; false;2.22; 1.44771; 0.287742;0.32383460000000003; 0.161819; false;2.02; 1.51415; 0.432566;0.03263093; 0.0423852; false;TO; 0.982171; 0.325371;1.75; 0.6407; 0.0000; 0.0019;TO;MISSING;MISSING;MISSING;1.69; 0.4067; 0.3170; 0.0014;4.56;0.901081275; 0.088132599; false;2.93;0.407850463; 0.042513129; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T28-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T28-rhs.mata;0.63; 0.467904; 0.157623; 0.0143; 0.0014;0.62; EMPTY;1.37; 1.08145; 0.279395; 0.000927536; false;2.63; 1.45559; 0.418914;0.50887088; 0.235619; false;1.39; 0.946484; 0.332547;0.032603746; 0.0441249; false;TO; 1.49361; 0.426105;1.87; 0.6753; 0.0000; 0.0018;TO;MISSING;MISSING;MISSING;2.38; 0.6824; 0.4861; 0.0008;4.33;0.8316429980000001; 0.080053553; false;2.66;0.34780309400000003; 0.023388124; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T29-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T29-rhs.mata;0.6; 0.581381; 0.143948; 0.0144; 0.0012;0.59; EMPTY;1.98; 1.53443; 0.437543; 0.00108409; false;2.8; 1.5789; 0.458276;0.5187788; 0.23697; false;2.07; 1.52454; 0.439268;0.034653970000000006; 0.0468443; false;TO; 1.5423; 0.437573;1.82; 0.6782; 0.0000; 0.0018;TO;MISSING;MISSING;MISSING;2.46; 0.7041; 0.5343; 0.0022;4.66;1.1426047719999999; 0.11525878; false;2.57;0.361251819; 0.061806001; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-rhs.mata;1.1; 0.759136; 0.219107; 0.0850; 0.0289;1.47; NOT EMPTY;3.14; 2.367; 0.706709; 0.038011; true;5.4; 2.32817; 0.683375;0.87173; 1.49153; true;3.34; 2.37508; 0.678316;0.0548877; 0.210216; true;TO; 2.38076; 0.706248;2.24; 1.1010; 0.0000; 0.0307;TO;MISSING;MISSING;MISSING;2.06; 0.6504; 0.5089; 0.0056;5.46;1.249477668; 0.162699967; true;3.8;0.669809385; 0.191117685; true
/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-rhs.mata;0.74; 0.555703; 0.139129; 0.0532; 0.0154;0.93; NOT EMPTY;3.01; 2.22736; 0.694249; 0.0370982; true;4.64; 2.45083; 0.539593;0.578075; 1.03223; true;3.58; 2.53718; 0.720608;0.059698; 0.232124; true;TO; 1.64071; 0.512562;2.25; 1.1304; 0.0000; 0.0307;TO;MISSING;MISSING;MISSING;3.19; 1.1936; 0.8661; 0.0080;4.94;1.186503775; 0.128502584; true;3.34;0.474127946; 0.205700744; true
/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.72; 0.473386; 0.158935; 0.0601; 0.0179;1.68; NOT EMPTY;2.51; 1.94051; 0.506825; 0.0252455; true;6.03; 2.75206; 0.775971;0.9361189999999999; 1.56324; true;2.44; 1.72321; 0.492607;0.039282899999999996; 0.157969; true;TO; 1.94045; 0.771219;2.29; 1.1925; 0.0000; 0.0322;TO;MISSING;MISSING;MISSING;2.1; 0.6895; 0.5392; 0.0054;5.15;1.1957945; 0.106431503; true;3.63;0.437755005; 0.213318813; true
/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;1.08; 0.784639; 0.236566; 0.0898; 0.0344;1.31; NOT EMPTY;3.54; 2.694; 0.745053; 0.0458149; true;4.58; 1.68545; 0.498155;0.600759; 1.74898; true;2.96; 2.24711; 0.507754;0.0394341; 0.153256; true;TO; 2.72642; 0.773702;2.3; 1.2216; 0.0000; 0.0344;TO;MISSING;MISSING;MISSING;2.0; 0.6926; 0.5264; 0.0056;5.15;1.189461512; 0.119818804; true;3.66;0.440057751; 0.253602189; true
/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBad-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBad-A-0-rhs.mata;9.87; 0.123462; 0.0297688; 10.0245; 0.2062;TO;MISSING;0.45; 0.220349; 0.0669205; 0.17443; true;8.26; 0.218497; 0.0665641;0.0713514; 8.00272; true;13.14; 0.226802; 0.0697323;0.00412433; 13.3361; true;TO; 0.353638; 0.107531;1.58; 0.1692; 0.0000; 0.2780;TO;MISSING;MISSING;MISSING;7.59; 0.0941; 6.6516; 0.0973;7.28;3.477107266; 0.156363097; true;12.75;0.101431477; 7.915986319; true
