name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-emptiness_check;automata-runtime;automata-result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-emptiness_check;awali-emptiness_check_result;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pyfado-runtime;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;0.14; 0.064135; 0.00908659; 0.0757;0.15; NOT EMPTY;0.29; 0.151566; 0.0325818; 0.0367185; 0.0237191; false;0.27; 0.205372; 0.0510011;0.018215210000000003; 0.00314284; 0.00357429; false;0.4; 0.23114; 0.0509308;0.001339747; 0.0453033; 0.10052; false;TO; 0.206981; 0.0472281;ERR;ERR;ERR;ERR;TO;TO;TO;1.79;0.041098888; 0.258578771; 3.9413E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;21.32; 0.597607; 0.0921123; 20.7041;8.95; NOT EMPTY;30.34; 1.86765; 0.383189; 11.7192; 9.44551; false;2.47; 1.8375; 0.383356;0.202357; 0.0374654; 0.0419906; false;19.13; 1.85494; 0.374004;0.01591064; 7.36046; 9.23933; false;TO; 1.85909; 0.462333;TO; 0.4379; 0.0000; 13.6126;TO;TO;TO;50.29;0.1351486; 21.921088792; 6.7878E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;0.47; 0.103163; 0.0183283; 0.3528;0.4; NOT EMPTY;0.83; 0.315246; 0.0749786; 0.165999; 0.12159; false;0.37; 0.29183; 0.0646507;0.0260613; 0.00565485; 0.00687509; false;0.72; 0.272255; 0.0637322;0.001898723; 0.132082; 0.245054; false;TO; 0.332067; 0.0758955;ERR;ERR;ERR;ERR;TO;TO;TO;2.36;0.053749983; 0.462165026; 3.5574E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;0.54; 0.113849; 0.01944; 0.4438;0.49; NOT EMPTY;1.06; 0.424823; 0.0832839; 0.211338; 0.140909; false;0.32; 0.262834; 0.0548858;0.04733180000000001; 0.00401126; 0.00442443; false;0.66; 0.248097; 0.0567816;0.0017549290000000001; 0.115751; 0.23466; false;TO; 0.282953; 0.0706563;ERR;ERR;ERR;ERR;TO;TO;TO;3.24;0.05863477; 0.807699208; 4.0397E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;0.99; 0.147025; 0.0235695; 0.9285;0.73; NOT EMPTY;1.67; 0.439181; 0.0969498; 0.491435; 0.291432; false;0.62; 0.482321; 0.101022;0.0466931; 0.0078805; 0.0100449; false;1.51; 0.498795; 0.103444;0.00362317; 0.349058; 0.567209; false;TO; 0.505472; 0.103673;TO; 0.1157; 0.0000; 0.3924;TO;TO;TO;5.14;0.107913763; 1.514277774; 3.4759E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;1.81; 0.203944; 0.0370769; 1.5780;1.34; NOT EMPTY;3.06; 0.650402; 0.126521; 0.85586; 0.701084; false;0.93; 0.701121; 0.155919;0.0647349; 0.012652; 0.0141957; false;1.97; 0.593046; 0.12008;0.00436889; 0.507592; 0.793574; false;TO; 0.618932; 0.120304;TO; 0.2512; 0.0000; 0.7404;TO;TO;TO;6.8;0.110802582; 2.354730662; 4.1802E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;3.13; 0.227135; 0.0432924; 2.8908;1.81; NOT EMPTY;3.62; 0.690719; 0.138699; 1.50797; 0.585982; false;0.84; 0.65504; 0.174353;0.054021299999999994; 0.00974481; 0.0116474; false;2.11; 0.656833; 0.110386;0.00316818; 0.492751; 0.855284; false;TO; 0.692988; 0.138516;TO; 0.2834; 0.0000; 1.2387;TO;TO;TO;8.61;0.177209154; 2.911794149; 1.21535E-4; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;3.25; 0.266012; 0.0489356; 3.0387;1.92; NOT EMPTY;6.06; 0.902904; 0.206824; 1.96292; 1.77403; false;0.7; 0.519972; 0.116186;0.052964; 0.0107915; 0.0122032; false;4.96; 0.583769; 0.120528;0.00466836; 1.70551; 2.46952; false;TO; 0.862852; 0.193555;TO; 0.2754; 0.0000; 1.4684;TO;TO;TO;7.09;0.157473438; 2.951168047; 3.1739E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-rhs.mata;3.84; 0.265535; 0.0409095; 3.5416;2.59; NOT EMPTY;7.02; 0.92218; 0.185214; 2.37427; 1.99032; false;1.21; 0.937047; 0.233351;0.0991677; 0.018565; 0.0235122; false;5.67; 0.950831; 0.189388;0.00711688; 1.74714; 2.77484; false;TO; 0.984691; 0.19672;TO; 0.4788; 0.0000; 3.0739;TO;TO;TO;10.91;0.094869827; 4.294168039; 6.2377E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-rhs.mata;0.03; 0.0191109; 0.00282793; 0.0102;0.13; NOT EMPTY;0.1; 0.0668627; 0.0189444; 0.00623282; 0.00325698; false;0.09; 0.0667677; 0.0196867;0.00638614; 0.00110627; 0.00117142; false;0.12; 0.0667896; 0.022489;0.000758303; 0.0105121; 0.0171604; false;TO; 0.0677044; 0.0186342;ERR;ERR;ERR;ERR;TO;TO;TO;1.26;0.037327869; 0.049595641; 2.7269E-5; false
