                                                                          1st Quartile / Median / 3rd Quartile per op/bench                                                                          
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
benchop    mata           mata-old       mata-sim       awali            mona            vata             automata        brics            (j)alib        fado           (py)alib       (py)mata
overa/biu  0.1, 0.4, 1.3  0.1, 0.4, 1.3  0.1, 0.4, 1.3  0.1, 0.9, 3.3    0.2, 1.3, 60    0.2, 2.3, 13.3   0.1, 0.2, 0.6   0.3, 0.8, 2.1    60, 60, 60     4.2, 60, 60    60, 60, 60     0.1, 0.6, 2.4
overa/ef   0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1    3.0, 60, 60     0.0, 0.1, 0.1    0.1, 0.1, 0.2   0.2, 0.2, 0.3    0.3, 0.5, 0.8  0.2, 1.0, 8.3  0.1, 0.1, 0.2  0.1, 0.1, 0.1
overa/p    0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2    0.1, 0.2, 10.7  0.1, 0.1, 0.2    0.2, 0.2, 0.2   0.2, 0.2, 0.4    0.3, 0.3, 0.5  0.1, 0.3, 0.5  0.1, 0.2, 0.2  0.0, 0.1, 0.2
overa/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 0.0, 0.1   0.0, 0.0, 0.0    0.1, 0.1, 0.2   0.1, 0.1, 0.2    0.1, 0.2, 0.4  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.0
overa/znc  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.1, 0.1, 0.5  0.0, 0.1, 0.3    -               -                -               0.1, 0.1, 0.2    -              0.7, 14.5, 60  -              0.0, 0.0, 0.6
parsi/ai   0.1, 0.2, 0.3  0.1, 0.2, 0.3  0.1, 0.2, 0.3  0.1, 0.2, 0.3    0.1, 0.2, 60    0.1, 0.2, 0.3    0.1, 0.1, 0.2   0.1, 0.2, 0.3    0.2, 0.6, 0.8  0.1, 0.4, 60   0.1, 0.3, 0.4  0.1, 0.3, 0.4
parsi/bcd  0.1, 0.3, 0.4  0.2, 0.3, 60   0.1, 0.3, 0.4  0.1, 0.2, 0.3    0.3, 60, 60     0.1, 0.2, 0.2    0.1, 0.1, 0.2   0.1, 0.1, 0.1    -              -              -              -
parsi/bci  0.1, 0.2, 0.2  0.1, 0.2, 0.2  0.1, 0.2, 0.2  0.1, 0.2, 0.2    -               0.1, 0.2, 0.2    0.1, 0.1, 0.1   0.0, 0.1, 0.1    -              60, 60, 60     -              0.2, 0.2, 0.3
parsi/bcu  0.1, 0.2, 0.3  0.1, 0.2, 0.3  0.1, 0.2, 0.3  0.1, 0.2, 0.3    -               0.1, 0.2, 0.3    0.1, 0.1, 0.1   0.0, 0.1, 0.1    -              0.1, 0.3, 0.3  -              0.1, 0.2, 0.4
parsi/bi   0.3, 60, 60    0.3, 60, 60    0.2, 60, 60    0.0, 0.1, 0.3    0.1, 0.2, 60    0.0, 0.1, 0.4    0.1, 0.1, 0.3   0.1, 0.3, 1.0    0.9, 48.3, 60  60, 60, 60     60, 60, 60     60, 60, 60
parsi/biu  0.0, 0.1, 0.3  0.0, 0.1, 0.3  0.0, 0.1, 0.3  0.0, 0.1, 0.3    0.0, 0.2, 0.4   0.0, 0.1, 0.3    0.1, 0.1, 0.2   0.1, 0.3, 1.0    0.9, 50.4, 60  0.1, 60, 60    60, 60, 60     0.1, 0.4, 1.2
parsi/ef   0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1    0.1, 0.3, 60    0.0, 0.0, 0.1    0.0, 0.1, 0.1   0.0, 0.1, 0.1    0.1, 0.2, 0.4  0.0, 0.1, 0.2  0.1, 0.1, 0.1  0.1, 0.1, 0.1
parsi/p    0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1    0.0, 0.1, 0.2   0.0, 0.1, 0.1    0.0, 0.1, 0.1   0.0, 0.1, 0.1    0.1, 0.2, 0.3  0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2
parsi/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 0.0, 0.0   0.0, 0.0, 0.0    0.0, 0.0, 0.0   0.0, 0.0, 0.0    0.1, 0.1, 0.2  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
parsi/znc  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    -               -                -               0.0, 0.0, 0.0    -              0.0, 0.0, 60   -              0.0, 0.0, 0.0
reduc/ai   -              -              0.0, 0.0, 0.0  -                -               -                -               -                -              -              -              -
reduc/bcd  -              -              0.0, 0.0, 0.0  -                -               -                -               -                -              -              -              -
reduc/bci  -              -              0.0, 0.0, 0.0  -                -               -                -               -                -              -              -              -
reduc/bi   -              -              8.0, 60, 60    -                -               -                -               -                -              -              -              -
reduc/ef   -              -              0.0, 0.0, 0.0  -                -               -                -               -                -              -              -              -
reduc/p    -              -              0.0, 0.0, 0.0  -                -               -                -               -                -              -              -              -
reduc/zn   -              -              0.0, 0.0, 0.0  -                -               -                -               -                -              -              -              -
reduc/znc  -              -              0.0, 0.1, 0.2  -                -               -                -               -                -              -              -              -
resul/ai   60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60       60, 60, 60      60, 60, 60       60, 60, 60      60, 60, 60       60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
resul/bci  60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60       -               60, 60, 60       60, 60, 60      60, 60, 60       -              60, 60, 60     -              60, 60, 60
resul/bcu  60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60       -               60, 60, 60       60, 60, 60      60, 60, 60       -              60, 60, 60     -              60, 60, 60
resul/bi   60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60       60, 60, 60      60, 60, 60       60, 60, 60      60, 60, 60       60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
resul/biu  60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60       60, 60, 60      60, 60, 60       60, 60, 60      60, 60, 60       60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
resul/ef   60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60       60, 60, 60      60, 60, 60       60, 60, 60      60, 60, 60       60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
resul/p    60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60       60, 60, 60      60, 60, 60       60, 60, 60      60, 60, 60       60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
resul/zn   60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60       60, 60, 60      60, 60, 60       60, 60, 60      60, 60, 60       60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
resul/znc  60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60       -               -                -               60, 60, 60       -              60, 60, 60     -              60, 60, 60
runti/ai   0.1, 0.3, 0.4  0.1, 0.3, 0.4  0.1, 0.3, 0.4  0.1, 0.4, 0.7    5.4, 21.5, 60   0.1, 0.4, 1.0    0.2, 0.3, 1.0   1.4, 2.8, 4.1    2.0, 4.1, 4.9  1.3, 27.2, 60  1.0, 1.3, 1.7  0.9, 1.1, 1.3
runti/bcd  60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60       60, 60, 60      60, 60, 60       60, 60, 60      60, 60, 60       60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
runti/bci  0.2, 0.6, 1.2  0.2, 0.6, 1.2  0.2, 0.5, 1.2  0.9, 3.5, 7.8    60, 60, 60      1.1, 4.0, 9.4    1.0, 4.1, 11.3  4.2, 11.2, 26.6  60, 60, 60     60, 60, 60     60, 60, 60     1.7, 3.9, 8.0
runti/bcu  0.1, 0.2, 0.3  0.1, 0.2, 0.3  0.1, 0.2, 0.3  0.1, 0.2, 0.3    60, 60, 60      0.1, 0.2, 0.3    0.1, 0.1, 0.2   1.4, 1.7, 1.9    60, 60, 60     1.2, 1.6, 2.3  60, 60, 60     1.1, 1.1, 1.3
runti/bi   60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60       0.6, 1.7, 60    60, 60, 60       60, 60, 60      60, 60, 60       60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
runti/biu  0.1, 0.4, 1.3  0.1, 0.4, 1.2  0.1, 0.4, 1.2  0.1, 0.8, 3.2    5.2, 22.0, 60   0.2, 2.3, 13.5   0.1, 0.2, 0.6   1.7, 3.6, 7.8    60, 60, 60     5.0, 60, 60    60, 60, 60     1.0, 1.5, 3.1
runti/ef   0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1    4.2, 60, 60     0.0, 0.1, 0.1    0.1, 0.1, 0.2   1.1, 1.3, 1.7    1.6, 2.2, 3.3  1.1, 1.9, 8.9  0.9, 1.0, 1.2  0.9, 1.0, 1.1
runti/p    0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1    0.5, 1.1, 19.2  0.1, 0.1, 0.2    0.1, 0.2, 0.2   1.3, 1.6, 2.0    1.4, 1.8, 2.5  1.0, 1.1, 1.4  1.0, 1.1, 1.1  0.9, 1.0, 1.1
runti/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.4, 0.4, 0.5   0.0, 0.0, 0.0    0.1, 0.1, 0.1   0.8, 0.9, 1.3    0.9, 1.1, 1.7  0.9, 1.0, 1.0  0.9, 1.0, 1.0  0.9, 1.0, 1.0
runti/znc  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.1, 0.4  0.0, 0.1, 0.3    -               -                -               0.7, 0.8, 1.2    -              1.5, 15.3, 60  -              0.8, 0.9, 1.4
trans/ai   -              -              -              0.0, 0.0, 0.0    -               0.0, 0.0, 0.1    -               -                -              0.0, 1.2, 60   0.0, 0.1, 0.1  0.0, 0.0, 0.0
trans/bcd  -              -              -              0.0, 0.0, 0.0    -               0.0, 0.0, 0.0    -               -                -              -              -              -
trans/bci  -              -              -              0.0, 0.0, 0.0    -               0.0, 0.0, 0.0    -               -                -              60, 60, 60     -              0.0, 0.0, 0.0
trans/bcu  -              -              -              0.0, 0.0, 0.0    -               0.0, 0.0, 0.0    -               -                -              0.0, 0.1, 0.2  -              0.0, 0.0, 0.0
trans/bi   -              -              -              0.0, 0.0, 0.1    -               0.0, 0.1, 0.8    -               -                -              60, 60, 60     60, 60, 60     60, 60, 60
trans/biu  -              -              -              0.0, 0.0, 0.1    -               0.0, 0.1, 0.6    -               -                -              0.0, 60, 60    60, 60, 60     0.0, 0.0, 0.0
trans/ef   -              -              -              0.0, 0.0, 0.0    -               0.0, 0.0, 0.0    -               -                -              0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
trans/p    -              -              -              0.0, 0.0, 0.0    -               0.0, 0.0, 0.0    -               -                -              0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
trans/zn   -              -              -              0.0, 0.0, 0.0    -               0.0, 0.0, 0.0    -               -                -              0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
trans/znc  -              -              -              0.0, 0.0, 0.0    -               -                -               -                -              0.0, 0.0, 60   -              0.0, 0.0, 0.0
trim/ai    -              -              -              -                -               -                0.0, 0.0, 0.0   -                -              -              -              -
trim/bcd   -              -              -              -                -               -                0.0, 0.0, 0.0   -                -              -              -              -
trim/bci   0.0, 0.1, 0.3  0.0, 0.1, 0.3  0.0, 0.1, 0.3  0.5, 1.9, 4.3    -               0.5, 1.9, 3.7    0.0, 0.0, 0.0   -                -              60, 60, 60     -              0.2, 0.8, 1.8
trim/bcu   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    -               0.0, 0.0, 0.0    0.0, 0.0, 0.0   -                -              0.0, 0.0, 0.0  -              0.0, 0.0, 0.0
trim/bi    10.2, 60, 60   9.9, 60, 60    7.5, 60, 60    5.5, 22.2, 30.3  -               0.2, 15.3, 24.3  0.3, 0.5, 1.0   -                -              60, 60, 60     -              60, 60, 60
trim/biu   0.0, 0.0, 0.2  0.0, 0.0, 0.2  0.0, 0.0, 0.2  0.0, 0.3, 1.6    -               0.1, 1.0, 6.2    0.0, 0.0, 0.1   -                -              0.0, 60, 60    -              0.0, 0.0, 0.0
trim/ef    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    -               0.0, 0.0, 0.0    0.0, 0.0, 0.0   -                -              0.0, 0.0, 0.0  -              0.0, 0.0, 0.0
trim/p     0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    -               0.0, 0.0, 0.0    0.0, 0.0, 0.0   -                -              0.0, 0.0, 0.0  -              0.0, 0.0, 0.0
trim/zn    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    -               0.0, 0.0, 0.0    0.0, 0.0, 0.0   -                -              0.0, 0.0, 0.0  -              0.0, 0.0, 0.0
trim/znc   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1    -               -                -               -                -              0.0, 0.0, 60   -              0.0, 0.0, 0.2
union/bcu  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    -               0.0, 0.0, 0.0    0.0, 0.0, 0.0   0.0, 0.0, 0.0    -              0.1, 0.4, 0.7  -              0.0, 0.0, 0.0
union/biu  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.1, 0.7    0.0, 0.0, 15.7  0.1, 0.7, 5.4    0.0, 0.1, 0.2   0.0, 0.1, 0.4    60, 60, 60     3.3, 60, 60    60, 60, 60     0.0, 0.2, 1.2
