name;automata-runtime;automata-construction;automata-trim;automata-minterm;automata-interpretation;automata-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07609.mata;0.17; 0.0916709000; 0.0054083000; 0.0016150000; 0.0085897000; 0.1714599000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07622.mata;0.13; 0.0566083000; 0.0086655000; 0.0024701000; 0.0135644000; 0.1235563000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07668.mata;0.12; 0.0459889000; 0.0082889000; 0.0024102000; 0.0129403000; 0.1020243000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07669.mata;0.14; 0.0797436000; 0.0081540000; 0.0022649000; 0.0125945000; 0.1384002000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07674.mata;0.14; 0.0613381000; 0.0110223000; 0.0023804000; 0.0157676000; 0.1272326000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07677.mata;0.11; 0.0437136000; 0.0075558000; 0.0024240000; 0.0121821000; 0.0982069000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07756.mata;6.52; 5.4571954000; 0.0096731000; 0.0039833000; 0.0158289000; 6.6760854000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07783.mata;0.1; 0.0376594000; 0.0083396000; 0.0025081000; 0.0133297000; 0.0916690000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07807.mata;0.11; 0.0396138000; 0.0084688000; 0.0023330000; 0.0131033000; 0.0976428000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07937.mata;0.16; 0.0798368000; 0.0084915000; 0.0025204000; 0.0132935000; 0.1482693000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07947.mata;0.1; 0.0406600000; 0.0084857000; 0.0026528000; 0.0134210000; 0.1194018000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08001.mata;0.12; 0.0479748000; 0.0086771000; 0.0026415000; 0.0138184000; 0.1220342000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08023.mata;0.09; 0.0324161000; 0.0056171000; 0.0016243000; 0.0088532000; 0.0789050000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08029.mata;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08074.mata;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08114.mata;0.17; 0.0871022000; 0.0083329000; 0.0027174000; 0.0134374000; 0.1635406000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08116.mata;0.11; 0.0393547000; 0.0085268000; 0.0025353000; 0.0131707000; 0.0962540000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08118.mata;0.31; 0.1954302000; 0.0079200000; 0.0026618000; 0.0130714000; 0.3035242000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08130.mata;0.11; 0.0396716000; 0.0089330000; 0.0027574000; 0.0140466000; 0.0994215000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08186.mata;0.46; 0.3384806000; 0.0088741000; 0.0025902000; 0.0138686000; 0.4758226000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08189.mata;0.12; 0.0451566000; 0.0090600000; 0.0023898000; 0.0141351000; 0.1045743000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08201.mata;0.13; 0.0543665000; 0.0071071000; 0.0024969000; 0.0115193000; 0.1207531000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08207.mata;0.12; 0.0508956000; 0.0084520000; 0.0021252000; 0.0128983000; 0.1111705000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08227.mata;0.09; 0.0397948000; 0.0065087000; 0.0015939000; 0.0104594000; 0.0857408000
