name;automata-runtime;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-emptiness;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06665.mata;ERR;0.01; 0.0152984; 0.00129428; 9.4091e-05; 3.5177e-05; false;0.01; 0.0212958; 0.00124825; 7.8555e-05; 3.3288e-05; false;0.02; 0.00856643; 0.0216034; 0.00493342; 0.00163685; 0.000935912; false;0.02; 0.0299024; 0.000775676; 0.00240543; 0.0010339; 0.00073717; false;0.97; 0.0177; 0.0000; 0.0015; 0.0001; 0.0000; False;1.27; 0.0527; 0.0458; 0.0467; 0.0480; 0.0043; False;1.31; 0.0469; 0.0148; 0.0106; 0.0166; 0.0001; False;1.49; 0.239064586; 0.043130394; 0.002556557; false;1.25; 0.047722875; 0.028956108; 3.8248E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06671.mata;ERR;0.01; 0.0101737; 0.00119611; 0.000100412; 2.8565e-05; false;0.0; 0.0109492; 0.00111639; 7.0574e-05; 2.5277e-05; false;0.01; 0.0162682; 0.00276048; 0.00251243; 0.00105722; 0.000950916; false;0.01; 0.00848121; 0.0003609; 0.00219939; 0.00155165; 0.00125272; false;1.16; 0.0224; 0.0000; 0.0022; 0.0002; 0.0000; False;1.28; 0.0257; 0.0197; 0.0261; 0.0279; 0.0034; False;1.15; 0.0225; 0.0094; 0.0076; 0.0131; 0.0001; False;1.56; 0.17678323; 0.045120752; 0.002508398; false;1.2; 0.043164325; 0.022561746; 4.7632E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06704.mata;ERR;0.02; 0.00760472; 0.0207954; 0.000447857; 0.000489464; false;0.01; 0.00708152; 0.00678537; 0.00039963; 0.000277109; false;0.04; 0.00416994; 0.00215564; 0.0231144; 0.0100736; 0.010095; false;0.03; 0.00724607; 0.000576391; 0.0184629; 0.00537273; 0.00473284; false;1.13; 0.0188; 0.0000; 0.0129; 0.0007; 0.0000; False;1.13; 0.0115; 0.0064; 0.1651; 0.1766; 0.0129; False;1.17; 0.0139; 0.0045; 0.0307; 0.0530; 0.0001; False;2.45; 0.390075479; 0.166506126; 0.002759886; false;1.44; 0.062957207; 0.124554809; 3.8936E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06722.mata;ERR;0.03; 0.0309189; 0.00215867; 0.000155989; 0.000153897; false;0.03; 0.0311297; 0.00219083; 0.00018799; 0.000135508; false;0.06; 0.033361; 0.0160094; 0.0083067; 0.00296816; 0.00303295; false;0.04; 0.0308682; 0.00223049; 0.00726574; 0.00231011; 0.00191095; false;1.09; 0.0928; 0.0000; 0.0077; 0.0005; 0.0000; False;1.4; 0.0897; 0.0816; 0.1685; 0.1713; 0.0132; False;1.11; 0.0769; 0.0494; 0.0281; 0.0429; 0.0001; False;2.71; 0.444723758; 0.138799409; 0.003847347; false;1.93; 0.226121855; 0.009979789; 3.9255E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06730.mata;ERR;0.02; 0.0184943; 0.00176935; 7.457e-05; 4.5893e-05; false;0.02; 0.0188483; 0.00154052; 7.0636e-05; 4.5105e-05; false;0.04; 0.018507; 0.00941804; 0.00587685; 0.00213508; 0.00214359; false;0.03; 0.0190405; 0.00152102; 0.00517681; 0.00192287; 0.0013461; false;1.18; 0.0289; 0.0000; 0.0017; 0.0001; 0.0000; False;1.2; 0.0351; 0.0166; 0.0152; 0.0165; 0.0019; False;1.05; 0.0314; 0.0153; 0.0093; 0.0153; 0.0001; False;1.8; 0.22531754; 0.066658102; 0.002110072; false;1.29; 0.072459294; 0.024695828; 3.1715E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06770.mata;ERR;0.14; 0.0589531; 0.0711946; 0.00232775; 0.000254242; false;0.13; 0.0537632; 0.0701544; 0.00222317; 0.000249701; false;0.48; 0.0583414; 0.0316527; 0.285396; 0.0566414; 0.0587136; false;0.34; 0.0606907; 0.00499788; 0.214091; 0.0314258; 0.0298217; false;1.34; 0.0980; 0.0000; 0.0897; 0.0030; 0.0000; False;5.14; 0.0894; 0.0676; 3.7646; 3.8259; 0.6177; False;1.83; 0.0926; 0.0406; 0.8615; 0.9848; 0.0001; False;3.68; 1.026811081; 0.08578491; 0.002071917; false;1.85; 0.106297584; 0.111833134; 5.4404E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06780.mata;ERR;0.0; 0.0013529; 0.000457818; 4.8837e-05; 4.0081e-05; false;0.0; 0.00219201; 0.000933526; 7.7974e-05; 8.3726e-05; false;0.01; 0.00136016; 0.000820718; 0.00370874; 0.00168819; 0.00137172; false;0.01; 0.00246056; 0.000221128; 0.00374023; 0.00190253; 0.00152387; false;1.12; 0.0105; 0.0000; 0.0022; 0.0002; 0.0000; False;1.22; 0.0194; 0.0119; 0.0087; 0.0113; 0.0014; False;1.28; 0.0099; 0.0028; 0.0024; 0.0096; 0.0001; False;1.43; 0.172502543; 0.08415387; 0.002088797; false;1.05; 0.029956986; 0.020785256; 2.6576E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06846.mata;ERR;0.07; 0.0600315; 0.00534692; 0.000294983; 0.000121908; false;0.06; 0.0560924; 0.0045082; 0.000219811; 0.000111729; false;0.13; 0.0574627; 0.0318803; 0.022919; 0.0110839; 0.0101037; false;0.08; 0.0574652; 0.00453774; 0.0139392; 0.00440514; 0.00391293; false;1.26; 0.0934; 0.0000; 0.0101; 0.0006; 0.0000; False;1.47; 0.0914; 0.0848; 0.1519; 0.1714; 0.0159; False;1.13; 0.0513; 0.0471; 0.0306; 0.0483; 0.0001; False;2.56; 0.385160234; 0.10518733; 0.002102829; false;1.7; 0.232061855; 0.045317; 5.2867E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06848.mata;ERR;0.0; 0.00212589; 0.00264954; 0.000244483; 8.5616e-05; false;0.0; 0.00187602; 0.00257735; 0.000302755; 9.0636e-05; false;0.03; 0.00189372; 0.00158994; 0.0596494; 0.0046258; 0.0242203; false;0.02; 0.00196218; 0.000222484; 0.0109248; 0.00649075; 0.00550354; false;1.19; 0.0105; 0.0000; 0.0057; 0.0004; 0.0000; False;1.2; 0.0103; 0.0045; 0.0240; 0.0308; 0.0037; False;1.01; 0.0102; 0.0041; 0.0045; 0.0138; 0.0001; False;1.56; 0.199132221; 0.096531281; 0.002424539; false;1.09; 0.028407787; 0.02268159; 3.2395E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06892.mata;ERR;0.01; 0.00811063; 0.00115839; 9.0245e-05; 5.6249e-05; false;0.0; 0.00446137; 0.00550756; 4.3957e-05; 2.4842e-05; false;0.02; 0.00653962; 0.00326881; 0.0060117; 0.00242678; 0.00275778; false;0.01; 0.00764575; 0.0128384; 0.00437393; 0.00950612; 0.00160169; false;1.1; 0.0189; 0.0000; 0.0026; 0.0003; 0.0000; False;1.11; 0.0176; 0.0115; 0.0207; 0.0237; 0.0030; False;0.87; 0.0182; 0.0082; 0.0049; 0.0082; 0.0001; False;1.59; 0.148302183; 0.059361938; 0.00189347; false;0.99; 0.034494129; 0.012820739; 4.8502E-5; false
