name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-rhs.mata;1.63;0.11940239999999999;0.0109415; 1.5321583000; 0.0003702000; False; 1.5476963000; 1.7249323000;0.36; 0.154273; 0.042354; 0.122569; 0.074984; 0.000105; false; 0.400914;0.33; 0.153689; 0.041826; 0.072059; 0.054963; 0.032118; 7e-05; false; 0.360815;0.36; 0.159433; 0.039697; 0.135539; 0.064345; 7.1e-05; false; 0.405307;1.79; 0.262191; 0.054093;0.009363; 1.78388; 0.834119; 0.001307; false; 2.9509;1.42; 0.163138; 0.042461;0.001632; 0.469803; 0.798001; 0.011234; false; 1.49239;ERR;2.65; 0.3116; 0.0000; 0.8914; 0.2300; 0.0011; False; 1.1226; 1.4380;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;5.42;0.086118198; 1.930424965; 3.3129E-5; false; 1.950168334; 2.373567856
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-rhs.mata;2.42;0.1254481;0.011223499999999999; 2.3158115000; 0.0004575000; False; 2.3327326000; 2.5232769000;0.46; 0.188179; 0.047561; 0.189335; 0.085348; 9e-05; false; 0.518149;0.41; 0.183274; 0.046245; 0.095664; 0.079396; 0.052167; 7.4e-05; false; 0.463283;0.46; 0.208389; 0.052041; 0.245394; 0.083885; 0.000173; false; 0.597644;2.33; 0.140609; 0.030692;0.00743; 1.24711; 1.22488; 0.002793; false; 2.6575;1.62; 0.212438; 0.0566;0.002138; 0.722632; 0.740724; 0.014311; false; 1.75751;ERR;2.84; 0.3195; 0.0000; 1.5928; 0.3117; 0.0013; False; 1.9193; 2.2421;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;6.33;0.10022974000000001; 2.605761874; 3.13E-5; false; 2.6114947; 2.994596787
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-rhs.mata;2.8;0.163802;0.0109466; 2.9586179000; 0.0003184000; False; 2.9747805000; 3.1966776000;0.4; 0.206235; 0.042295; 0.151544; 0.093281; 8.3e-05; false; 0.49899;0.34; 0.139738; 0.045335; 0.086734; 0.122148; 0.076569; 6.8e-05; false; 0.476967;0.44; 0.216096; 0.096846; 0.326992; 0.079288; 0.000231; false; 0.730487;2.95; 0.213217; 0.053289;0.014164; 1.7104; 1.16727; 0.002635; false; 3.16753;2.91; 0.225168; 0.060046;0.002448; 0.953255; 1.56317; 0.0255; false; 2.83955;ERR;3.32; 0.2907; 0.0000; 1.6272; 0.5532; 0.0016; False; 2.1822; 2.4746;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;7.46;0.07263366; 3.085060994; 5.1203E-5; false; 3.093641517; 3.316578332
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-rhs.mata;3.95;0.1712643;0.011541399999999999; 4.0069555000; 0.0003480000; False; 4.0230655000; 4.2534882000;0.73; 0.2378; 0.059386; 0.324651; 0.176602; 0.000206; false; 0.810729;0.64; 0.231833; 0.059924; 0.184597; 0.130751; 0.065867; 0.000105; false; 0.68321;0.51; 0.235748; 0.057744; 0.181475; 0.086481; 0.000121; false; 0.571727;4.02; 0.244368; 0.057089;0.016666; 1.9685; 1.94432; 0.004686; false; 4.24632;3.34; 0.234941; 0.074764;0.002496; 1.92611; 1.91745; 0.027205; false; 4.19302;ERR;3.91; 0.3167; 0.0000; 3.7042; 0.6815; 0.0041; False; 4.3904; 4.7112;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;8.68;0.093380503; 3.366892835; 8.1263E-5; false; 3.391633295; 3.65466667
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-rhs.mata;0.17;0.0629284;0.0093396; 0.0459545000; 0.0003593000; False; 0.0593494000; 0.1776149000;0.03; 0.02314; 0.010431; 0.002566; 0.001423; 1.9e-05; false; 0.039842;0.03; 0.023722; 0.010092; 0.001948; 0.001247; 0.000476; 1.1e-05; false; 0.039566;0.02; 0.023584; 0.009836; 0.002758; 0.001359; 1.4e-05; false; 0.039747;0.05; 0.024282; 0.010111;0.001593; 0.010066; 0.014449; 0.003896; false; 0.066584;0.05; 0.025864; 0.01037;0.00030900000000000003; 0.00795; 0.009261; 0.0004; false; 0.057159;ERR;1.11; 0.0522; 0.0000; 0.0116; 0.0019; 0.0001; False; 0.0137; 0.0669;5.65; 0.0645; 0.0026; 3.3640; 1.2725; False; 4.6366; 4.7055;TO;TO;1.21;0.056932804; 0.080070037; 4.5898E-5; false; 0.095631676; 0.298048458
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-rhs.mata;5.33;0.1603504;0.0112618; 5.9093617000; 0.0009594000; False; 5.9285858000; 6.1429102000;0.75; 0.256784; 0.065706; 0.537109; 0.201436; 0.000138; false; 1.07377;0.65; 0.251091; 0.062652; 0.210364; 0.14657; 0.06874; 4.4e-05; false; 0.74866;0.82; 0.343112; 0.115839; 0.414997; 0.191201; 0.000137; false; 1.08184;5.37; 0.273335; 0.075383;0.018448; 2.76426; 2.53335; 0.003852; false; 5.67809;3.78; 0.156319; 0.051617;0.001601; 1.30407; 2.11758; 0.034768; false; 3.67294;ERR;4.49; 0.3463; 0.0000; 2.7262; 0.8667; 0.0033; False; 3.5963; 3.9595;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;11.0;0.085427671; 5.94784776; 2.5188E-5; false; 5.954317905; 6.210916682
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-rhs.mata;7.1;0.1549881;0.0081335; 7.1494923000; 0.0003991000; False; 7.1613185000; 7.3912828000;0.83; 0.244727; 0.068146; 0.418409; 0.227738; 0.000155; false; 0.968473;0.85; 0.288553; 0.069551; 0.258631; 0.208441; 0.117763; 0.00013; false; 0.955462;1.0; 0.283655; 0.069346; 0.596236; 0.2438; 0.000225; false; 1.20731;6.17; 0.296086; 0.069032;0.019910999999999998; 4.45656; 3.33051; 0.005311; false; 8.18741;4.69; 0.405573; 0.080482;0.0030689999999999997; 2.01487; 2.74846; 0.047245; false; 5.3438;ERR;5.07; 0.4917; 0.0000; 2.7566; 0.9276; 0.0038; False; 3.6881; 4.1836;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;11.99;0.080318213; 4.804586295; 3.1671E-5; false; 4.81156521; 5.042792833
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-rhs.mata;6.48;0.20262159999999999;0.0123573; 6.4039561000; 0.0002944000; False; 6.4206824000; 6.6821873000;0.72; 0.243743; 0.054674; 0.336436; 0.166318; 0.000192; false; 0.811467;0.64; 0.169056; 0.049876; 0.212492; 0.133478; 0.107015; 8.8e-05; false; 0.682127;0.65; 0.194726; 0.048039; 0.333934; 0.161096; 0.000133; false; 0.747157;7.21; 0.202432; 0.049765;0.01285; 3.25727; 4.35366; 0.81665; false; 8.70082;5.81; 0.267599; 0.068298;0.003019; 2.66223; 3.31928; 0.059186; false; 6.38923;ERR;6.34; 0.5733; 0.0000; 4.8377; 1.0405; 0.0040; False; 5.8823; 6.4635;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;13.83;0.155135901; 6.246558673; 3.2897E-5; false; 6.255181548; 6.688558855
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-rhs.mata;9.06;0.12835059999999998;0.0075090999999999995; 9.2269641000; 0.0007327000; False; 9.2402655000; 9.4068765000;0.94; 0.299113; 0.083436; 0.497538; 0.19571; 0.000162; false; 1.0887;1.0; 0.189234; 0.059237; 0.410359; 0.294067; 0.164582; 9.2e-05; false; 1.13112;1.26; 0.3293; 0.078569; 0.887523; 0.290831; 0.000679; false; 1.60382;10.07; 0.316071; 0.094707;0.02199; 4.93571; 4.20636; 1.03186; false; 10.6232;6.62; 0.326337; 0.085989;0.003497; 2.63138; 3.38996; 0.066126; false; 6.51718;ERR;6.9; 0.3630; 0.0000; 4.7879; 1.3824; 0.0066; False; 6.1770; 6.5442;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;17.48;0.131588728; 8.815611677; 3.8178E-5; false; 8.823728292; 9.161901068
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-rhs.mata;13.02;0.214984;0.0133987; 13.4167542000; 0.0003083000; False; 13.4356182000; 13.7256753000;1.35; 0.34448; 0.065029; 0.787202; 0.318962; 0.003471; false; 1.53411;1.32; 0.355995; 0.097039; 0.443384; 0.454669; 0.200953; 0.000198; false; 1.5711;1.51; 0.362327; 0.085934; 1.12026; 0.417208; 0.000319; false; 2.00509;10.58; 0.383593; 0.093038;0.027451999999999997; 5.52875; 4.44797; 1.08193; false; 11.5752;8.61; 0.306708; 0.090093;0.004232; 3.01803; 4.89293; 0.08726; false; 8.41457;ERR;7.63; 0.3497; 0.0000; 5.1140; 1.6390; 0.0059; False; 6.7590; 7.1131;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;20.85;0.08167255500000001; 9.828905215; 4.8529E-5; false; 9.848618155; 10.179613906
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-rhs.mata;16.28;0.2250201;0.0125144; 17.2019290000; 0.0011089000; False; 17.2230144000; 17.5068721000;1.21; 0.254592; 0.092852; 0.823407; 0.3602; 0.000156; false; 1.54524;1.43; 0.338593; 0.09223; 0.534757; 0.440268; 0.218598; 9.2e-05; false; 1.63981;1.66; 0.334759; 0.091284; 1.34756; 0.413135; 0.000189; false; 2.20638;11.18; 0.294956; 0.088575;0.024571; 6.89706; 4.03191; 1.19661; false; 12.5455;9.54; 0.370071; 0.1148;0.0043; 3.93693; 4.89424; 0.079278; false; 9.41525;ERR;10.0; 0.6186; 0.0000; 7.1075; 2.0220; 0.0086; False; 9.1382; 9.7685;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;22.84;0.10576956; 10.237144566; 4.434E-5; false; 10.263178261; 10.689611597
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-rhs.mata;19.22;0.23121389999999997;0.013190799999999999; 22.2952977000; 0.0011663000; False; 22.3175692000; 22.6071885000;1.77; 0.28923; 0.097448; 1.26511; 0.524304; 0.000363; false; 2.20085;1.16; 0.232116; 0.066246; 0.494523; 0.300382; 0.208565; 0.000257; false; 1.31758;1.81; 0.315873; 0.073038; 1.53874; 0.838827; 0.000673; false; 2.78979;14.06; 0.580416; 0.134153;0.031299; 8.1437; 5.65227; 1.37769; false; 15.9372;12.5; 0.385083; 0.106645;0.0040999999999999995; 4.56883; 7.09878; 0.112914; false; 12.2938;ERR;11.31; 0.6565; 0.0000; 8.3000; 2.2727; 0.0087; False; 10.5815; 11.2502;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;26.42;0.10589927999999998; 13.277069173; 6.0125E-5; false; 13.291213972; 13.603791115
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-rhs.mata;20.97;0.19157980000000002;0.013140099999999998; 24.4167153000; 0.0009503000; False; 24.4382644000; 24.6935046000;2.13; 0.388736; 0.103198; 1.65279; 0.619113; 0.000223; false; 2.78591;1.96; 0.398804; 0.124056; 0.805913; 0.6454; 0.29988; 0.000115; false; 2.29818;1.51; 0.489056; 0.072282; 0.874618; 0.418084; 0.000217; false; 1.87349;15.73; 0.319441; 0.100976;0.021032000000000002; 8.12141; 6.42441; 1.74778; false; 16.7498;14.58; 0.428937; 0.125599;0.0039889999999999995; 5.56655; 8.0091; 0.100258; false; 14.252;ERR;11.85; 0.5170; 0.0000; 9.3210; 2.3363; 0.0079; False; 11.6653; 12.1902;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;29.34;0.20632821899999998; 14.134550745; 3.1907E-5; false; 14.160864848; 14.545156622
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-rhs.mata;25.1;0.2814329;0.011754500000000001; 27.5132511000; 0.0009311000; False; 27.5325718000; 27.8683792000;2.36; 0.407332; 0.109238; 1.92629; 0.795678; 0.000265; false; 3.266;1.9; 0.725268; 0.106606; 0.733233; 0.455727; 0.299066; 0.000288; false; 2.34568;2.51; 0.484421; 0.147932; 1.74508; 0.404048; 0.000439; false; 2.81746;16.06; 0.487078; 0.10263;0.021653; 8.77224; 5.70727; 1.81046; false; 16.9152;14.82; 0.265508; 0.0801;0.003159; 4.78629; 8.73765; 0.189487; false; 14.0759;ERR;12.4; 0.4013; 0.0000; 9.3939; 2.7097; 0.0043; False; 12.1080; 12.5184;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;34.77;0.12432478899999999; 17.752198047; 3.06657E-4; false; 17.840550134; 18.35213185
