name;automata-runtime;automata-construction;automata-trim;mata-runtime;mata-mataparsing;mata-mataminterm;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;mona-runtime;pymata-runtime;pyfado-runtime;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-rhs.mata;TO;0.0659225;0.0068138;TO; 0.024601; 0.010127;ERR;ERR;ERR;ERR;TO; 0.022178; 0.009563;TO; 0.025756; 0.00991;0.0013;TO; 0.024478; 0.009711;0.000255;ERR;TO;TO;TO;TO;TO;0.039453115999999996
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-rhs.mata;TO;0.178579;0.0080892;TO; 0.1801; 0.072643;TO; 0.257019; 0.062998; 0.115732;TO; 0.168546; 0.048915;TO; 0.265785; 0.066931;0.022009;TO; 0.148063; 0.040655;0.001511;ERR;TO;TO;TO;TO;TO;0.086353423
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-rhs.mata;TO;0.18307810000000002;0.010541199999999999;TO; 0.284063; 0.071999;TO; 0.161813; 0.047808; 0.087804;TO; 0.230938; 0.058187;TO; 0.270633; 0.065958;0.016576;TO; 0.28461; 0.066361;0.002872;ERR;TO;TO;TO;TO;TO;0.118037001
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-rhs.mata;TO;0.1846653;0.010315300000000001;TO; 0.296659; 0.081438;TO; 0.309766; 0.080817; 0.184861;TO; 0.299425; 0.074411;TO; 0.289916; 0.071704;0.017991;TO; 0.172644; 0.047268;0.001774;ERR;TO;TO;TO;TO;TO;0.074796743
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-rhs.mata;TO;0.23112129999999997;0.0247522;TO; 0.327268; 0.08758;TO; 0.312356; 0.080246; 0.199259;TO; 0.302976; 0.081951;TO; 0.308746; 0.081059;0.021385;TO; 0.315168; 0.080765;0.0032170000000000002;ERR;TO;TO;TO;TO;TO;0.074760208
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-rhs.mata;TO;0.2050967;0.0249787;TO; 0.343767; 0.105162;TO; 0.362821; 0.092706; 0.252862;TO; 0.350569; 0.089041;TO; 0.366998; 0.078318;0.022705;TO; 0.202725; 0.059478;0.002321;ERR;TO;TO;TO;TO;TO;0.097678057
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-rhs.mata;TO;0.21456170000000002;0.0092045;TO; 0.391168; 0.099724;TO; 0.340119; 0.113666; 0.291072;TO; 0.358319; 0.096973;TO; 0.36387; 0.093527;0.027572;TO; 0.35316; 0.089253;0.003703;ERR;TO;TO;TO;TO;TO;0.122990289
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-rhs.mata;TO;0.2033067;0.010288199999999999;TO; 0.399153; 0.111131;TO; 0.392057; 0.097223; 0.322287;TO; 0.401884; 0.101722;TO; 0.376537; 0.09847;0.015684;TO; 0.37489; 0.091396;0.003837;ERR;TO;TO;TO;TO;TO;0.155501542
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-rhs.mata;TO;0.2353886;0.0108267;TO; 0.453932; 0.122836;TO; 0.388126; 0.096135; 0.375191;TO; 0.404228; 0.104234;TO; 0.433526; 0.107587;0.032715999999999995;TO; 0.389038; 0.099272;0.00412;ERR;TO;TO;TO;TO;TO;0.098630309
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-rhs.mata;TO;0.2677962;0.0107396;TO; 0.348638; 0.093946;TO; 0.472928; 0.124013; 0.442424;TO; 0.429302; 0.113511;TO; 0.436868; 0.109145;0.030577;TO; 0.264794; 0.075441;0.002909;ERR;TO;TO;TO;TO;TO;0.12288296500000001
