name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1732.0.mata;0.1; 0.088952; 0.014377; 0.002643; 0.00019; 0.000157; false; 0.115504
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1736.0.mata;0.05; 0.044828; 0.007654; 0.001303; 0.000103; 0.000101; false; 0.05901
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1737.0.mata;0.1; 0.088921; 0.01048; 0.001316; 0.000122; 7.9e-05; false; 0.110356
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1738.0.mata;0.05; 0.043888; 0.009954; 0.001356; 0.000101; 7.8e-05; false; 0.060639
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1739.0.mata;0.1; 0.097329; 0.012721; 0.002535; 0.000165; 0.000135; false; 0.122246
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1741.0.mata;0.05; 0.045132; 0.007603; 0.001345; 0.000121; 0.000108; false; 0.059363
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1748.0.mata;0.07; 0.05984; 0.010525; 0.002692; 0.000191; 7.5e-05; false; 0.080157
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1749.0.mata;0.08; 0.080388; 0.007406; 0.001258; 0.000102; 7.8e-05; false; 0.094235
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_175.0.mata;0.01; 0.013333; 0.002409; 0.00082; 6.7e-05; 3.5e-05; false; 0.018356
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1752.0.mata;0.07; 0.059286; 0.00968; 0.002531; 0.000178; 6.1e-05; false; 0.078708
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1755.0.mata;0.07; 0.059966; 0.009462; 0.002226; 0.000186; 6.7e-05; false; 0.078874
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1758.0.mata;0.03; 0.031271; 0.005878; 0.001319; 0.000113; 4.4e-05; false; 0.04281
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1761.0.mata;0.08; 0.070128; 0.009419; 0.002672; 0.000186; 6.8e-05; false; 0.08941
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1764.0.mata;0.03; 0.031954; 0.005605; 0.001285; 0.000106; 3.6e-05; false; 0.042682
