name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T133-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T133-rhs.mata;0.16; 0.102724; 0.051652; 0.008622; 0.001742; false; 0.174179
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T134-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T134-rhs.mata;0.21; 0.162163; 0.041597; 0.009932; 0.002595; false; 0.227815
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T17-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T17-rhs.mata;0.07; 0.038094; 0.01862; 0.022013; 0.000497; false; 0.082671
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T19-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T19-rhs.mata;0.07; 0.03939; 0.01733; 0.02173; 0.000513; false; 0.082543
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T20-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T20-rhs.mata;0.51; 0.37776; 0.141203; 0.001688; 0.00434; false; 0.554369
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T210-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T210-rhs.mata;0.33; 0.229498; 0.098411; 0.003698; 0.004385; false; 0.362447
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T211-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T211-rhs.mata;0.51; 0.374179; 0.137833; 0.014053; 0.004639; false; 0.562233
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T212-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T212-rhs.mata;0.33; 0.222407; 0.099599; 0.002303; 0.002807; false; 0.36041
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T213-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T213-rhs.mata;0.36; 0.214282; 0.14052; 0.001923; 0.004384; false; 0.392995
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T215-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T215-rhs.mata;0.43; 0.251743; 0.156293; 0.015771; 0.006641; false; 0.465707
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T217-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T217-rhs.mata;0.36; 0.270026; 0.092611; 0.007578; 0.002824; false; 0.392441
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T219-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T219-rhs.mata;0.42; 0.344931; 0.08681; 0.007032; 0.002672; false; 0.460589
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T224-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T224-rhs.mata;0.44; 0.306947; 0.142556; 0.002023; 0.005411; false; 0.489824
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T23-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T23-rhs.mata;0.51; 0.379172; 0.145815; 0.003532; 0.004538; false; 0.563931
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T231-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T231-rhs.mata;0.51; 0.387279; 0.13162; 0.001216; 0.003004; false; 0.546307
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T232-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T232-rhs.mata;0.49; 0.360539; 0.150012; 0.001693; 0.003661; false; 0.544026
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T233-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T233-rhs.mata;0.43; 0.288244; 0.143563; 0.001372; 0.003945; false; 0.465767
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T234-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T234-rhs.mata;0.5; 0.297588; 0.190757; 0.002251; 0.006838; false; 0.538922
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T235-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T235-rhs.mata;0.42; 0.353699; 0.088287; 0.000968; 0.002245; false; 0.462456
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T236-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T236-rhs.mata;0.51; 0.366894; 0.149562; 0.001419; 0.003474; false; 0.554054
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T237-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T237-rhs.mata;0.38; 0.314543; 0.10288; 0.001093; 0.002862; false; 0.442169
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T238-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T238-rhs.mata;0.41; 0.246401; 0.157431; 0.002272; 0.005018; false; 0.446075
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T239-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T239-rhs.mata;0.4; 0.320853; 0.090195; 0.001191; 0.002363; false; 0.437107
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T24-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T24-rhs.mata;0.48; 0.359646; 0.138; 0.002135; 0.004399; false; 0.534028
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T25-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T25-rhs.mata;0.4; 0.345337; 0.085565; 0.002035; 0.002614; false; 0.454008
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T26-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T26-rhs.mata;0.48; 0.341731; 0.153645; 0.002102; 0.00449; false; 0.534175
