name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-concat;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-concat;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;java-brics-runtime;java-brics-construction;java-brics-concat;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-concat;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10015-1.mata;0.11;0.000708;0.039976;0.010713;0.001933; false;0.123675;0.27;0.00072;5.1e-05;0.102285;0.109647;0.057239; false;0.275106;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;0.92;0.015162632;0.084052005;3.4476e-05; false;0.096921392;0.18977729;0.33;0.000696;0.2054929999999999;0.033829;0.016461;0.003251; false;0.339221
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10042-1.mata;0.04;0.00021;0.011892;0.010649;0.002154; false;0.045554;0.2;0.000211;2.4e-05;0.087724;0.085142;0.041782; false;0.221291;43.59; 0.0049; 0.0001;37.6991;0.1986; 4.9515; False; 42.8495; 42.8644;1.23;0.008072035;0.16962724;2.5379e-05; false;0.180416496;0.257441452;0.04;0.000138;0.012486;0.0050729999999999;0.007884;0.001901; false;0.039821
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10107-1.mata;0.19;0.001078;0.064054;0.023062;0.002632; false;0.209228;0.56;0.001066;7.7e-05;0.217103;0.23149;0.11859; false;0.57942;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.55;0.020545579;0.297626631;2.3877e-05; false;0.308027779;0.395527243;0.26;0.000695;0.124424;0.035132;0.022755;0.002264; false;0.265207
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10107-2.mata;0.0;5.5e-05;0.000377;0.0004359999999999;7.8e-05; false;0.001895;0.0;6e-05;9e-06;0.003113;0.002379;0.00098; false;0.00752;1.87; 0.0067; 0.0001;0.8003;0.0107; 0.0425; False; 0.8537; 0.8612;0.7;0.004103616;0.015171199;3.4868e-05; false;0.024901461;0.079672351;0.09;8.6e-05;0.100511;0.00056;0.000375;0.000101; false;0.103018
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10107-3.mata;0.44;0.002372;0.158191;0.039055;0.005578; false;0.477609;0.82;0.002465;0.00014;0.2735579999999999;0.400162;0.208284; false;0.894712;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.29;0.032570616;0.1541135619999999;3.004e-05; false;0.17732214;0.304169843;0.8;0.004654;0.285812;0.1527359999999999;0.048053;0.00509; false;0.829882
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10107-4.mata;0.05;0.000311;0.017608;0.007104;0.00069; false;0.059247;0.14;0.000331;2.5e-05;0.052306;0.05801;0.030675; false;0.145242;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.12;0.013590339;0.105717421;3.1336e-05; false;0.119534408;0.219295016;0.25;0.000553;0.1454389999999999;0.024953;0.0168509999999999;0.001262; false;0.251312
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10279-1.mata;0.02;0.000157;0.007211;0.00569;0.001113; false;0.026592;0.12;0.00016;2.1e-05;0.048848;0.046045;0.0222; false;0.121209;25.44; 0.0068; 0.0001;22.426000000000002;0.0542; 1.9922; False; 24.4731; 24.4877;1.07;0.007113867;0.0945193169999999;2.8837e-05; false;0.10544106;0.184749923;0.03;9.7e-05;0.018808;0.002882;0.002914;0.000802; false;0.032021
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10279-2.mata;0.04;0.000211;0.0125459999999999;0.01065;0.002301; false;0.047281;0.21;0.000225;2.5e-05;0.091733;0.089265;0.043362; false;0.231117;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.29;0.007952951;0.1667088629999999;2.4139e-05; false;0.19427092;0.265724304;0.04;0.00012;0.012978;0.005307;0.008833;0.002841; false;0.044945
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10296-1.mata;0.0;7.8e-05;0.000593;0.000528;0.000118; false;0.002432;0.01;8.4e-05;1.3e-05;0.005349;0.003912;0.00166; false;0.012416;2.39; 0.0065; 0.0001;1.2461;0.014; 0.0823; False; 1.3427; 1.3504;0.88;0.005056454;0.01877242;2.0885e-05; false;0.028615533;0.098804777;0.05;7.3e-05;0.063699;0.00033;0.0002089999999999;5.9e-05; false;0.065206
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10296-2.mata;0.0;0.000129;0.0031739999999999;0.000725;0.000203; false;0.009462;0.02;0.000139;1.2e-05;0.010121;0.008427;0.004162; false;0.024314;8.12; 0.0066; 0.0001;4.2094000000000005;0.0387; 2.8444; False; 7.0925; 7.1019;0.71;0.005580176;0.017063657;1.5643e-05; false;0.027588817;0.092070458;0.33;0.000117;0.339533;0.002273;0.000754;0.000254; false;0.346919
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10296-3.mata;0.02;0.000214;0.008643;0.001663;0.000499; false;0.024438;0.04;0.000228;1.8e-05;0.016212;0.015788;0.007902; false;0.041765;28.34; 0.0067; 0.0001;9.4005;0.0816; 17.9104; False; 27.3928; 27.4046;0.87;0.007735183;0.015884744;1.8853e-05; false;0.025124109;0.100784412;1.4;0.000229;1.419369;0.006173;0.002494;0.000451; false;1.44264
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10296-4.mata;0.02;0.000238;0.008816;0.001411;0.000443; false;0.024479;0.04;0.000239;1.8e-05;0.016742;0.016205;0.008069; false;0.042838;17.1; 0.0069; 0.0002;4.7791999999999994;0.0696; 11.2730; False; 16.1221; 16.1327;0.94;0.007625216;0.016099542;2.0565e-05; false;0.024768109;0.100409334;0.83;0.0002;0.8303349999999999;0.0049129999999999;0.001485;0.000418; false;0.846174
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10296-5.mata;0.0;7.7e-05;0.000565;0.00052;0.000115; false;0.002348;0.01;9.5e-05;9e-06;0.005243;0.0038259999999999;0.001651; false;0.012228;2.38; 0.0066; 0.0001;1.2446000000000002;0.0143; 0.0820; False; 1.3414; 1.3492;0.9;0.005044934;0.02371365;2.0792e-05; false;0.034052387;0.100987094;0.06;7.9e-05;0.071071;0.000501;0.000339;6.8e-05; false;0.07334
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10296-6.mata;0.89;0.005291;0.3282009999999999;0.060571;0.007881; false;0.932308;1.38;0.005274;0.000338;0.4648839999999999;0.668732;0.33435; false;1.48635;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.41;0.028855175;0.168699504;2.9026e-05; false;0.178514857;0.320965877;1.09;0.00512;0.357525;0.269779;0.068213;0.009439; false;1.14288
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10384-1.mata;0.2;0.001217;0.074256;0.0130499999999999;0.001274; false;0.206231;0.28;0.001273;9.1e-05;0.101687;0.127757;0.067223; false;0.301475;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.06;0.024413341;0.038667252;2.1005e-05; false;0.050241116;0.160774273;2.99;0.001149;2.901454;0.041216;0.018011;0.001596; false;3.05892
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10384-2.mata;0.04;0.000214;0.012837;0.010963;0.002354; false;0.048748;0.22;0.000221;2.5e-05;0.093619;0.0904109999999999;0.044797; false;0.235777;52.84; 0.0068; 0.0002;48.5038;0.19790000000000002; 3.4075; False; 52.1094; 52.1229;1.27;0.008214224;0.172751319;2.7095e-05; false;0.201545387;0.275473761;0.03;0.000127;0.013285;0.00503;0.006269;0.001601; false;0.038124
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10412-1.mata;0.04;0.000241;0.014481;0.012191;0.002729; false;0.054712;0.25;0.000236;2.7e-05;0.106032;0.104308;0.051212; false;0.269226;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.35;0.008525753;0.2138994679999999;2.6063e-05; false;0.232207174;0.304644201;0.04;0.000143;0.015655;0.006004;0.00709;0.002156; false;0.045361
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10412-2.mata;0.01;8.1e-05;0.003704;0.0009649999999999;0.000125; false;0.011233;0.03;0.000135;2.6e-05;0.015083;0.013877;0.005549; false;0.036383;5.87; 0.0066; 0.0001;3.0307;0.021199999999999997; 1.7870; False; 4.8390; 4.8479;0.75;0.004973109;0.0271288609999999;2.8622e-05; false;0.038155505;0.094974729;0.44;0.000165;0.446515;0.003106;0.000975;0.00043; false;0.457195
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10557-1.mata;0.52;0.002497;0.1697219999999999;0.053145;0.008716; false;0.54819;1.87;0.004987;0.000291;0.620724;0.914961;0.421241; false;1.98582;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.24;0.036888858;0.454604986;2.5359e-05; false;0.466208147;0.615025142;0.96;0.002796;0.150733;0.25561;0.085044;0.01392; false;0.979845
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10629-1.mata;0.01;9.8e-05;0.003852;0.003568;0.00076; false;0.015424;0.06;0.000105;1.1e-05;0.025862;0.027565;0.012766; false;0.069052;27.43; 0.0063; 0.0001;25.0745;0.053000000000000005; 1.4010; False; 26.5287; 26.5393;1.21;0.008567985;0.1156347269999999;2.8293e-05; false;0.129103862;0.219422545;0.05;0.000159;0.031814;0.005899;0.004995;0.001201; false;0.056211
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10691-1.mata;0.07;0.000366;0.020864;0.018347;0.004105; false;0.080537;0.39;0.000332;5.1e-05;0.160327;0.153676;0.082658; false;0.407946;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.57;0.018127923;0.277789859;2.5873e-05; false;0.301755991;0.418912015;0.08;0.000297;0.0194319999999999;0.0159769999999999;0.017229;0.003605; false;0.086388
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10783-1.mata;0.0;7.6e-05;0.000475;0.000486;0.000108; false;0.002119;0.01;9.4e-05;1.5e-05;0.005132;0.003692;0.001605; false;0.012179;1.91; 0.0069; 0.0001;0.6638999999999999;0.0103; 0.0429; False; 0.7175; 0.7254;0.75;0.004195423;0.017496507;2.861e-05; false;0.027983264;0.089631335;0.07;0.000109;0.077221;0.000534;0.000379;7.2e-05; false;0.079839
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10783-2.mata;0.0;8.6e-05;0.000589;0.000565;0.000131; false;0.002509;0.01;0.000103;1.1e-05;0.005612;0.004056;0.001705; false;0.013067;2.12; 0.0065; 0.0001;0.9226;0.0114; 0.0436; False; 0.9781; 0.9855;0.72;0.004355654;0.014729642;3.5931e-05; false;0.024540638;0.079080096;0.05;5.3e-05;0.053761;0.00027;0.000193;4.3e-05; false;0.055072
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10804-1.mata;0.05;0.000209;0.015333;0.015726;0.004033; false;0.063912;0.38;0.000245;2.6e-05;0.157756;0.153069;0.092084; false;0.415141;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.67;0.011352131;0.384020044;2.3977e-05; false;0.406498204;0.499444103;0.12;0.000407;0.030279;0.022403;0.026396;0.006228; false;0.135399
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10804-2.mata;0.03;0.000178;0.0097609999999999;0.008546;0.001885; false;0.037434;0.16;0.000214;2.1e-05;0.073626;0.069899;0.035384; false;0.184602;43.72; 0.0067; 0.0002;39.0583;0.08829999999999999; 3.7007; False; 42.8478; 42.8636;1.19;0.0075562;0.165560498;2.4652e-05; false;0.177156589;0.251827652;0.05;0.000181;0.016307;0.007878;0.008748;0.003172; false;0.054884
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10941-1.mata;0.0;9.2e-05;0.00058;0.000553;0.000121; false;0.002524;0.01;8.6e-05;9e-06;0.005306;0.003871;0.00166; false;0.012321;2.43; 0.0069; 0.0001;1.2252;0.014700000000000001; 0.0842; False; 1.3244; 1.3325;0.9;0.005551513;0.016242125;2.2559e-05; false;0.027522345;0.097745302;0.08;0.00012;0.082826;0.00052;0.000345;6.7e-05; false;0.085383
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10941-2.mata;0.54;0.003111;0.191306;0.041204;0.005695; false;0.561155;0.88;0.003226;0.000189;0.3199889999999999;0.42108;0.205428; false;0.960984;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.45;0.030870607;0.192873782;2.9848e-05; false;0.203454886;0.347678066;0.75;0.002933;0.226824;0.1607569999999999;0.0627399999999999;0.005983; false;0.778682
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10941-3.mata;0.23;0.001237;0.073475;0.027845;0.002852; false;0.243498;0.69;0.001225;8.9e-05;0.264221;0.296272;0.142842; false;0.719216;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.91;0.018236415;0.374965889;5.1076e-05; false;0.397336948;0.508401746;0.3;0.001163;0.074908;0.054714;0.032666;0.004678; false;0.314921
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10941-4.mata;0.08;0.000351;0.024266;0.020921;0.004656; false;0.092908;0.43;0.000355;3.8e-05;0.1846229999999999;0.181461;0.08803; false;0.466129;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.7;0.010923444;0.343313904;2.9739e-05; false;0.355964287;0.443528666;0.12;0.000315;0.026834;0.021136;0.021731;0.007237; false;0.126374
