name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-concat;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-concat;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-concat;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;java-brics-runtime;java-brics-construction;java-brics-concat;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-5.mata;0.0; 7.8e-05;0.000559;0.000505; 0.000115; false; 0.002337;0.01; 9.7e-05; 1.5e-05;0.005271;0.0038770000000000002; 0.001563; false; 0.012404;1.09; 0.0070; 0.0000;0.0051;0.0011; 0.0004; False; 0.0070; 0.0146;2.35; 0.0064; 0.0001;1.1118000000000001;0.0142; 0.1198; False; 1.2462; 1.2542;0.97; 0.005261582;0.01755798; 2.3534E-5; false; 0.0277574; 0.097648403
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-6.mata;0.0; 8.7e-05;0.00059;0.000575; 0.000124; false; 0.00255;0.01; 6.8e-05; 1.1e-05;0.003797;0.002966; 0.000986; false; 0.009005;1.23; 0.0068; 0.0000;0.0056;0.001; 0.0004; False; 0.0073; 0.0149;1.74; 0.0045; 0.0001;0.6901999999999999;0.0113; 0.1051; False; 0.8069; 0.8122;0.97; 0.00522975;0.019079225999999998; 2.559E-5; false; 0.028617509; 0.09861655
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-7.mata;0.0; 9.2e-05;0.00038500000000000003;0.000381; 7.5e-05; false; 0.001817;0.0; 6.3e-05; 7e-06;0.003014;0.002228; 0.000932; false; 0.007194;0.9; 0.0063; 0.0000;0.0045;0.0008; 0.0002; False; 0.0058; 0.0126;2.17; 0.0047; 0.0001;0.8915;0.0115; 0.0769; False; 0.9803; 0.9862;1.02; 0.007036066;0.017437536; 3.4734E-5; false; 0.029078818; 0.111747021
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-8.mata;0.0; 9.2e-05;0.000574;0.000548; 0.000115; false; 0.002489;0.01; 9.3e-05; 1e-05;0.0055709999999999996;0.00401; 0.001611; false; 0.012852;1.03; 0.0045; 0.0000;0.003;0.0006000000000000001; 0.0002; False; 0.0042; 0.0091;2.08; 0.0046; 0.0001;1.0434;0.0144; 0.0792; False; 1.1374; 1.1432;1.01; 0.005764529;0.020085417; 4.2455E-5; false; 0.031656029; 0.104708564
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-9.mata;0.0; 8.5e-05;0.000584;0.0006000000000000001; 0.000117; false; 0.002661;0.01; 0.000104; 1.7e-05;0.005866;0.004027; 0.001638; false; 0.013445;1.08; 0.0046; 0.0000;0.0035;0.0005; 0.0002; False; 0.0048; 0.0098;1.97; 0.0065; 0.0001;0.8509;0.0107; 0.0405; False; 0.9026; 0.9100;0.99; 0.005241139;0.033857638999999995; 3.6999E-5; false; 0.058454023; 0.126117479
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03005-1.mata;0.0; 5.4e-05;0.00030999999999999995;0.00033600000000000004; 9e-05; false; 0.001453;0.01; 6.2e-05; 1.1e-05;0.003294;0.0024679999999999997; 0.00093; false; 0.007825;0.93; 0.0048; 0.0000;0.0043;0.0006000000000000001; 0.0002; False; 0.0056; 0.0110;1.9; 0.0063; 0.0001;0.8481000000000001;0.021900000000000003; 0.0793; False; 0.9496; 0.9567;0.9; 0.00497334;0.016696691; 2.8518E-5; false; 0.028418115; 0.09840272
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03140-1.mata;0.0; 5.8e-05;0.00030399999999999996;0.00034100000000000005; 7.5e-05; false; 0.001459;0.0; 7e-05; 1.1e-05;0.0032909999999999997;0.002415; 0.000962; false; 0.007942;1.23; 0.0047; 0.0000;0.0039;0.0005; 0.0003; False; 0.0051; 0.0103;2.17; 0.0055; 0.0001;0.9421;0.0105; 0.0510; False; 1.0040; 1.0104;0.96; 0.005676491;0.018460283999999997; 2.5097E-5; false; 0.02992012; 0.1065379
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-1.mata;0.0; 5.7e-05;0.00030100000000000005;0.00032799999999999995; 7.5e-05; false; 0.001427;0.0; 7.2e-05; 1e-05;0.003208;0.0023550000000000003; 0.000936; false; 0.007587;1.23; 0.0065; 0.0000;0.0059;0.0011; 0.0004; False; 0.0077; 0.0149;1.96; 0.0065; 0.0001;0.8305;0.0108; 0.0411; False; 0.8828; 0.8902;0.94; 0.005450486;0.016003527; 3.9242E-5; false; 0.027757467; 0.101668148
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-2.mata;0.0; 9e-05;0.000606;0.000586; 0.000123; false; 0.002635;0.01; 0.000108; 1.2e-05;0.0055379999999999995;0.0039900000000000005; 0.001657; false; 0.01293;1.03; 0.0065; 0.0000;0.0062;0.0009; 0.0003; False; 0.0076; 0.0146;2.03; 0.0064; 0.0001;0.9094;0.0112; 0.0752; False; 0.9962; 1.0039;1.02; 0.012780043;0.015087072; 1.7955E-5; false; 0.024645869; 0.132252433
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-3.mata;0.0; 9.2e-05;0.00056;0.0005679999999999999; 0.000127; false; 0.002532;0.01; 9.9e-05; 1.4e-05;0.0050349999999999995;0.0036249999999999998; 0.001589; false; 0.011936;1.2; 0.0079; 0.0000;0.0112;0.0013; 0.0005; False; 0.0134; 0.0221;1.73; 0.0049; 0.0001;0.7424;0.010100000000000001; 0.0445; False; 0.7972; 0.8034;0.91; 0.004182343;0.014829695; 2.4774E-5; false; 0.026413875; 0.07852729
