name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-concat;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-concat;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;awali-runtime;awali-mataparsing;awali-construction;awali-concat;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-concat;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-concat;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;java-brics-runtime;java-brics-construction;java-brics-concat;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance09263-1.mata;0.03; 0.000171;0.011085000000000001;0.011118; 0.00284; false; 0.04513;0.05; 0.000187;0.011682999999999999;0.008736;0.010936000000000001; 0.002911; false; 0.054239;0.03; 0.000172;0.010919;0.011082; 0.002815; false; 0.044892;0.24; 0.000305; 3.6e-05;0.100305;0.103167; 0.048922; false; 0.259505;1.7; 0.0049; 0.0000;0.14229999999999998;0.7734; 0.0097; False; 0.9258; 0.9357;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.34; 0.007271488;0.20753180999999998; 3.3389E-5; false; 0.218008164; 0.2761943
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance09326-1.mata;0.03; 0.000184;0.009398;0.0070350000000000005; 0.00147; false; 0.035505;0.04; 0.000177;0.015541999999999997;0.007526;0.006808; 0.001494; false; 0.048941;0.03; 0.000172;0.009438;0.007202; 0.001481; false; 0.036358;0.15; 0.000334; 4e-05;0.063854;0.065194; 0.028067; false; 0.162377;1.14; 0.0050; 0.0000;0.09040000000000001;0.2146; 0.0053; False; 0.3106; 0.3202;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;0.99; 0.006550453;0.120112775; 2.1434E-5; false; 0.129741843; 0.185659641
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance09326-2.mata;0.0; 7.3e-05;0.000565;0.000559; 0.000114; false; 0.002428;0.05; 6.5e-05;0.056834;0.000448;0.00029099999999999997; 4.1e-05; false; 0.058773;0.0; 5.1e-05;0.000289;0.000308; 7.6e-05; false; 0.001324;0.01; 8.1e-05; 9e-06;0.005242;0.0038519999999999995; 0.001693; false; 0.012093;0.79; 0.0046; 0.0000;0.0031000000000000003;0.0005; 0.0002; False; 0.0043; 0.0092;1.36; 0.0045; 0.0001;0.5158;0.006699999999999999; 0.0402; False; 0.5628; 0.5680;0.75; 0.003740153;0.013023340999999999; 2.1731E-5; false; 0.022223647; 0.070901988
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance09326-3.mata;0.31; 0.002949;0.109705;0.029262999999999997; 0.004351; false; 0.33432;0.4; 0.003012;0.12313900000000001;0.086424;0.028968; 0.004407; false; 0.42367;0.31; 0.002906;0.113094;0.02991; 0.0043; false; 0.341659;0.8; 0.003025; 0.000269;0.334114;0.33436299999999997; 0.166994; false; 0.846331;1.52; 0.0075; 0.0000;0.5203;0.1343; 0.0140; False; 0.6690; 0.7118;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.35; 0.019017381;0.14040897400000002; 2.6359E-5; false; 0.150299853; 0.23791308
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance09326-4.mata;1.03; 0.005184;0.35847;0.092185; 0.016156; false; 1.09018;1.27; 0.005241;0.302446;0.29699699999999996;0.091555; 0.016017; false; 1.31613;1.08; 0.009896;0.38253800000000004;0.093878; 0.01605; false; 1.14171;2.77; 0.010112; 0.000788;1.034941;1.2488929999999998; 0.585876; false; 2.89794;2.77; 0.0137; 0.0000;1.6405;0.2885; 0.0371; False; 1.9665; 2.0998;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.99; 0.034098245;0.320870842; 2.8246E-5; false; 0.329493295; 0.46438518
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance09633-1.mata;0.09; 0.00052;0.025008000000000002;0.024887; 0.005997; false; 0.100858;0.1; 0.000532;0.023975;0.02025;0.024732; 0.00594; false; 0.119829;0.08; 0.000283;0.022703;0.023177999999999997; 0.006083; false; 0.093902;0.49; 0.000291; 4e-05;0.191852;0.218304; 0.10941; false; 0.531822;4.27; 0.0051; 0.0000;0.31120000000000003;3.2514000000000003; 0.0226; False; 3.5854; 3.5999;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.86; 0.011507629;0.375383924; 2.2755E-5; false; 0.383894325; 0.459905823
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance09664-1.mata;0.09; 0.000672;0.03597;0.010447999999999999; 0.001915; false; 0.104169;0.14; 0.000353;0.087216;0.015404;0.007958; 0.001903; false; 0.148118;0.06; 0.000357;0.020885;0.008025000000000001; 0.001928; false; 0.069086;0.19; 0.000349; 3.3e-05;0.073546;0.080301; 0.042406; false; 0.200524;1.0; 0.0052; 0.0000;0.1229;0.0779; 0.0044; False; 0.2055; 0.2189;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.01; 0.012834931;0.09259065799999999; 1.4697E-5; false; 0.109205676; 0.187257781
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance09776-1.mata;0.03; 0.000209;0.009998;0.008869; 0.001323; false; 0.036235;0.02; 0.00011;0.009308;0.004268;0.005054; 0.001309; false; 0.029529;0.02; 0.00013;0.005412;0.005350000000000001; 0.001323; false; 0.021984;0.1; 0.000113; 1.5e-05;0.044711;0.045597; 0.021613; false; 0.115372;1.02; 0.0047; 0.0000;0.061399999999999996;0.1927; 0.0047; False; 0.2593; 0.2668;31.54; 0.0047; 0.0001;28.6079;0.0944; 2.1374; False; 30.8398; 30.8504;1.01; 0.007164391;0.11390301; 1.9794E-5; false; 0.124331885; 0.190639601
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance09799-1.mata;0.08; 0.00044;0.027329;0.007624000000000001; 0.00152; false; 0.084701;0.15; 0.000434;0.088021;0.021466;0.007449; 0.001537; false; 0.164194;0.09; 0.000785;0.032944;0.008459000000000001; 0.001521; false; 0.099996;0.21; 0.000462; 4.3e-05;0.09358;0.089502; 0.047111; false; 0.234182;1.01; 0.0056; 0.0000;0.1438;0.0496; 0.0040; False; 0.1978; 0.2131;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;0.97; 0.014639684;0.079667426; 2.3804E-5; false; 0.088855921; 0.17961307
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance09849-1.mata;0.06; 0.000235;0.017231000000000003;0.017440999999999998; 0.004457; false; 0.07114;0.08; 0.000415;0.027873;0.014873;0.017480999999999997; 0.004579; false; 0.098266;0.06; 0.000239;0.017019;0.017495; 0.004448; false; 0.070858;0.36; 0.000238; 2.8e-05;0.140963;0.15678799999999998; 0.080173; false; 0.387203;2.74; 0.0053; 0.0000;0.2331;1.7194; 0.0164; False; 1.9690; 1.9821;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.64; 0.010855146;0.334711285; 1.858E-5; false; 0.342824934; 0.416420261
