name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-0.111-runtime;mata-0.111-mataparsing;mata-0.111-mataminterm;mata-0.111-inclusion_check;mata-0.111-inclusion_check_result;mata-0.111-overall;mata-0.112-runtime;mata-0.112-mataparsing;mata-0.112-mataminterm;mata-0.112-inclusion_check;mata-0.112-inclusion_check_result;mata-0.112-overall;mata-0.113-runtime;mata-0.113-mataparsing;mata-0.113-mataminterm;mata-0.113-inclusion_check;mata-0.113-inclusion_check_result;mata-0.113-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-rhs.mata;0.4; 0.277234; 0.103553; 0.028869; false; 0.428863;0.42; 0.282245; 0.112111; 0.031663; false; 0.450907;0.59; 0.293663; 0.073763; 0.24371; false; 0.624462;0.73; 0.198215; 0.109294; 0.431331; false; 0.759102
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-rhs.mata;0.36; 0.301705; 0.079818; 0.013721; false; 0.413466;0.44; 0.307988; 0.125438; 0.020578; false; 0.476627;0.52; 0.240992; 0.075855; 0.228504; false; 0.561214;0.95; 0.305293; 0.114171; 0.535884; false; 0.977566
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;2.06; 1.44332; 0.659341; 0.038529; false; 2.21918;1.35; 0.953886; 0.417219; 0.03048; false; 1.4741;4.69; 1.77113; 0.517522; 2.54434; false; 4.89802;7.67; 1.78744; 0.459127; 5.55213; false; 7.8786
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;1.6; 1.16875; 0.433686; 0.055523; false; 1.73653;2.31; 1.70381; 0.631703; 0.065229; false; 2.4988;14.11; 1.27274; 0.622985; 12.2875; false; 14.2883;20.04; 1.72039; 0.602062; 17.8245; false; 20.2518
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;2.14; 1.5075; 0.617691; 0.076364; false; 2.29854;1.84; 1.50072; 0.396335; 0.039224; false; 2.0121;13.35; 1.41715; 0.656772; 11.2943; false; 13.4932;16.25; 1.21573; 0.402597; 14.7135; false; 16.4046
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.61; 0.473726; 0.169829; 0.007444; false; 0.675183;0.58; 0.439984; 0.168425; 0.003917; false; 0.636288;0.89; 0.415086; 0.159692; 0.35206; false; 0.949513;0.95; 0.443859; 0.167252; 0.360481; false; 0.99744
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.38; 0.293081; 0.108436; 0.004614; false; 0.42383;0.35; 0.256139; 0.110332; 0.001665; false; 0.386984;0.67; 0.399655; 0.108349; 0.210849; false; 0.736421;0.94; 0.43744; 0.172032; 0.367626; false; 1.00341
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T10-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T10-rhs.mata;0.02; 0.019192; 0.012569; 0.000212; false; 0.034631;0.02; 0.019596; 0.012041; 2.6e-05; false; 0.034167;0.02; 0.019809; 0.011812; 2.4e-05; false; 0.034111;0.02; 0.019431; 0.012056; 0.000232; false; 0.034253
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T11-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T11-rhs.mata;0.49; 0.353539; 0.141749; 0.00507; false; 0.53558;0.51; 0.366879; 0.14725; 0.001164; false; 0.552486;0.52; 0.375052; 0.146752; 0.016193; false; 0.57275;0.49; 0.361148; 0.14491; 0.006477; false; 0.548932
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T113-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T113-rhs.mata;0.02; 0.020748; 0.012611; 0.000235; false; 0.036057;0.02; 0.019424; 0.011806; 2.4e-05; false; 0.033772;0.02; 0.019595; 0.011786; 2.6e-05; false; 0.033721;0.03; 0.019121; 0.011747; 0.000241; false; 0.033457
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T114-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T114-rhs.mata;0.05; 0.045021; 0.019773; 0.000457; false; 0.069103;0.06; 0.044198; 0.019839; 8.6e-05; false; 0.067973;0.05; 0.043791; 0.019316; 6.6e-05; false; 0.067126;0.06; 0.044138; 0.020271; 0.000556; false; 0.068938
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T116-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T116-rhs.mata;0.06; 0.047064; 0.021905; 0.000475; false; 0.07401;0.06; 0.045399; 0.019978; 7.5e-05; false; 0.06963;0.06; 0.046689; 0.02148; 6.4e-05; false; 0.072779;0.06; 0.047224; 0.023203; 0.000606; false; 0.075951
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T118-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T118-rhs.mata;0.08; 0.059109; 0.029819; 0.000724; false; 0.096056;0.08; 0.059442; 0.02544; 0.000104; false; 0.090044;0.07; 0.059299; 0.026191; 6.6e-05; false; 0.09071;0.08; 0.05821; 0.026994; 0.000759; false; 0.091791
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T12-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T12-rhs.mata;0.49; 0.358896; 0.144237; 0.00539; false; 0.544208;0.48; 0.35818; 0.141853; 0.001173; false; 0.536013;0.51; 0.370043; 0.146979; 0.016516; false; 0.570502;0.49; 0.36231; 0.143175; 0.006264; false; 0.547434
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T120-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T120-rhs.mata;0.08; 0.062668; 0.026564; 0.000666; false; 0.095565;0.08; 0.060948; 0.028252; 9e-05; false; 0.094482;0.08; 0.06232; 0.026205; 6.7e-05; false; 0.094214;0.07; 0.060748; 0.025977; 0.000718; false; 0.092876
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T121-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T121-rhs.mata;0.08; 0.057736; 0.026708; 0.000649; false; 0.090859;0.08; 0.059198; 0.027878; 0.000101; false; 0.092992;0.08; 0.058747; 0.027175; 6.7e-05; false; 0.091616;0.08; 0.057561; 0.026823; 0.000733; false; 0.090963
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T122-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T122-rhs.mata;0.09; 0.066622; 0.030824; 0.000696; false; 0.104882;0.09; 0.065534; 0.029504; 0.000106; false; 0.101357;0.09; 0.0644; 0.029622; 6.6e-05; false; 0.100422;0.09; 0.064692; 0.029575; 0.000806; false; 0.101738
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T123-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T123-rhs.mata;0.08; 0.060311; 0.027662; 0.000669; false; 0.094697;0.08; 0.061942; 0.029512; 0.000119; false; 0.097402;0.07; 0.057799; 0.02646; 6.8e-05; false; 0.090053;0.08; 0.060934; 0.027897; 0.000784; false; 0.095454
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T124-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T124-rhs.mata;0.02; 0.020637; 0.01217; 0.000237; false; 0.035509;0.02; 0.020931; 0.011863; 2.6e-05; false; 0.035077;0.02; 0.019578; 0.011323; 3.1e-05; false; 0.033229;0.02; 0.021032; 0.011744; 0.000232; false; 0.035201
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T125-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T125-rhs.mata;0.09; 0.070032; 0.030701; 0.000647; false; 0.107695;0.09; 0.076274; 0.03094; 9.3e-05; false; 0.113167;0.09; 0.070129; 0.030374; 7e-05; false; 0.106814;0.1; 0.071577; 0.031919; 0.000786; false; 0.111073
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T126-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T126-rhs.mata;0.08; 0.064565; 0.029687; 0.000739; false; 0.101452;0.09; 0.066926; 0.030338; 0.000108; false; 0.103752;0.09; 0.064447; 0.029899; 6.8e-05; false; 0.100881;0.09; 0.067823; 0.030765; 0.000823; false; 0.10603
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T127-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T127-rhs.mata;0.09; 0.071041; 0.031433; 0.000689; false; 0.109438;0.09; 0.07156; 0.029828; 9.9e-05; false; 0.10736;0.1; 0.071136; 0.035033; 6.8e-05; false; 0.113738;0.1; 0.071161; 0.032335; 0.000843; false; 0.111022
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T128-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T128-rhs.mata;0.09; 0.071502; 0.032021; 0.000724; false; 0.111482;0.1; 0.074111; 0.034709; 0.000123; false; 0.116261;0.1; 0.076208; 0.032228; 6.7e-05; false; 0.114757;0.1; 0.072979; 0.032678; 0.000813; false; 0.113043
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T129-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T129-rhs.mata;0.1; 0.075145; 0.030536; 0.000646; false; 0.112456;0.1; 0.074458; 0.032755; 0.000104; false; 0.113758;0.1; 0.073805; 0.03472; 7.1e-05; false; 0.11558;0.1; 0.070422; 0.032035; 0.000823; false; 0.110172
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T13-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T13-rhs.mata;0.03; 0.025353; 0.013915; 0.000303; false; 0.042467;0.03; 0.024966; 0.013978; 4.4e-05; false; 0.041585;0.03; 0.025763; 0.013935; 0.000109; false; 0.04272;0.03; 0.024709; 0.013235; 0.000396; false; 0.040955
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T130-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T130-rhs.mata;0.1; 0.074194; 0.030861; 0.000649; false; 0.111841;0.1; 0.072908; 0.033698; 0.000104; false; 0.113379;0.1; 0.073118; 0.034008; 7.2e-05; false; 0.114379;0.1; 0.070669; 0.032357; 0.000859; false; 0.110836
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T131-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T131-rhs.mata;0.02; 0.019914; 0.012339; 0.000213; false; 0.035028;0.02; 0.019392; 0.012086; 2.3e-05; false; 0.034006;0.02; 0.019608; 0.012506; 2.5e-05; false; 0.034565;0.02; 0.019484; 0.011997; 0.000226; false; 0.034263
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T132-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T132-rhs.mata;0.03; 0.020358; 0.012649; 0.000221; false; 0.035796;0.02; 0.019521; 0.011997; 2.5e-05; false; 0.033995;0.02; 0.020216; 0.012712; 2.4e-05; false; 0.035592;0.02; 0.019583; 0.01247; 0.000249; false; 0.035065
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T133-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T133-rhs.mata;0.21; 0.158921; 0.066144; 0.003162; false; 0.243032;0.23; 0.168664; 0.070943; 0.000724; false; 0.25584;0.23; 0.171335; 0.069131; 0.001608; false; 0.256915;0.24; 0.170464; 0.073024; 0.003831; false; 0.263144
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T134-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T134-rhs.mata;0.22; 0.165355; 0.06681; 0.002589; false; 0.248756;0.23; 0.172778; 0.069606; 0.000414; false; 0.257843;0.23; 0.175188; 0.055632; 0.004609; false; 0.24412;0.23; 0.170175; 0.074837; 0.003696; false; 0.263528
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T17-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T17-rhs.mata;0.04; 0.032855; 0.016654; 0.00039; false; 0.053606;0.02; 0.020961; 0.010566; 4e-05; false; 0.033749;0.04; 0.03414; 0.016482; 6.4e-05; false; 0.053954;0.02; 0.020759; 0.010805; 0.000258; false; 0.033883
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T19-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T19-rhs.mata;0.02; 0.022972; 0.011764; 0.000272; false; 0.037435;0.05; 0.036514; 0.019764; 6.3e-05; false; 0.060014;0.05; 0.040873; 0.02125; 0.000149; false; 0.066755;0.03; 0.022511; 0.011088; 0.00038; false; 0.036219
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T20-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T20-rhs.mata;0.52; 0.387773; 0.144081; 0.004544; false; 0.573046;0.51; 0.385666; 0.138992; 0.000888; false; 0.555184;0.46; 0.342124; 0.135063; 0.000627; false; 0.514915;0.52; 0.374888; 0.146888; 0.006782; false; 0.569575
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T210-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T210-rhs.mata;0.52; 0.372104; 0.144778; 0.005417; false; 0.559899;0.5; 0.382253; 0.135666; 0.00085; false; 0.549653;0.53; 0.37206; 0.154546; 0.003806; false; 0.571925;0.53; 0.398758; 0.144207; 0.006563; false; 0.588223
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T211-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T211-rhs.mata;0.52; 0.405658; 0.144146; 0.004015; false; 0.585881;0.33; 0.246445; 0.097701; 0.00083; false; 0.367705;0.33; 0.228696; 0.101868; 0.010223; false; 0.369351;0.56; 0.396706; 0.159568; 0.006913; false; 0.611109
