name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-0.111-runtime;mata-0.111-mataparsing;mata-0.111-mataminterm;mata-0.111-intersection;mata-0.111-trim;mata-0.111-inclusion_check;mata-0.111-inclusion_check_result;mata-0.111-overall;mata-0.112-runtime;mata-0.112-mataparsing;mata-0.112-mataminterm;mata-0.112-intersection;mata-0.112-trim;mata-0.112-inclusion_check;mata-0.112-inclusion_check_result;mata-0.112-overall;mata-0.113-runtime;mata-0.113-mataparsing;mata-0.113-mataminterm;mata-0.113-intersection;mata-0.113-trim;mata-0.113-inclusion_check;mata-0.113-inclusion_check_result;mata-0.113-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut3.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut49.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;0.07; 0.062686; 0.021097;0.00043400000000000003;0.000194; 0.000214; true; 0.087324;0.04; 0.035605; 0.012661;0.000223;0.00015999999999999999; 7e-05; true; 0.050419;0.07; 0.060959; 0.021537;0.000468;0.00017900000000000001; 0.000136; true; 0.085859;0.05; 0.04996; 0.012307;0.000225;0.000108; 0.000157; true; 0.064137
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut3.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.1; 0.082135; 0.024967;0.000421;0.000166; 0.000366; true; 0.111879;0.12; 0.092331; 0.039436;0.0006050000000000001;0.00020299999999999997; 1e-05; true; 0.138556;0.12; 0.10425; 0.031684;0.000552;0.00014399999999999998; 8e-06; true; 0.140813;0.1; 0.071843; 0.041009;0.0006219999999999999;0.00025100000000000003; 0.000387; true; 0.120423
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut39.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut53.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata;0.04; 0.037454; 0.012329;1.4000000000000001e-05;7e-06; 5e-05; true; 0.052312;0.06; 0.044738; 0.020119;2e-05;1.2000000000000002e-05; 8e-06; true; 0.069541;0.03; 0.027066; 0.013336;1.8e-05;9e-06; 1e-05; true; 0.043201;0.04; 0.02639; 0.020513;2.3000000000000003e-05;1.4e-05; 9.9e-05; true; 0.05101
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut36.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut57.mata;0.02; 0.022332; 0.007127;7e-05;4.4e-05; 0.000123; true; 0.030905;0.03; 0.023567; 0.011065;0.00010099999999999999;4.3e-05; 9.5e-05; true; 0.036341;0.03; 0.02391; 0.010737;7.2e-05;3.0000000000000004e-05; 5.1e-05; true; 0.036075;0.02; 0.019834; 0.010858;0.00010099999999999999;5.8e-05; 0.000201; true; 0.0329
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut44.mata;0.02; 0.021225; 0.011587;9e-06;4.9999999999999996e-06; 2e-05; true; 0.034743;0.05; 0.034929; 0.017862;1.3000000000000001e-05;8e-06; 8e-06; true; 0.056056;0.04; 0.026395; 0.018201;1.2000000000000002e-05;5.999999999999999e-06; 7e-06; true; 0.047967;0.04; 0.035823; 0.012133;8e-06;4.9999999999999996e-06; 1.9e-05; true; 0.049911
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.06; 0.044225; 0.028634;1.1000000000000001e-05;5.999999999999999e-06; 0.000436; true; 0.077702;0.08; 0.069416; 0.027805;1.2000000000000002e-05;5.999999999999999e-06; 9e-06; true; 0.101699;0.05; 0.041945; 0.017628;8e-06;4.9999999999999996e-06; 6e-06; true; 0.062353;0.07; 0.069641; 0.016645;8e-06;4e-06; 0.000227; true; 0.089114
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut7.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata;0.34; 0.26623; 0.103479;1.4999999999999999e-05;8e-06; 8.1e-05; true; 0.381229;0.4; 0.339818; 0.093882;1.3000000000000001e-05;9e-06; 1.1e-05; true; 0.444535;0.41; 0.355548; 0.089068;9e-06;5.999999999999999e-06; 6e-06; true; 0.451158;0.26; 0.230081; 0.065635;9e-06;4e-06; 4.9e-05; true; 0.302335
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut56.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut71.mata;0.06; 0.045234; 0.018829;1e-05;5.999999999999999e-06; 7.5e-05; true; 0.066581;0.07; 0.059218; 0.02046;1.2000000000000002e-05;5.999999999999999e-06; 1e-05; true; 0.082373;0.07; 0.056902; 0.021055;1.1000000000000001e-05;7e-06; 8e-06; true; 0.080771;0.06; 0.054664; 0.014214;7e-06;4.9999999999999996e-06; 5.1e-05; true; 0.070787
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut5.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.46; 0.388929; 0.112397;8.9e-05;3.2e-05; 0.001379; true; 0.516297;0.31; 0.225984; 0.11162;0.000105;3.5999999999999994e-05; 1.3e-05; true; 0.353653;0.26; 0.218011; 0.070897;5.5e-05;2.3000000000000003e-05; 8e-06; true; 0.297332;0.45; 0.390147; 0.096488;0.000111;3.6e-05; 0.001928; true; 0.503121
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut5.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut57.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.3; 0.264779; 0.068083;0.000187;6.1000000000000005e-05; 0.000945; true; 0.340803;0.29; 0.24228; 0.0826;0.000213;6.2e-05; 9.4e-05; true; 0.331684;0.32; 0.308745; 0.056989;0.000132;4.1e-05; 5.6e-05; true; 0.371089;0.26; 0.213273; 0.080424;0.00018899999999999999;7e-05; 0.00066; true; 0.301941
