                                                    1st Quartile / Median / 3rd Quartile per op/bench                                                     
----------------------------------------------------------------------------------------------------------------------------------------------------------
benchop    mata             awali            vata              automata        brics           (j)alib        fado            (py)alib       (py)mata
trans/bci  -                -                -                 -               -               -              -               -              0.0, 0.0, 0.0
trans/bi   -                -                -                 -               -               -              60, 60, 60      60, 60, 60     60, 60, 60
trans/ef   -                -                -                 -               -               -              0.0, 0.2, 1.7   0.0, 0.1, 0.2  0.0, 0.0, 0.0
trans/p    -                -                -                 -               -               -              0.1, 0.4, 0.7   0.0, 0.1, 0.2  0.0, 0.0, 0.0
trans/zn   -                -                -                 -               -               -              0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim/bcd   0.2, 0.7, 1.5    0.8, 2.9, 6.0    0.7, 2.2, 5.4     0.0, 0.0, 0.0   -               -              -               -              0.2, 0.9, 2.3
trim/bci   0.2, 0.8, 1.5    0.7, 2.9, 5.9    0.8, 2.4, 5.6     0.0, 0.0, 0.0   -               -              -               -              0.2, 1.1, 2.2
trim/bi    2.1, 4.0, 5.4    0.3, 21.0, 28.4  0.3, 6.5, 24.4    0.4, 0.6, 1.2   -               -              -               -              60, 60, 60
trim/ef    0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     0.0, 0.0, 0.0   -               -              -               -              0.0, 0.0, 0.0
trim/p     0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     -               -               -              -               -              0.0, 0.0, 0.0
trim/zn    0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     -               -               -              -               -              0.0, 0.0, 0.0
