name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06190-*.mata;0.0; 0.001288; 0.000192; 1.7e-05; 7e-06; 1e-06; true; 0.001845
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06191-*.mata;0.03; 0.036548; 0.000193; 3e-05; 1.4e-05; 0.000155; false; 0.042786
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06196-*.mata;0.02; 0.037792;0.004098;0.0005679999999999999;0.000143; 1e-06; true; 0.051007
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06197-*.mata;0.0; 0.000968; 0.000146; 9e-06; 4e-06; 1e-06; true; 0.00138
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06200-*.mata;0.03; 0.027602; 0.006567; 0.000221; 7e-06; 3e-06; false; 0.039506
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06201-*.mata;0.02; 0.022595;9.799999999999998e-05;1e-05;8e-06; 1e-06; true; 0.027247
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06206-*.mata;0.01; 0.009991;0.000498;1.5e-05;1.4000000000000001e-05; 1e-06; true; 0.013736
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06207-*.mata;0.0; 0.001133;0.000206;8e-06;2e-06; 1e-06; true; 0.001682
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06210-*.mata;0.05; 0.049703;0.000703;9.5e-05;3.1e-05; 0.000119; false; 0.05506
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06211-*.mata;0.01; 0.008925;0.001364;0.00011;1.3000000000000001e-05; 1e-06; true; 0.012518
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06216-*.mata;0.02; 0.024801;0.000233;3.3e-05;1.5e-05; 3e-06; false; 0.029602
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06217-*.mata;0.0; 0.005873;0.001338;8.9e-05;2.1000000000000002e-05; 5e-05; false; 0.008799
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06220-*.mata;0.02; 0.019198;0.000305;2.4e-05;1.4e-05; 6.5e-05; false; 0.022735
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06221-*.mata;0.12; 0.105474;0.00238;0.000249;6.2e-05; 0.000496; false; 0.125106
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06226-*.mata;0.08; 0.068986;0.004408;0.00025900000000000006;7.1e-05; 2e-06; true; 0.087249
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06227-*.mata;0.01; 0.005986;0.00032900000000000003;3.1e-05;1.2e-05; 2e-06; true; 0.007769
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06230-*.mata;0.04; 0.036054;0.004301999999999999;0.0006540000000000001;0.00018999999999999998; 2e-06; true; 0.04598
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06231-*.mata;0.0; 0.002432;0.00055;2.3e-05;6e-06; 1e-06; true; 0.003687
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06236-*.mata;0.01; 0.014908;0.003955;0.00082;0.000163; 7.3e-05; false; 0.023146
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06237-*.mata;0.01; 0.010036; 0.001784; 0.000132; 3.6e-05; 6.3e-05; false; 0.013632
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06240-*.mata;0.0; 0.002095;0.0009830000000000001;3.5e-05;4.9999999999999996e-06; 1e-06; true; 0.003768
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06241-*.mata;0.01; 0.013819;0.0032679999999999996;0.000488;9.999999999999999e-05; 1e-06; true; 0.020758
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06246-*.mata;0.04; 0.035203;0.004795000000000001;0.000819;0.000169; 0.000173; false; 0.047545
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06247-*.mata;0.0; 0.003169;0.000766;0.00015900000000000002;3.8e-05; 2e-05; false; 0.00495
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06250-*.mata;0.0; 0.00235; 0.000461; 7.5e-05; 4.4e-05; 3.4e-05; false; 0.003716
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06251-*.mata;0.0; 0.000681;0.000163;8e-06;3e-06; 1e-06; true; 0.001071
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06256-*.mata;0.0; 0.002693; 0.000406; 0.000107; 2.5e-05; 2e-05; false; 0.003852
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06257-*.mata;0.08; 0.067554;0.004389;0.000303;7.900000000000001e-05; 0.000205; false; 0.085096
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06260-*.mata;0.0; 0.006768;0.001722;6.599999999999999e-05;4.7e-05; 2e-06; true; 0.010192
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06261-*.mata;0.01; 0.017846;0.001026;6.6e-05;4.7000000000000004e-05; 4.8e-05; false; 0.021309
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06266-*.mata;0.0; 0.002807; 0.000777; 1.9e-05; 2e-05; 1e-06; true; 0.00426
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06267-*.mata;0.0; 0.006459; 0.000332; 0.000189; 3.7e-05; 4.5e-05; false; 0.008258
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06270-*.mata;0.0; 0.001725; 0.000207; 3.7e-05; 2e-05; 2.3e-05; false; 0.002459
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06271-*.mata;0.0; 0.006623; 0.000181; 3.4e-05; 1.4e-05; 3.5e-05; false; 0.008137
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06276-*.mata;0.03; 0.019961;0.0102;0.001076;0.000247; 0.000101; false; 0.03578
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06277-*.mata;0.02; 0.016816;0.001018;0.000147;3.8e-05; 8.2e-05; false; 0.021517
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06282-*.mata;0.03; 0.028452;0.007317000000000001;0.0007430000000000001;0.00016; 0.000131; false; 0.042025
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06283-*.mata;0.0; 0.001133;0.00045799999999999997;1.9e-05;4e-06; 1e-06; true; 0.002075
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06284-*.mata;0.0; 0.002223;5.6000000000000006e-05;9e-06;4e-06; 1e-06; true; 0.002794
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06285-*.mata;0.0; 0.003136; 0.000336; 3.1e-05; 1.3e-05; 1.8e-05; false; 0.004171
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06288-*.mata;0.0; 0.009738;0.000635;4.8e-05;1.8000000000000004e-05; 1e-06; true; 0.011662
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06289-*.mata;0.02; 0.021392;0.005177;0.001032;0.000308; 2e-06; true; 0.032778
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06292-*.mata;0.04; 0.042801; 0.003862; 0.001472; 0.000322; 0.000298; false; 0.056534
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06293-*.mata;0.1; 0.050536;0.039881;0.0060090000000000005;0.001143; 0.000222; false; 0.1098
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06294-*.mata;0.02; 0.032553;0.001475;0.00011;5e-05; 0.000356; false; 0.03878
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06295-*.mata;0.05; 0.045356;0.001292;9.7e-05;2.2e-05; 0.000225; false; 0.054212
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06298-*.mata;0.02; 0.03034;0.001687;0.00043500000000000006;9.4e-05; 2e-06; true; 0.036784
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06299-*.mata;0.01; 0.011173;0.0027849999999999997;0.000373;9.799999999999998e-05; 1e-06; true; 0.016972
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06302-*.mata;0.01; 0.008415;0.001411;5.699999999999999e-05;5.599999999999999e-05; 1e-06; true; 0.012028
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06303-*.mata;0.0; 0.009254;0.00018199999999999998;2.4e-05;5.999999999999999e-06; 1e-06; true; 0.011293
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06304-*.mata;0.03; 0.027314;0.005255;0.000622;0.00015900000000000002; 6.5e-05; false; 0.040709
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06305-*.mata;0.03; 0.031959; 0.001388; 0.000643; 0.000127; 0.000128; false; 0.039242
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06308-*.mata;0.0; 0.000384; 7.4e-05; 2.6e-05; 1.2e-05; 1e-06; true; 0.000684
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06309-*.mata;0.0; 0.002869; 0.000342; 0.000117; 2.9e-05; 2.5e-05; false; 0.00408
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06312-*.mata;0.01; 0.015581; 0.000227; 3.2e-05; 1.6e-05; 7e-05; false; 0.01836
