name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-concat;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-38.mata;0.22; 7.9e-05;0.225323;0.0014169999999999999;0.000443; 0.000117; false; 0.230093
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-39.mata;0.88; 0.000137;0.8817090000000001;0.005915999999999999;0.001496; 0.000482; false; 0.898681
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-4.mata;0.84; 0.000209;0.846472;0.0074129999999999995;0.001699; 0.000532; false; 0.868144
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-40.mata;0.76; 0.000124;0.770251;0.005645000000000001;0.0012980000000000001; 0.000527; false; 0.786488
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-41.mata;0.07; 8.2e-05;0.073504;0.00048699999999999997;0.00033199999999999994; 6.1e-05; false; 0.075729
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-42.mata;0.39; 0.000126;0.400071;0.002341;0.000582; 0.00011; false; 0.407259
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-43.mata;1.19; 0.00019;1.1916930000000001;0.0072569999999999996;0.0016189999999999998; 0.000511; false; 1.21244
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-44.mata;1.1; 0.000223;1.107956;0.006647999999999999;0.0017039999999999998; 0.00061; false; 1.12738
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-45.mata;0.05; 7.2e-05;0.064296;0.0005120000000000001;0.000301; 5.9e-05; false; 0.06647
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-46.mata;0.27; 0.000124;0.280399;0.001701;0.000542; 0.000116; false; 0.286289
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-47.mata;0.69; 0.000123;0.699388;0.005417;0.0013289999999999999; 0.000373; false; 0.715589
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-48.mata;0.75; 0.000213;0.7604380000000001;0.004880000000000001;0.001434; 0.000404; false; 0.775795
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-49.mata;0.06; 8.7e-05;0.069847;0.000492;0.00032799999999999995; 5.3e-05; false; 0.071988
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-5.mata;0.06; 8.9e-05;0.07585800000000001;0.000517;0.000322; 6.2e-05; false; 0.078163
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-50.mata;0.43; 0.00012;0.44304899999999997;0.0026830000000000005;0.000736; 0.000213; false; 0.451808
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-51.mata;0.98; 0.000205;0.987916;0.005651;0.001337; 0.000264; false; 1.00541
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-52.mata;1.02; 0.00022;1.031047;0.007049;0.001631; 0.000449; false; 1.05175
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-53.mata;0.04; 5.9e-05;0.046514;0.000268;0.00018800000000000002; 4.1e-05; false; 0.047799
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-54.mata;0.23; 8.4e-05;0.23514400000000002;0.001381;0.000451; 0.000139; false; 0.239978
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-55.mata;0.76; 0.000117;0.7739039999999999;0.003761;0.001011; 0.000343; false; 0.785657
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-56.mata;1.01; 0.00013;1.017444;0.006189;0.001647; 0.000639; false; 1.03573
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-57.mata;0.06; 7.5e-05;0.07065300000000001;0.000466;0.000321; 6.3e-05; false; 0.072871
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-58.mata;5.63; 0.004982;4.961235;0.195836;0.075093; 0.002175; false; 5.63871
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-59.mata;2.19; 0.003148;1.7591409999999998;0.104544;0.042144; 0.003238; false; 2.19924
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-6.mata;0.23; 8.4e-05;0.234199;0.001362;0.000428; 0.000111; false; 0.238858
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-60.mata;2.66; 0.008934;0.565374;0.6721199999999999;0.19745; 0.036123; false; 2.77676
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-7.mata;0.8; 0.000141;0.803991;0.005359;0.001562; 0.000817; false; 0.821808
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-8.mata;1.06; 0.000188;1.058671;0.008113;0.002222; 0.000946; false; 1.0831
