name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1578.0.mata;0.24; 0.219737; 0.045626; 0.003466; 0.000836; 9.1e-05; 4.2e-05; false; 0.273159
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1597.0.mata;0.36; 0.316437; 0.077773; 0.004451; 0.000851; 8.5e-05; 3.8e-05; false; 0.406047
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1676.0.mata;0.29; 0.247261; 0.056057; 0.00386; 0.000653; 6.9e-05; 3.4e-05; false; 0.312203
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1677.0.mata;0.21; 0.1938; 0.048836; 0.003169; 0.000435; 5.2e-05; 2e-05; false; 0.24987
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1679.0.mata;0.38; 0.346348; 0.070061; 0.00491; 0.000735; 7.2e-05; 2.7e-05; false; 0.426808
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_17.0.mata;0.05; 0.045322; 0.016591; 0.001103; 0.000382; 4e-05; 1.7e-05; false; 0.065124
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1703.0.mata;0.18; 0.16861; 0.042158; 0.002741; 0.000425; 5.3e-05; 6.8e-05; false; 0.217234
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1707.0.mata;0.35; 0.340518; 0.051568; 0.003252; 0.000421; 4.9e-05; 2.1e-05; false; 0.399334
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1720.0.mata;0.25; 0.239351; 0.048158; 0.003537; 0.000695; 8e-05; 3.7e-05; false; 0.295387
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1722.0.mata;0.17; 0.136909; 0.052428; 0.003745; 0.000757; 0.000107; 4e-05; false; 0.197712
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1723.0.mata;0.21; 0.209167; 0.031157; 0.00239; 0.000395; 5.6e-05; 2.9e-05; false; 0.245686
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1726.0.mata;0.24; 0.234627; 0.039577; 0.002359; 0.000391; 5.7e-05; 2.3e-05; false; 0.279521
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1728.0.mata;0.27; 0.253355; 0.052889; 0.003634; 0.000774; 7.6e-05; 4.8e-05; false; 0.314127
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1729.0.mata;0.25; 0.22352; 0.050481; 0.003884; 0.00079; 8.3e-05; 4.2e-05; false; 0.283133
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_173.0.mata;0.09; 0.077012; 0.021941; 0.001394; 0.000493; 4.9e-05; 2.1e-05; false; 0.102727
