name;automata-old-runtime;automata-old-construction;automata-old-trim;automata-old-intersection;automata-old-emptiness_check;automata-old-emptiness_result;automata-old-interpretation;automata-old-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-intersection;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;34.91;0.3024316;0.013598; 36.9519700000; 0.0004052000; False; 36.9688469000; 37.3177125000;32.35;0.0913683;0.017279100000000002; 32.5303585000; 0.0004133000; False; 32.5514769000; 32.7172293000;TO;0.082340126
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;0.48;0.0928623;0.010562299999999998; 0.3549473000; 0.0004088000; False; 0.3688515000; 0.5084972000;1.49;0.0741126;0.010106599999999999; 0.3889221000; 0.0002767000; False; 0.4023018000; 0.5343310000;TO;0.067609523
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;0.59;0.0664534;0.0064138; 0.4637045000; 0.0002867000; False; 0.4723686000; 0.5786895000;1.29;0.065761;0.0066914; 0.4127701000; 0.0002713000; False; 0.4216339000; 0.5250509000;TO;0.054786965
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;0.96;0.23170939999999998;0.011504299999999999; 0.8298044000; 0.0002598000; False; 0.8443614000; 1.1545613000;1.54;0.034696000000000005;0.0068474; 0.8236937000; 0.0002659000; False; 0.8328725000; 0.9063241000;TO;0.061739107
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;1.73;0.1215929;0.012188699999999998; 1.7605316000; 0.0003363000; False; 1.7758186000; 1.9404984000;2.42;0.0501987;0.0109686; 1.6639373000; 0.0004108000; False; 1.6782516000; 1.8186026000;TO;0.062482052
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;1.94;0.1317197;0.0108293; 1.9431317000; 0.0003227000; False; 1.9572239000; 2.1343111000;3.46;0.0602412;0.0155405; 2.3689714000; 0.0004041000; False; 2.3879402000; 2.5439798000;TO;0.142614722
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;2.65;0.1532909;0.011505; 2.8050673000; 0.0002611000; False; 2.8200091000; 3.0326826000;4.14;0.1087252;0.0118998; 3.3338137000; 0.0003970000; False; 3.3491206000; 3.5837785000;TO;0.114297641
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-rhs.mata;3.75;0.1660052;0.0119699; 4.3516259000; 0.0002700000; False; 4.3668392000; 4.5807775000;5.15;0.057890899999999995;0.0119425; 4.4423892000; 0.0003503000; False; 4.4581190000; 4.5769342000;TO;0.12911755
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-rhs.mata;0.18;0.0797805;0.010093500000000002; 0.0492037000; 0.0003894000; False; 0.0625366000; 0.1888059000;0.98;0.0473201;0.0103968; 0.0428518000; 0.0003633000; False; 0.0565187000; 0.2070748000;TO;0.043536678
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-rhs.mata;4.69;0.2655211;0.0163588; 5.2831701000; 0.0002579000; False; 5.3028758000; 5.6219332000;5.86;0.0904948;0.0139011; 5.4567824000; 0.0004453000; False; 5.4753320000; 5.6656500000;TO;0.081287785
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-rhs.mata;6.48;0.185756;0.0128285; 7.4364905000; 0.0003442000; False; 7.4527772000; 7.6876098000;7.39;0.1117802;0.011486499999999998; 6.8817391000; 0.0002787000; False; 6.9149639000; 7.0958086000;TO;0.144041753
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-rhs.mata;8.35;0.1168022;0.0119064; 9.4142761000; 0.0003522000; False; 9.4295906000; 9.5807819000;10.12;0.0729068;0.0260167; 9.5937610000; 0.0003674000; False; 9.6233779000; 9.7603189000;TO;0.127121002
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-rhs.mata;10.74;0.1182887;0.0092511; 11.5320697000; 0.0004519000; False; 11.5441040000; 11.6937761000;11.28;0.0665438;0.011792599999999999; 10.5614833000; 0.0003728000; False; 10.5766547000; 10.7038330000;TO;0.119681414
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-rhs.mata;11.47;0.22375099999999998;0.0137583; 11.4905402000; 0.0003573000; False; 11.5076721000; 11.7782510000;13.58;0.0721252;0.012488200000000001; 13.3248726000; 0.0003736000; False; 13.3407685000; 13.4779026000;TO;0.073247271
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-rhs.mata;13.3;0.2735816;0.013425699999999999; 13.8456464000; 0.0004074000; False; 13.8625597000; 14.2048754000;16.68;0.0744653;0.013630300000000001; 16.5921689000; 0.0003603000; False; 16.6099381000; 16.7484026000;TO;0.07632739399999999
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-rhs.mata;13.92;0.1703001;0.0083908; 14.4381975000; 0.0003448000; False; 14.4490136000; 14.6772696000;17.17;0.1099356;0.0123935; 16.4628714000; 0.0003755000; False; 16.4789461000; 16.6522845000;TO;0.110007361
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-rhs.mata;18.83;0.246612;0.012294000000000001; 19.1418025000; 0.0002911000; False; 19.1573080000; 19.4724048000;21.23;0.0750518;0.013310900000000002; 20.6425019000; 0.0003664000; False; 20.6594702000; 20.7999458000;TO;0.091193713
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-rhs.mata;21.64;0.1415095;0.0085448; 22.4170302000; 0.0002794000; False; 22.4278162000; 22.5997864000;25.37;0.1035631;0.011819099999999999; 25.2635868000; 0.0002826000; False; 25.2784713000; 25.4453460000;TO;0.126011179
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-rhs.mata;27.67;0.3037131;0.0229735; 27.7380821000; 0.0004347000; False; 27.7645109000; 28.1148637000;27.32;0.0477491;0.009719700000000001; 27.2822590000; 0.0003910000; False; 27.2945826000; 27.3838292000;TO;0.09123229
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-rhs.mata;0.28;0.0766589;0.0096701; 0.1433844000; 0.0003466000; False; 0.1563628000; 0.2766458000;0.97;0.0414296;0.0103878; 0.1749954000; 0.0003838000; False; 0.1887774000; 0.2859172000;TO;0.042783116
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-rhs.mata;31.78;0.3064674;0.0147711; 34.2238836000; 0.0004240000; False; 34.2423162000; 34.5931357000;33.83;0.09480759999999999;0.0173464; 34.5004266000; 0.0004836000; False; 34.5223952000; 34.6959261000;TO;0.128649767
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-rhs.mata;0.47;0.09258469999999999;0.010598; 0.3873049000; 0.0002696000; False; 0.4015738000; 0.5421990000;1.19;0.0265377;0.0060906; 0.1981757000; 0.0002788000; False; 0.2063572000; 0.2686280000;TO;0.048033969999999995
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-rhs.mata;0.5;0.0559091;0.006806400000000001; 0.4322630000; 0.0002539000; False; 0.4412321000; 0.5243002000;1.69;0.0487104;0.0104604; 0.6515557000; 0.0003614000; False; 0.6652269000; 0.7807708000;TO;0.082459179
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-rhs.mata;1.08;0.1446922;0.0078491; 1.0399305000; 0.0003659000; False; 1.0503178000; 1.2594263000;1.95;0.0500033;0.010938400000000001; 0.8558494000; 0.0003624000; False; 0.8704803000; 0.9998206000;TO;0.059111186999999996
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-rhs.mata;1.8;0.1639109;0.0128335; 1.7342024000; 0.0003956000; False; 1.7508934000; 1.9955143000;2.63;0.0520584;0.0108322; 1.5429313000; 0.0003612000; False; 1.5572882000; 1.6739417000;TO;0.068466455
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-rhs.mata;2.33;0.1745508;0.011923600000000001; 2.5370403000; 0.0003677000; False; 2.5526413000; 2.8172302000;3.02;0.0582144;0.0126654; 2.4329580000; 0.0003756000; False; 2.4490066000; 2.5894701000;TO;0.109881772
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-rhs.mata;2.64;0.1386654;0.0196029; 2.9339491000; 0.0003498000; False; 2.9567010000; 3.1417140000;3.89;0.0628168;0.012991999999999998; 3.1223321000; 0.0002777000; False; 3.1384004000; 3.2633097000;TO;0.08011741
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-rhs.mata;3.9;0.1618906;0.011624200000000001; 4.2934163000; 0.0002842000; False; 4.3082279000; 4.5171775000;4.82;0.0580098;0.011724; 3.9630282000; 0.0002983000; False; 3.9779044000; 4.0969493000;TO;0.073355875
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-rhs.mata;0.11;0.040522800000000005;0.0151651; 0.0289242000; 0.0002827000; False; 0.0880656000; 0.1578643000;0.8;0.0271554;0.006830000000000001; 0.0267397000; 0.0002629000; False; 0.0359291000; 0.1074025000;TO;0.05008750099999999
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-rhs.mata;4.67;0.1678791;0.0117892; 4.9642503000; 0.0002782000; False; 4.9791335000; 5.1924915000;5.39;0.06289310000000001;0.0104477; 4.7897530000; 0.0002444000; False; 4.8032280000; 4.9280928000;TO;0.090440277
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-rhs.mata;6.45;0.1705781;0.0114367; 6.9823336000; 0.0003744000; False; 6.9973712000; 7.2126754000;7.0;0.0647485;0.0115917; 6.7878905000; 0.0003816000; False; 6.8027588000; 6.9282112000;TO;0.100106603
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-rhs.mata;8.32;0.26569719999999997;0.0121548; 9.5284378000; 0.0004122000; False; 9.5439867000; 9.8814373000;9.34;0.0694071;0.0124138; 9.3227100000; 0.0003864000; False; 9.3384650000; 9.4701283000;TO;0.076956673
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-rhs.mata;9.43;0.2104398;0.0142854; 10.5226361000; 0.0002776000; False; 10.5448122000; 10.8242413000;10.54;0.08013479999999999;0.009285000000000002; 10.2800532000; 0.0004229000; False; 10.2921749000; 10.4146143000;TO;0.162265797
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-rhs.mata;12.62;0.270242;0.0107394; 13.2543618000; 0.0002988000; False; 13.2680433000; 13.5957284000;13.6;0.0515648;0.008725299999999998; 13.0269560000; 0.0003463000; False; 13.0387264000; 13.1379302000;TO;0.135761557
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-rhs.mata;14.19;0.242568;0.0317905; 14.6644078000; 0.0003615000; False; 14.6996476000; 14.9913553000;12.78;0.06940009999999999;0.0115513; 11.8401559000; 0.0002753000; False; 11.8550652000; 12.0108216000;TO;0.119790377
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-rhs.mata;15.87;0.2374565;0.012100900000000001; 16.6000737000; 0.0002641000; False; 16.6154821000; 16.8977292000;17.38;0.1451986;0.0140153; 17.0117304000; 0.0003838000; False; 17.0299965000; 17.2737325000;TO;0.153931266
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-rhs.mata;17.26;0.235006;0.0087404; 17.8640982000; 0.0003685000; False; 17.8753332000; 18.1404928000;20.62;0.07527060000000001;0.0133662; 20.1555697000; 0.0003467000; False; 20.1723567000; 20.3498687000;TO;0.081351305
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-rhs.mata;22.17;0.2536586;0.0132803; 22.9047769000; 0.0004701000; False; 22.9215661000; 23.2188681000;21.44;0.047556;0.0089276; 21.1006889000; 0.0004405000; False; 21.1123577000; 21.2016249000;TO;0.095282569
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-rhs.mata;27.24;0.248858;0.012466000000000001; 28.4129732000; 0.0003021000; False; 28.4290237000; 28.7225193000;27.88;0.0949338;0.0144201; 28.5679650000; 0.0002677000; False; 28.5858056000; 28.7472576000;TO;0.079510213
