name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-rhs.mata;1.16; 0.326547; 0.090632; 0.000618; 0.589283; 0.280893; 0.000356; false; 1.3038
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-rhs.mata;0.83; 0.2466; 0.072113; 0.000318; 0.424292; 0.189989; 0.000174; false; 0.945222
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-rhs.mata;1.31; 0.313155; 0.087912; 0.000676; 0.747887; 0.322261; 0.000137; false; 1.48749
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-rhs.mata;1.55; 0.38466; 0.093571; 0.000718; 0.909986; 0.379634; 0.000183; false; 1.78802
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-rhs.mata;1.86; 0.412397; 0.106306; 0.000918; 1.20653; 0.365267; 0.000162; false; 2.11558
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-rhs.mata;1.4; 0.246989; 0.068209; 0.000427; 0.899165; 0.36782; 0.000185; false; 1.59679
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-rhs.mata;1.93; 0.257152; 0.07922; 0.000527; 1.25667; 0.564529; 0.000375; false; 2.18055
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-rhs.mata;2.75; 0.488763; 0.125553; 0.000818; 1.77785; 0.643384; 0.000323; false; 3.0649
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-rhs.mata;0.08; 0.05077; 0.019018; 0.005905; 0.004951; 0.002836; 2.3e-05; false; 0.086462
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-rhs.mata;2.57; 0.483742; 0.1094; 0.000539; 1.52763; 0.76388; 0.000271; false; 2.91174
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-rhs.mata;0.13; 0.081456; 0.026086; 0.015065; 0.011092; 0.007256; 2.8e-05; false; 0.145333
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-rhs.mata;0.18; 0.095438; 0.036097; 0.034074; 0.02216; 0.013873; 2.8e-05; false; 0.205963
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-rhs.mata;0.25; 0.124128; 0.041991; 0.050763; 0.031496; 0.019881; 3.5e-05; false; 0.273522
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-rhs.mata;0.2; 0.111426; 0.028048; 0.042599; 0.025947; 0.021837; 4.7e-05; false; 0.234282
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-rhs.mata;0.39; 0.167279; 0.044198; 0.094016; 0.067178; 0.047792; 5.3e-05; false; 0.426925
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-rhs.mata;0.37; 0.195518; 0.03234; 0.080724; 0.049933; 0.044173; 6.4e-05; false; 0.407561
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-rhs.mata;0.48; 0.187096; 0.051439; 0.12519; 0.068247; 0.07078; 0.000152; false; 0.512499
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-rhs.mata;0.02; 0.024591; 0.009885; 0.002065; 0.001188; 0.000549; 1.1e-05; false; 0.040585
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-rhs.mata;0.73; 0.242128; 0.070081; 0.00044; 0.330666; 0.17749; 0.000132; false; 0.833751
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-rhs.mata;0.59; 0.163349; 0.06677; 0.000257; 0.308303; 0.137265; 0.000182; false; 0.685453
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-rhs.mata;0.73; 0.181676; 0.047903; 0.000337; 0.414598; 0.174939; 0.000226; false; 0.830907
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-rhs.mata;1.34; 0.324491; 0.095125; 0.000642; 0.817358; 0.25334; 0.000132; false; 1.50789
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-rhs.mata;0.93; 0.207709; 0.063376; 0.000396; 0.524271; 0.253615; 0.00386; false; 1.06723
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-rhs.mata;1.43; 0.392742; 0.112193; 0.000684; 0.736201; 0.365486; 0.000176; false; 1.62867
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-rhs.mata;1.85; 0.254964; 0.076117; 0.000749; 1.26671; 0.438525; 0.000469; false; 2.05853
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-rhs.mata;1.41; 0.422405; 0.109683; 0.000785; 0.725448; 0.336807; 0.000192; false; 1.61759
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-rhs.mata;1.83; 0.471607; 0.116553; 0.00111; 0.984176; 0.439348; 0.000357; false; 2.04087
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-rhs.mata;2.51; 0.316075; 0.086275; 0.000798; 1.63169; 0.746905; 0.000327; false; 2.81412
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-100-rhs.mata;0.07; 0.048334; 0.015779; 0.006015; 0.005219; 0.00315; 2e-06; true; 0.080831
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-1000-rhs.mata;2.37; 0.477749; 0.119953; 0.000956; 1.53335; 0.514006; 3e-06; true; 2.67178
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-150-rhs.mata;0.11; 0.070219; 0.021741; 0.015144; 0.010698; 0.006847; 3e-06; true; 0.127646
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-200-rhs.mata;0.16; 0.093042; 0.026138; 0.02558; 0.02007; 0.012624; 3e-06; true; 0.181067
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-250-rhs.mata;0.25; 0.120127; 0.037644; 0.052868; 0.032514; 0.019947; 3e-06; true; 0.268204
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-300-rhs.mata;0.19; 0.093612; 0.027009; 0.042097; 0.024097; 0.021558; 2e-06; true; 0.211716
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-350-rhs.mata;0.4; 0.176143; 0.045357; 0.095645; 0.066639; 0.038751; 3e-06; true; 0.428555
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-400-rhs.mata;0.51; 0.189964; 0.054567; 0.131159; 0.097635; 0.060178; 6e-06; true; 0.541743
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-450-rhs.mata;0.36; 0.126708; 0.036114; 0.112734; 0.065794; 0.04538; 2e-06; true; 0.391463
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-50-rhs.mata;0.03; 0.024752; 0.009863; 0.001916; 0.001235; 0.000553; 2e-06; true; 0.040208
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-500-rhs.mata;0.74; 0.240103; 0.060557; 0.000476; 0.340149; 0.167267; 4e-06; true; 0.819779
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-550-rhs.mata;0.92; 0.266695; 0.070558; 0.000471; 0.462729; 0.22444; 2e-06; true; 1.03563
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-600-rhs.mata;0.99; 0.309051; 0.08414; 0.000625; 0.545229; 0.186015; 2e-06; true; 1.13998
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-650-rhs.mata;1.14; 0.191046; 0.060407; 0.000381; 0.700413; 0.346565; 5e-06; true; 1.31309
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-700-rhs.mata;1.11; 0.359637; 0.104769; 0.00062; 0.559188; 0.213353; 3e-06; true; 1.2534
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-750-rhs.mata;1.73; 0.400935; 0.109855; 0.000795; 1.0857; 0.330201; 3e-06; true; 1.94381
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-800-rhs.mata;1.38; 0.250233; 0.071567; 0.000424; 0.963988; 0.280833; 2e-06; true; 1.58092
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-850-rhs.mata;1.76; 0.444468; 0.103586; 0.000751; 1.10102; 0.341181; 3e-06; true; 2.00812
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-900-rhs.mata;1.54; 0.277153; 0.083154; 0.000562; 0.953518; 0.413592; 2e-06; true; 1.74672
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-950-rhs.mata;1.66; 0.456869; 0.098177; 0.000462; 0.957795; 0.357902; 2e-06; true; 1.88501
