name;automata-old-runtime;automata-old-construction;automata-old-trim;automata-old-intersection;automata-old-emptiness_check;automata-old-emptiness_result;automata-old-interpretation;automata-old-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-intersection;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-determinize;java-automatalib-interall;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08818-*.mata;0.14;0.0632308;0.008869300000000002;0.014365699999999999; 0.0002716000; False; 0.0259714000; 0.1387050000;0.91;0.0674446;0.009316699999999999;0.0153687; 0.0001455000; False; 0.0268098000; 0.1563113000;2.57;0.14164280099999998;0.251659766; 0.099564589; 0.00425518; false; 0.380406267; 0.740773823
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08819-*.mata;0.12;0.07145019999999999;0.005727100000000001;0.0093534; 0.0001583000; False; 0.0172906000; 0.1487864000;0.86;0.10663210000000001;0.0153045;0.014915999999999999; 0.0001753000; False; 0.0329644000; 0.2234958000;2.04;0.06713254;0.09399919300000001; 0.036249152; 0.00223605; false; 0.13847121; 0.428593578
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08822-*.mata;0.13;0.0472962;0.009000800000000002;0.0147093; 0.0002682000; True; 0.0270930000; 0.1393802000;0.93;0.0606131;0.005669700000000001;0.008679500000000001; 0.0001721000; True; 0.0166064000; 0.1633654000;1.52;0.056817849;0.115969988; 0.053055447; 0.002330332; true; 0.179164034; 0.406946887
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08823-*.mata;0.14;0.0534765;0.009621200000000002;0.0143353; 0.0003085000; True; 0.0271856000; 0.1530379000;0.91;0.028551899999999998;0.0079484;0.014494; 0.0002279000; True; 0.0250926000; 0.0958702000;1.42;0.04417816;0.109456848; 0.036706914; 0.002575; true; 0.156150314; 0.362068338
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08824-*.mata;0.13;0.0411076;0.009449800000000001; 0.0137651000; 0.0002951000; False; 0.0264950000; 0.1222023000;0.88;0.0398334;0.0089267; 0.0125248000; 0.0001813000; False; 0.0238595000; 0.1178632000;1.27;0.037686830000000004;0.103679345; 0.055404767; 0.002286254; false; 0.173841862; 0.308403804
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08825-*.mata;0.12;0.049483599999999996;0.006758900000000001;0.0139752; 0.0002619000; True; 0.0233834000; 0.1428624000;0.83;0.0530757;0.0099532;0.0171733; 0.0003534000; True; 0.0301404000; 0.1423572000;1.81;0.06493015699999999;0.193848327; 0.044696052; 0.002244444; true; 0.247396617; 0.491027369
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08828-*.mata;0.14;0.0499497;0.0090295; 0.0141956000; 0.0002562000; False; 0.0260628000; 0.1777372000;0.93;0.0476323;0.0093912; 0.0141576000; 0.0002669000; False; 0.0262829000; 0.1310787000;1.63;0.057022136;0.14296321; 0.033768152; 0.002878083; false; 0.18655186; 0.418186621
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08829-*.mata;0.13;0.0487045;0.0099707;0.0144332; 0.0002302000; True; 0.0271230000; 0.1245378000;0.95;0.051304;0.009662899999999999;0.016776199999999998; 0.0002226000; True; 0.0298123000; 0.1546318000;1.68;0.12030028400000001;0.11374351499999999; 0.059030909; 0.002726696; true; 0.183011387; 0.422734208
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08832-*.mata;0.21;0.0875193;0.009570599999999999;0.0170576; 0.0001819000; False; 0.0294288000; 0.1953110000;0.91;0.12569950000000002;0.0096017;0.016796; 0.0002348000; False; 0.0293617000; 0.2359853000;2.86;0.232765552;0.322987109; 0.068395245; 0.002230051; false; 0.400358461; 0.901939339
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08833-*.mata;0.18;0.07195520000000001;0.0099231;0.0157378; 0.0002961000; True; 0.0285373000; 0.2064094000;0.83;0.0750487;0.010026399999999998;0.0151486; 0.0002495000; True; 0.0279447000; 0.1651726000;2.87;0.231760025;0.30121490599999995; 0.103719623; 0.002293021; true; 0.4152631; 0.951728345
