name;automata-old-runtime;automata-old-construction;automata-old-trim;automata-old-uni;automata-old-emptiness_check;automata-old-emptiness_result;automata-old-interpretation;automata-old-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-uni;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;0.24;0.1635683;0.0123756; 0.0146942000; 0.0004059000; False; 0.0306449000; 0.2418896000;1.13;0.0577003;0.0118802; 0.0102926000; 0.0003487000; False; 0.0257881000; 0.1399950000;TO;0.100015597
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-rhs.mata;0.22;0.1708104;0.011502199999999999; 0.0104839000; 0.0003324000; False; 0.0251293000; 0.2378459000;1.21;0.0560556;0.0161666; 0.0238993000; 0.0003669000; False; 0.0433766000; 0.1900293000;TO;0.079347194
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-rhs.mata;0.14;0.0678043;0.0099831; 0.0082057000; 0.0002504000; False; 0.0212933000; 0.1368167000;0.95;0.0407061;0.0091767; 0.0071155000; 0.0001644000; False; 0.0189185000; 0.1157688000;TO;0.036252883
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-rhs.mata;0.24;0.2480651;0.0210529; 0.0126865000; 0.0004165000; False; 0.0361094000; 0.3605826000;1.28;0.1077467;0.012143000000000001; 0.0111371000; 0.0003661000; False; 0.0264660000; 0.2165488000;TO;0.085283855
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-rhs.mata;0.25;0.1798091;0.012465599999999999; 0.0115155000; 0.0003649000; False; 0.0273076000; 0.3119056000;1.42;0.07083400000000001;0.0138544; 0.0117241000; 0.0004042000; False; 0.0289605000; 0.1645786000;TO;0.246426622
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-rhs.mata;0.28;0.20822849999999998;0.0147089; 0.0193139000; 0.0004717000; False; 0.0381726000; 0.2929776000;1.44;0.1151935;0.014638199999999999; 0.0110482000; 0.0029586000; False; 0.0314679000; 0.2172603000;TO;0.07067109099999999
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-rhs.mata;0.25;0.2085532;0.0120096; 0.0115241000; 0.0003824000; False; 0.0265821000; 0.2726000000;1.4;0.0436596;0.0073403999999999995; 0.0065181000; 0.0002186000; False; 0.0159108000; 0.1196667000;TO;0.10207266799999999
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-rhs.mata;0.18;0.11790519999999999;0.0108032; 0.0066881000; 0.0002524000; False; 0.0197009000; 0.1875998000;1.39;0.0741112;0.014868100000000002; 0.0129456000; 0.0003795000; False; 0.0347008000; 0.1820294000;TO;0.114727428
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-rhs.mata;0.19;0.1468362;0.0097088; 0.0138478000; 0.0003646000; False; 0.0260258000; 0.2232032000;1.58;0.0989726;0.013396600000000002; 0.0127675000; 0.0004101000; False; 0.0295925000; 0.1926301000;TO;0.076378878
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-rhs.mata;0.34;0.2472312;0.0172994; 0.0153847000; 0.0004158000; False; 0.0374336000; 0.3820774000;1.47;0.0743457;0.013854900000000002; 0.0127746000; 0.0003968000; False; 0.0300370000; 0.1686707000;TO;0.10389034899999999
