name;automata-runtime;automata-construction;automata-trim;automata-inclusion_check;automata-inclusion_result;automata-interpretation;automata-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-inclusion_check;automata-min-inclusion_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-determinize;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-automatalib-interpretation;java-automatalib-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-rhs.mata;0.45;0.2699278;0.0105659; 0.1650651000; False; 0.1782668000; 0.4927087000;1.41;0.1204047;0.012441299999999999; 0.1755686000; False; 0.1916587000; 0.4072985000;4.45;0.272452034;0.578103015; 0.089582539; false; 0.680481704; 1.356088413
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-rhs.mata;0.42;0.24522899999999997;0.0121648; 0.1652381000; False; 0.1800711000; 0.4746355000;1.51;0.1598361;0.0122518; 0.1585493000; False; 0.1735680000; 0.4166166000;4.4;0.18084029199999999;0.593923232; 0.082510382; false; 0.693887479; 1.135996825
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-rhs.mata;0.43;0.209807;0.013573; 0.1703136000; False; 0.1866711000; 0.4396941000;1.57;0.1808592;0.0116875; 0.1669101000; False; 0.1810228000; 0.4878569000;4.25;0.150637003;0.46679275; 0.068957796; false; 0.542323195; 0.968112662
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;2.1;0.8396345;0.014676900000000001; 1.4040324000; False; 1.4207561000; 2.3216611000;6.54;0.6108089;0.0159302; 1.1893480000; False; 1.2079081000; 1.9770977000;TO;1.1376498879999999;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;2.67;0.6269676;0.0110961; 1.8934469000; False; 1.9066385000; 2.5704262000;10.22;0.588851;0.014735; 4.1427566000; False; 4.1601496000; 4.8730619000;TO;0.882954781;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;3.2;0.8866265999999999;0.015150400000000001; 2.1963161000; False; 2.2139978000; 3.1428254000;6.86;0.5776796999999999;0.0203549; 1.4852612000; False; 1.5081031000; 2.2172461000;TO;1.132399825;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.45;0.2089243;0.0066381999999999995; 0.1996125000; False; 0.2080008000; 0.4546139000;1.7;0.13536979999999998;0.0068254; 0.3639588000; False; 0.3726052000; 0.5561209000;TO;0.309318439;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.59;0.33728650000000004;0.0063532; 0.2296309000; False; 0.2376901000; 0.6154223000;2.42;0.2022156;0.0072348; 0.7168329000; False; 0.7259027000; 1.0034051000;TO;0.214081424;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T10-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T10-rhs.mata;0.16;0.0596341;0.0087697; 0.0409872000; False; 0.0522179000; 0.1568300000;0.77;0.0258188;0.0058223; 0.0304228000; False; 0.0379698000; 0.0971097000;1.45;0.040740884;0.121607089; 0.045960728; false; 0.177967028; 0.36701882
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T11-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T11-rhs.mata;0.22;0.1455074;0.0087153; 0.0364839000; False; 0.0473212000; 0.2200739000;1.16;0.0751294;0.0085137; 0.0354005000; False; 0.0458752000; 0.1690938000;4.19;0.19859640399999998;0.477989067; 0.087321708; false; 0.573551475; 1.029094626
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T113-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T113-rhs.mata;0.17;0.0599523;0.009118300000000001; 0.0436457000; False; 0.0551891000; 0.1570040000;0.74;0.0463581;0.0090554; 0.0467739000; False; 0.0583762000; 0.1612830000;1.6;0.058568247;0.108888067; 0.048065133; false; 0.163144975; 0.345397385
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T114-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T114-rhs.mata;0.18;0.077586;0.009318400000000001; 0.0522531000; False; 0.0642509000; 0.1837291000;0.94;0.0475892;0.0092855; 0.0467339000; False; 0.0587399000; 0.1635549000;1.81;0.054620439;0.161826262; 0.055542189; false; 0.223376825; 0.424687729
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T116-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T116-rhs.mata;0.18;0.0810447;0.0105106; 0.0475558000; False; 0.0605910000; 0.1833609000;0.96;0.0507783;0.0091798; 0.0475535000; False; 0.0591625000; 0.1705903000;1.91;0.081763111;0.17411954400000001; 0.038132565; false; 0.218530663; 0.437041988
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T118-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T118-rhs.mata;0.19;0.0912821;0.009415100000000001; 0.0467705000; False; 0.0589323000; 0.1920711000;0.98;0.0509174;0.009329; 0.0490748000; False; 0.0610903000; 0.1694636000;1.85;0.066281837;0.146748969; 0.044082307; false; 0.197068051; 0.408551757
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T12-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T12-rhs.mata;0.21;0.1482499;0.0086832; 0.0390375000; False; 0.0496846000; 0.2248897000;1.58;0.1264644;0.013191300000000001; 0.0609330000; False; 0.0769037000; 0.2801453000;4.72;0.201764692;0.494144019; 0.100598512; false; 0.614913171; 1.109054709
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T120-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T120-rhs.mata;0.19;0.0880584;0.009354000000000001; 0.0441916000; False; 0.0559991000; 0.1857643000;0.89;0.051202899999999996;0.0093422; 0.0466034000; False; 0.0584354000; 0.1675421000;1.99;0.060663997000000004;0.200305702; 0.057311145; false; 0.263765827; 0.483526554
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T121-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T121-rhs.mata;0.15;0.07641619999999999;0.0074703; 0.0274300000; False; 0.0366854000; 0.1506910000;0.99;0.0506066;0.0093913; 0.0466553000; False; 0.0585658000; 0.1669737000;1.95;0.072990652;0.16678391; 0.042100787; false; 0.215407216; 0.447940762
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T122-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T122-rhs.mata;0.19;0.0883642;0.0091756; 0.0438449000; False; 0.0556994000; 0.1857686000;0.97;0.0512456;0.009235799999999999; 0.0463967000; False; 0.0583116000; 0.1649419000;2.1;0.07123299599999999;0.179816692; 0.042092676; false; 0.228031356; 0.447580712
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T123-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T123-rhs.mata;0.2;0.0891054;0.0092829; 0.0450952000; False; 0.0570892000; 0.1880235000;0.98;0.0505303;0.0093565; 0.0469704000; False; 0.0590354000; 0.1676388000;1.98;0.062494362;0.20778881; 0.040538215; false; 0.265822574; 0.491246874
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T124-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T124-rhs.mata;0.1;0.0373541;0.0057431; 0.0271867000; False; 0.0345854000; 0.1011656000;0.68;0.0414972;0.009006199999999999; 0.0443338000; False; 0.0557813000; 0.1503514000;1.56;0.042025124;0.110802868; 0.036591835; false; 0.153300551; 0.313667909
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T125-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T125-rhs.mata;0.2;0.0928577;0.0092102; 0.0435451000; False; 0.0553913000; 0.1896272000;0.8;0.054323800000000005;0.0095557; 0.0474026000; False; 0.0593968000; 0.1706867000;2.1;0.064698646;0.166869199; 0.04751717; false; 0.220538938; 0.470185618
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T126-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T126-rhs.mata;0.14;0.0552067;0.0058246; 0.0269967000; False; 0.0347073000; 0.1261527000;0.93;0.0520397;0.011116000000000001; 0.0469127000; False; 0.0607347000; 0.1691380000;2.03;0.065851206;0.146552288; 0.041138573; false; 0.194222841; 0.418304835
