name;mata-0.111-runtime;mata-0.111-mataparsing;mata-0.111-mataminterm;mata-0.111-intersection;mata-0.111-trim;mata-0.111-inclusion_check;mata-0.111-inclusion_check_result;mata-0.111-overall;mata-0.112-runtime;mata-0.112-mataparsing;mata-0.112-mataminterm;mata-0.112-intersection;mata-0.112-trim;mata-0.112-inclusion_check;mata-0.112-inclusion_check_result;mata-0.112-overall;mata-0.113-runtime;mata-0.113-mataparsing;mata-0.113-mataminterm;mata-0.113-intersection;mata-0.113-trim;mata-0.113-inclusion_check;mata-0.113-inclusion_check_result;mata-0.113-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut44.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.01; 0.009999; 0.007778;0.000288;0.00013099999999999999; 7e-06; true; 0.019862;0.01; 0.00961; 0.007191;0.000279;0.00013099999999999999; 7e-06; true; 0.018722;0.01; 0.009478; 0.007279;0.000264;0.000141; 6.7e-05; true; 0.018804
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut48.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.04; 0.037187; 0.014195;0.000181;7.4e-05; 9e-06; true; 0.053984;0.04; 0.037241; 0.01392;0.00018199999999999998;7.199999999999999e-05; 7e-06; true; 0.053691;0.04; 0.037787; 0.014746;0.000208;5.8e-05; 0.00017; true; 0.055101
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut3.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut49.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;0.03; 0.030845; 0.010917;0.000216;0.00011200000000000001; 6.7e-05; true; 0.043486;0.03; 0.031879; 0.011007;0.000225;0.000134; 7e-05; true; 0.044719;0.04; 0.031446; 0.01174;0.000243;9.8e-05; 0.000161; true; 0.045038
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut3.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.06; 0.055291; 0.021073;0.000297;0.000129; 7e-06; true; 0.080133;0.07; 0.053976; 0.021437;0.000317;0.000127; 1.6e-05; true; 0.079255;0.07; 0.05691; 0.020495;0.000303;0.000134; 0.000186; true; 0.081341
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut39.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut53.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata;0.03; 0.023653; 0.010917;1.2000000000000002e-05;1.8e-05; 6e-06; true; 0.036649;0.03; 0.023367; 0.011021;1.9e-05;1.1000000000000001e-05; 6e-06; true; 0.037641;0.04; 0.034075; 0.011513;1e-05;1.6e-05; 5.8e-05; true; 0.047868
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut36.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut57.mata;0.02; 0.021363; 0.006505;7.500000000000001e-05;4.1e-05; 5.7e-05; true; 0.029058;0.01; 0.012791; 0.006691;7.5e-05;3.6e-05; 4.7e-05; true; 0.020514;0.01; 0.012818; 0.006588;5.6000000000000006e-05;2.7e-05; 0.000128; true; 0.020597
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut44.mata;0.04; 0.025115; 0.016597;1.1000000000000001e-05;5.999999999999999e-06; 8e-06; true; 0.044673;0.04; 0.032923; 0.010418;7e-06;1.4e-05; 5e-06; true; 0.045241;0.02; 0.019929; 0.010764;8e-06;5.999999999999999e-06; 2.7e-05; true; 0.032623
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.05; 0.038886; 0.016485;8e-06;1.5e-05; 1.8e-05; true; 0.058071;0.04; 0.039038; 0.016629;7e-06;1.4e-05; 6e-06; true; 0.058333;0.04; 0.039375; 0.015599;7e-06;1.4e-05; 0.000217; true; 0.057812
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut7.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata;0.22; 0.185496; 0.057449;1e-05;5.999999999999999e-06; 8e-06; true; 0.249286;0.22; 0.186106; 0.055278;8e-06;4.9999999999999996e-06; 5e-06; true; 0.247024;0.22; 0.19092; 0.055188;9e-06;5.999999999999999e-06; 4.4e-05; true; 0.252218
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut56.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut71.mata;0.03; 0.030081; 0.010896;7e-06;4.9999999999999996e-06; 6e-06; true; 0.042445;0.04; 0.031802; 0.012024;7e-06;4.9999999999999996e-06; 6e-06; true; 0.045447;0.03; 0.031274; 0.012502;1.7e-05;3e-06; 4.8e-05; true; 0.045537
