name;automata-runtime;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-complement;pyfado-emptiness;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance14001-1.mata;ERR;0.0; 8.246e-05; 2.0403e-05; 4.184e-06; 3.44e-06; false;0.0; 9.5292e-05; 5.0333e-05; 3.5255e-05; 5.461e-06; 3.782e-06; false;0.0; 8.4672e-05; 1.016e-05; 0.000573626; 0.000451875; 3.8072e-05; false;1.18; 0.0062; 0.0000; 0.0001; 0.0000; 0.0000; False;1.17; 0.0059; 0.0001; 0.0000; 0.0000; False;1.15; 0.0061; 0.0004; 0.0001; 0.0000; False;1.02; 0.059683802; 0.015410072; 0.001915788; false;0.82; 0.015699696; 0.001645933; 4.0661E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance14001-2.mata;ERR;0.0; 0.00109755; 0.000125956; 1.1154e-05; 2.683e-06; false;0.0; 0.00107711; 0.000632627; 0.000574931; 0.000189434; 0.000171545; false;0.01; 0.00205218; 0.00017082; 0.00157364; 0.000806352; 0.000300581; false;0.99; 0.0109; 0.0000; 0.0005; 0.0001; 0.0000; False;1.22; 0.0101; 0.0032; 0.0004; 0.0002; False;1.06; 0.0104; 0.0040; 0.0013; 0.0001; False;1.19; 0.123257212; 0.037786583; 0.002227076; false;0.92; 0.028359194; 0.006794581; 2.7039E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance14001-3.mata;ERR;0.0; 0.000280161; 0.00018611; 2.4277e-05; 3.799e-06; false;0.0; 0.00032266; 0.000208358; 0.000937539; 0.000406856; 0.000287163; false;0.0; 0.000291655; 3.3861e-05; 0.00118258; 0.000756615; 0.000323668; false;1.08; 0.0078; 0.0000; 0.0004; 0.0001; 0.0000; False;1.05; 0.0047; 0.0004; 0.0002; 0.0001; False;1.08; 0.0047; 0.0011; 0.0006; 0.0000; False;1.1; 0.087867442; 0.029585204; 0.002168823; false;0.85; 0.01475027; 0.015652319; 3.0656E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance14001-4.mata;ERR;0.0; 0.00111745; 0.00020376; 1.6403e-05; 3.745e-06; false;0.0; 0.00109869; 0.000602491; 0.000813903; 0.000277251; 0.00027333; false;0.0; 0.000886238; 9.9996e-05; 0.00113334; 0.000653611; 0.000249659; false;1.08; 0.0056; 0.0000; 0.0003; 0.0000; 0.0000; False;1.17; 0.0085; 0.0022; 0.0005; 0.0002; False;1.07; 0.0067; 0.0034; 0.0013; 0.0001; False;1.14; 0.131920803; 0.043168225; 0.002138508; false;1.06; 0.034093824; 0.005753286; 2.5937E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance14144-1.mata;ERR;0.0; 0.000368674; 0.000270187; 3.2657e-05; 3.41e-06; false;0.0; 0.000342211; 0.000270421; 0.00152303; 0.000635201; 0.000546913; false;0.0; 0.000336421; 3.9289e-05; 0.00155528; 0.000874498; 0.00044684; false;1.19; 0.0064; 0.0000; 0.0005; 0.0001; 0.0000; False;1.09; 0.0066; 0.0009; 0.0008; 0.0003; False;1.0; 0.0052; 0.0012; 0.0010; 0.0001; False;1.17; 0.140396891; 0.033105422; 0.001634257; false;0.84; 0.01219752; 0.011848401; 4.2831E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance14328-1.mata;ERR;0.0; 0.000352655; 3.4236e-05; 4.711e-06; 2.449e-06; false;0.0; 0.000723587; 0.000363932; 0.000182217; 4.8357e-05; 4.8318e-05; false;0.0; 0.000645078; 5.9072e-05; 0.000805613; 0.000510553; 7.1476e-05; false;1.05; 0.0080; 0.0000; 0.0002; 0.0000; 0.0000; False;1.18; 0.0073; 0.0010; 0.0001; 0.0000; False;1.16; 0.0073; 0.0016; 0.0001; 0.0000; False;1.12; 0.075742862; 0.019052446; 0.002176836; false;0.89; 0.025248191; 0.003220456; 2.6111E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance14328-2.mata;ERR;0.0; 8.0978e-05; 2.046e-05; 4.18e-06; 3.402e-06; false;0.0; 9.9404e-05; 5.0354e-05; 3.6111e-05; 5.663e-06; 3.808e-06; false;0.0; 7.9438e-05; 1.2664e-05; 0.00062255; 0.000441628; 3.3243e-05; false;1.1; 0.0043; 0.0000; 0.0000; 0.0000; 0.0000; False;1.1; 0.0061; 0.0002; 0.0001; 0.0000; False;1.17; 0.0045; 0.0003; 0.0001; 0.0000; False;1.02; 0.066114801; 0.014388303; 0.001903389; false;0.74; 0.006255781; 0.00245631; 4.3928E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance14328-3.mata;ERR;0.0; 0.000324013; 4.5882e-05; 7.064e-06; 3.122e-06; false;0.0; 0.000300421; 0.000210222; 0.000152059; 3.8169e-05; 3.5953e-05; false;0.0; 0.000296498; 2.685e-05; 0.000694464; 0.000484571; 7.5894e-05; false;1.19; 0.0065; 0.0000; 0.0001; 0.0000; 0.0000; False;1.08; 0.0074; 0.0005; 0.0001; 0.0000; False;1.21; 0.0073; 0.0009; 0.0003; 0.0000; False;0.94; 0.130003503; 0.017369104; 0.002044661; false;0.79; 0.007422355; 0.015285052; 2.542E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance14390-1.mata;ERR;0.0; 7.3703e-05; 1.7632e-05; 3.311e-06; 2.521e-06; false;0.0; 8.0355e-05; 4.8333e-05; 3.6897e-05; 5.501e-06; 3.339e-06; false;0.0; 0.000117909; 7.267e-06; 0.000562741; 0.000415786; 3.6495e-05; false;1.15; 0.0061; 0.0000; 0.0001; 0.0000; 0.0000; False;1.1; 0.0044; 0.0001; 0.0000; 0.0000; False;1.03; 0.0061; 0.0005; 0.0001; 0.0001; False;0.87; 0.05166909; 0.014931155; 0.005882886; false;0.97; 0.004556758; 0.002146996; 3.1482E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance14451-1.mata;ERR;0.01; 0.00830766; 0.000659593; 3.7162e-05; 6.903e-06; false;0.01; 0.0072256; 0.00350637; 0.00213372; 0.00059024; 0.000579874; false;0.01; 0.00735584; 0.000648433; 0.00237347; 0.00090526; 0.000487989; false;1.22; 0.0184; 0.0000; 0.0014; 0.0001; 0.0000; False;1.25; 0.0195; 0.0112; 0.0013; 0.0003; False;0.98; 0.0154; 0.0096; 0.0024; 0.0001; False;1.5; 0.1915435; 0.075760708; 0.002138351; false;1.12; 0.045557293; 0.029700946; 2.6878E-5; false
