name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-concat;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-23.mata;0.01; 0.000177;0.006802;0.001422; 0.000436; false; 0.018915;1.2; 0.000184;1.205932;0.0072569999999999996;0.001658; 0.000511; false; 1.22632
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-24.mata;0.02; 0.000197;0.008119999999999999;0.001732; 0.000552; false; 0.02317;1.51; 0.000208;1.53243;0.008522;0.001914; 0.000546; false; 1.55672
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-25.mata;0.0; 8.9e-05;0.00048499999999999997;0.000513; 0.00012; false; 0.002257;0.07; 9.2e-05;0.079431;0.000542;0.00034500000000000004; 6.4e-05; false; 0.081926
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-26.mata;0.01; 0.000125;0.002798;0.0006739999999999999; 0.000186; false; 0.008402;0.42; 0.000124;0.42154200000000003;0.002882;0.000737; 0.000204; false; 0.430634
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-27.mata;0.02; 0.000203;0.008469;0.001666; 0.000553; false; 0.024032;1.43; 0.000191;1.427954;0.008046999999999999;0.0016990000000000002; 0.000573; false; 1.45067
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-28.mata;0.02; 0.000211;0.009056999999999999;0.001777; 0.000499; false; 0.025578;1.18; 0.000208;1.1789420000000002;0.008400000000000001;0.001752; 0.000575; false; 1.20291
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-29.mata;0.0; 7.5e-05;0.000299;0.00032700000000000003; 7.6e-05; false; 0.001395;0.06; 7.7e-05;0.072892;0.000487;0.000285; 6e-05; false; 0.075067
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-3.mata;0.02; 0.0002;0.009391;0.0018909999999999999; 0.000582; false; 0.026655;0.6; 0.00014;0.611062;0.003941;0.001063; 0.000332; false; 0.623538
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-30.mata;0.0; 0.000124;0.002986;0.0008; 0.000216; false; 0.008839;0.46; 0.000139;0.468841;0.003136;0.000856; 0.000238; false; 0.478775
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-31.mata;0.01; 0.000186;0.007708;0.001823; 0.000516; false; 0.021808;1.45; 0.000186;1.452401;0.0071389999999999995;0.001709; 0.000492; false; 1.47298
