name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-rhs.mata;0.59; 0.21219; 0.050083; 0.240822; 0.165561; 0.000174; false; 0.677309;0.75; 0.234084; 0.061837; 0.220024; 0.16499; 0.104667; 0.000105; false; 0.795275
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-rhs.mata;0.7; 0.297975; 0.057723; 0.2919; 0.152508; 0.000264; false; 0.80839;0.57; 0.166643; 0.054576; 0.187152; 0.112266; 0.09112; 6.6e-05; false; 0.61917
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-rhs.mata;1.25; 0.311549; 0.097276; 0.714868; 0.249338; 0.00015; false; 1.38894;1.05; 0.309826; 0.080678; 0.349864; 0.252007; 0.131445; 7.8e-05; false; 1.1363
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-rhs.mata;0.78; 0.198103; 0.056447; 0.415511; 0.209216; 0.000109; false; 0.889635;1.2; 0.33122; 0.091102; 0.382396; 0.314181; 0.152115; 0.000103; false; 1.28605
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-rhs.mata;1.0; 0.215525; 0.068788; 0.510605; 0.340443; 0.000428; false; 1.14994;1.41; 0.36537; 0.122069; 0.473479; 0.376034; 0.149199; 0.000242; false; 1.50801
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-rhs.mata;1.04; 0.238592; 0.083955; 0.586649; 0.253334; 0.000152; false; 1.17648;1.09; 0.362947; 0.063399; 0.372251; 0.229198; 0.140897; 9.9e-05; false; 1.17993
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-rhs.mata;2.09; 0.26887; 0.108096; 1.6447; 0.316282; 0.000215; false; 2.35925;1.72; 0.37139; 0.099607; 0.696902; 0.436328; 0.210869; 0.000112; false; 1.83231
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-rhs.mata;1.6; 0.417647; 0.102096; 0.921094; 0.333912; 0.000143; false; 1.79369;2.21; 0.39916; 0.107737; 0.92158; 0.649559; 0.223831; 0.000198; false; 2.32388
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-rhs.mata;1.62; 0.289619; 0.079775; 1.0953; 0.351875; 0.000134; false; 1.8313;2.27; 0.463068; 0.133565; 0.979748; 0.59669; 0.215472; 7.9e-05; false; 2.41098
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-rhs.mata;2.6; 0.428464; 0.117243; 1.68172; 0.665387; 0.000288; false; 2.91877;1.69; 0.2943; 0.103329; 0.706072; 0.422418; 0.280275; 0.000188; false; 1.82995
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-rhs.mata;0.04; 0.02859; 0.009652; 0.005801; 0.005316; 1.7e-05; false; 0.050956;0.07; 0.047092; 0.017306; 0.00627; 0.005252; 0.002526; 1.8e-05; false; 0.081205
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-rhs.mata;3.14; 0.493015; 0.124951; 2.01858; 0.813165; 0.000322; false; 3.4855;2.06; 0.288835; 0.091307; 0.916479; 0.534222; 0.354509; 0.000399; false; 2.20448
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-rhs.mata;0.14; 0.078053; 0.022981; 0.030516; 0.016008; 4.5e-05; false; 0.151262;0.12; 0.077794; 0.022185; 0.015735; 0.013208; 0.007634; 2.1e-05; false; 0.139801
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-rhs.mata;0.23; 0.094451; 0.035628; 0.058935; 0.059415; 9.6e-05; false; 0.2541;0.19; 0.101; 0.030165; 0.03459; 0.024766; 0.012281; 3.3e-05; false; 0.207852
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-rhs.mata;0.23; 0.114582; 0.03101; 0.078031; 0.03818; 5e-05; false; 0.266276;0.14; 0.074849; 0.022123; 0.029554; 0.017883; 0.014282; 2.4e-05; false; 0.161753
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-rhs.mata;0.37; 0.147909; 0.042337; 0.142959; 0.075141; 0.000124; false; 0.415282;0.21; 0.118915; 0.0241; 0.043975; 0.0282; 0.022122; 3.7e-05; false; 0.240816
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-rhs.mata;0.41; 0.165934; 0.040274; 0.16272; 0.081313; 7.7e-05; false; 0.456562;0.25; 0.103319; 0.030854; 0.064208; 0.039888; 0.031648; 9.2e-05; false; 0.274261
