name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;2.39; 1.87708; 0.598855; 0.040522; false; 2.58716;4.66; 1.7782; 0.682488; 2.27532; 0.035799; false; 4.88493
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.38; 0.268051; 0.122075; 0.002737; false; 0.41092;0.6; 0.26518; 0.113802; 0.241125; 0.002702; false; 0.642336
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.54; 0.46981; 0.117979; 0.00173; false; 0.608936;0.94; 0.307691; 0.188025; 0.463873; 0.001494; false; 0.987252
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T10-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T10-rhs.mata;0.01; 0.012268; 0.007606; 1.8e-05; false; 0.021434;0.02; 0.012502; 0.008265; 0.008375; 2.3e-05; false; 0.030926
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T11-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T11-rhs.mata;0.51; 0.374471; 0.15174; 0.00112; false; 0.564566;0.69; 0.21979; 0.097588; 0.386988; 0.000557; false; 0.726282
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T113-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T113-rhs.mata;0.01; 0.011651; 0.007386; 1.8e-05; false; 0.020604;0.02; 0.012213; 0.0079; 0.006748; 2.2e-05; false; 0.028488
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T114-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T114-rhs.mata;0.03; 0.029073; 0.012241; 4.8e-05; false; 0.043733;0.09; 0.046066; 0.019776; 0.03154; 0.000125; false; 0.101554
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T116-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T116-rhs.mata;0.04; 0.03015; 0.015232; 6.5e-05; false; 0.048716;0.06; 0.029859; 0.015063; 0.023448; 0.000164; false; 0.071994
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T118-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T118-rhs.mata;0.08; 0.060835; 0.028777; 0.000107; false; 0.094957;0.09; 0.03602; 0.017831; 0.045103; 0.000145; false; 0.104256
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T12-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T12-rhs.mata;0.4; 0.257485; 0.143979; 0.001271; false; 0.44077;0.84; 0.228675; 0.141474; 0.468283; 0.000631; false; 0.877114
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T120-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T120-rhs.mata;0.07; 0.06351; 0.023897; 9.6e-05; false; 0.092057;0.12; 0.064917; 0.02836; 0.039556; 8.7e-05; false; 0.137729
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T121-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T121-rhs.mata;0.09; 0.065937; 0.028598; 0.00015; false; 0.100972;0.13; 0.060328; 0.026909; 0.05046; 0.000126; false; 0.144052
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T122-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T122-rhs.mata;0.09; 0.068006; 0.030012; 0.000111; false; 0.104915;0.14; 0.06918; 0.031279; 0.046614; 0.000186; false; 0.15303
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T123-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T123-rhs.mata;0.08; 0.062055; 0.028695; 0.000115; false; 0.096749;0.13; 0.064008; 0.026963; 0.047318; 0.000182; false; 0.144235
