name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07064.mata;0.22; 0.008917; 0.201466; 0.006638; 0.000225; false; 0.23098;0.22; 0.009834; 0.0073; 0.201365; 0.006477; 0.000263; false; 0.238876
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07075.mata;19.14; 18.3625; 1.18752; 0.000945; 0.000245; false; 20.8798;TO; 14.7442;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07110.mata;0.0; 0.001248; 0.000195; 3e-05; 1.6e-05; false; 0.001914;0.0; 0.001104; 0.001499; 0.000204; 1.8e-05; 2.7e-05; false; 0.003224
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07137.mata;0.12; 0.046955; 0.065363; 0.00399; 0.000102; false; 0.130862;0.24; 0.047888; 0.129101; 0.065887; 0.003951; 0.000102; false; 0.261416
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07152.mata;0.0; 0.00292; 0.001175; 0.000136; 8.7e-05; false; 0.005568;0.0; 0.002977; 0.004358; 0.001129; 9.8e-05; 8.8e-05; false; 0.009688
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07170.mata;0.0; 0.001008; 0.000975; 5.3e-05; 3.6e-05; false; 0.002566;0.0; 0.000947; 0.00087; 0.000896; 5.3e-05; 4.1e-05; false; 0.003289
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07273.mata;0.01; 0.018153; 0.001402; 7.9e-05; 5.1e-05; false; 0.022736;0.04; 0.018569; 0.028412; 0.001539; 7.3e-05; 9.5e-05; false; 0.051911
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07319.mata;0.02; 0.018544; 0.00142; 0.000112; 4.9e-05; false; 0.023415;0.09; 0.0317; 0.055298; 0.002701; 0.000132; 0.00017; false; 0.096112
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07419.mata;0.24; 0.09055; 0.131076; 0.005324; 0.000147; false; 0.25148;0.45; 0.090199; 0.209275; 0.13227; 0.005581; 0.000152; false; 0.462008
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07431.mata;0.0; 0.001168; 0.001852; 0.00029; 8.4e-05; false; 0.004837;0.0; 0.001216; 0.002015; 0.001797; 0.000256; 7.1e-05; false; 0.006683
