name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;0.18; 0.177359; 0.029586; 0.000211; 0.000191; 6.7e-05; false; 0.211378;0.16; 0.102236; 0.028387; 0.04192; 0.000486; 0.000203; 9.9e-05; false; 0.177575
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;0.28; 0.21663; 0.073386; 0.00075; 0.000398; 0.000124; false; 0.302501;0.25; 0.150711; 0.052805; 0.070155; 0.000659; 0.000486; 0.000141; false; 0.282678
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-rhs.mata;0.23; 0.207864; 0.04415; 0.000294; 0.000483; 0.000114; false; 0.260362;0.3; 0.206112; 0.040644; 0.076601; 0.000686; 0.000487; 0.000145; false; 0.330396
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-rhs.mata;0.03; 0.025024; 0.010425; 9e-05; 0.0001; 2.4e-05; false; 0.038762;0.03; 0.024597; 0.009572; 0.001039; 7e-05; 3.3e-05; 1.5e-05; false; 0.037501
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-rhs.mata;0.24; 0.188768; 0.06321; 0.000638; 0.000733; 0.000159; false; 0.264405;0.36; 0.249309; 0.064494; 0.071882; 0.000366; 0.000179; 8e-05; false; 0.396081
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-rhs.mata;0.23; 0.19771; 0.052483; 0.000345; 0.000469; 6.5e-05; false; 0.259433;0.36; 0.163218; 0.074835; 0.12956; 0.000773; 0.000392; 0.000137; false; 0.379019
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-rhs.mata;0.29; 0.235285; 0.078316; 0.000837; 0.001147; 0.000107; false; 0.329177;0.56; 0.315554; 0.078171; 0.17527; 0.000795; 0.000427; 0.000154; false; 0.586473
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-rhs.mata;0.25; 0.220795; 0.057008; 0.000394; 0.000371; 6.6e-05; false; 0.28635;0.59; 0.340685; 0.079374; 0.1907; 0.000895; 0.000577; 0.000173; false; 0.623729
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-rhs.mata;0.25; 0.20517; 0.062568; 0.00044; 0.0005; 8e-05; false; 0.277146;0.64; 0.346233; 0.093477; 0.225708; 0.00097; 0.00056; 0.000121; false; 0.681684
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-rhs.mata;0.48; 0.409632; 0.093601; 0.001071; 0.001154; 0.000173; false; 0.525643;0.46; 0.219456; 0.06481; 0.192613; 0.000555; 0.000279; 6.9e-05; false; 0.489305
