name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1379.0.mata;0.07; 0.061016; 0.007404; 0.000421; 0.000195; false; 0.076365;0.08; 0.067796; 0.010617; 0.002617; 0.000189; 0.000124; false; 0.088181
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1427.0.mata;0.07; 0.062697; 0.007472; 0.000411; 0.000208; false; 0.078211;0.07; 0.060638; 0.011036; 0.002625; 0.000182; 0.000121; false; 0.081594
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1437.0.mata;0.04; 0.032396; 0.004199; 0.000247; 0.000117; false; 0.040974;0.04; 0.031861; 0.005851; 0.002244; 0.000156; 8.5e-05; false; 0.044063
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1471.0.mata;0.04; 0.038785; 0.005346; 0.000262; 0.000153; false; 0.049632;0.05; 0.039464; 0.006844; 0.001019; 4.6e-05; 6.3e-05; false; 0.052081
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1475.0.mata;0.09; 0.083687; 0.010028; 0.000339; 0.000274; false; 0.104238;0.09; 0.081102; 0.014255; 0.00174; 7e-05; 0.000122; false; 0.106255
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1477.0.mata;0.04; 0.038756; 0.005281; 0.000206; 0.000142; false; 0.04956;0.04; 0.039254; 0.007238; 0.000953; 4.6e-05; 6.2e-05; false; 0.052224
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1479.0.mata;0.09; 0.080774; 0.010135; 0.000464; 0.000299; false; 0.101999;0.1; 0.087543; 0.017722; 0.001996; 0.000101; 0.000173; false; 0.117419
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1575.0.mata;0.09; 0.077636; 0.010584; 0.000827; 0.000309; false; 0.098892;0.1; 0.086497; 0.013051; 0.002908; 0.000244; 0.000106; false; 0.111219
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1578.0.mata;0.09; 0.077429; 0.011068; 0.000818; 0.000278; false; 0.099159;0.09; 0.076687; 0.011497; 0.002807; 0.000205; 8.4e-05; false; 0.100252
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1597.0.mata;0.12; 0.105154; 0.012323; 0.000878; 0.000356; false; 0.131536;0.14; 0.125197; 0.016062; 0.002822; 0.000203; 0.000128; false; 0.156128
