name;java-automatalib-runtime;java-automatalib-construction;java-automatalib-intersection;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-inclusion_check;java-brics-inclusion_result;java-brics-interpretation;java-brics-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-inclusion_check;mata-old-inclusion_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut44.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;1.47;0.24505532399999996;0.078255275; 0.011928481; true; 0.11444003; 0.506804564;1.33;0.07769871099999999;0.012240310999999999; 0.001942935; true; 0.021972293; 0.336117538;0.03; 0.018809; 0.011997;0.000717;0.000205; 1e-05; true; 0.034529;0.03; 0.01872; 0.012419;0.003299;0.00023500000000000002;5.800000000000001e-05; 7e-06; true; 0.037394;0.02; 0.011704; 0.012382;0.0006979999999999999;0.000204; 9e-06; true; 0.027528
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut48.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;2.17;0.348677715;0.034404872; 0.031550746; true; 0.072684232; 0.602544783;1.68;0.103207994;0.018143817; 0.067320823; true; 0.099674793; 0.474606338;0.08; 0.067949; 0.023834;0.00041299999999999996;9.799999999999998e-05; 1.1e-05; true; 0.096033;0.09; 0.063332; 0.023282;0.009656;0.000126;3.5e-05; 1.9e-05; true; 0.100585;0.07; 0.066974; 0.023205;0.00046600000000000005;0.00010699999999999999; 9e-06; true; 0.094608
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut3.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut49.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;1.62;0.180512815;0.046567877; 0.018175115; true; 0.070683076; 0.383708197;1.38;0.074298654;0.004410857; 0.001192323; true; 0.010781951; 0.290765759;0.07; 0.062186; 0.019123;0.0004930000000000001;0.000183; 0.000133; true; 0.084327;0.07; 0.060888; 0.019742;0.001829;0.000153;6.199999999999999e-05; 3.9e-05; true; 0.08475;0.07; 0.057189; 0.01832;0.000472;0.000162; 0.000135; true; 0.078186
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut3.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;2.5;0.37865745999999995;0.090210363; 0.049534568; true; 0.162531328; 0.794667188;1.77;0.153827975;0.016429014999999998; 0.055141745; true; 0.087280346; 0.498317444;0.11; 0.080813; 0.037748;0.000495;0.000173; 1.1e-05; true; 0.123345;0.11; 0.072489; 0.03226;0.013139;0.000285;6.4e-05; 8e-06; true; 0.123975;0.11; 0.081525; 0.03972;0.00039400000000000004;0.000147; 8e-06; true; 0.124956
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut39.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut53.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata;1.87;0.173446511;0.08966938099999999; 0.03350905; true; 0.147874909; 0.479687362;1.33;0.083079939;0.008442980999999999; 0.008905766; true; 0.032528489; 0.335889619;0.04; 0.033104; 0.011627;1.4e-05;8e-06; 6e-06; true; 0.046891;0.06; 0.044291; 0.01843;0.004476;1.5e-05;1.1000000000000001e-05; 9e-06; true; 0.070998;0.03; 0.024318; 0.011302;1.3000000000000001e-05;8e-06; 6e-06; true; 0.037732
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut36.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut57.mata;1.37;0.19035604;0.050620345000000004; 0.009583701; true; 0.068295945; 0.382490025;1.05;0.027578426;0.005214428; 0.002232187; true; 0.015037533; 0.191460057;0.03; 0.025221; 0.011165;0.000103;4.3e-05; 0.000107; true; 0.038206;0.02; 0.024722; 0.011071;0.001256;4.9e-05;2.9e-05; 3.1e-05; true; 0.038809;0.02; 0.023319; 0.010136;0.00010999999999999999;4.2e-05; 0.000103; true; 0.035055
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut44.mata;TO;0.239799583;MISSING;MISSING;MISSING;MISSING;MISSING;1.25;0.06379384299999999;0.002129453; 8.48328E-4; true; 0.01287769; 0.301880136;0.05; 0.039104; 0.017988;1.2000000000000002e-05;8.000000000000001e-06; 9e-06; true; 0.0601;0.05; 0.037408; 0.016905;0.006287;1e-05;5.999999999999999e-06; 6e-06; true; 0.063691;0.04; 0.036245; 0.015403;8e-06;8e-06; 7e-06; true; 0.053464
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;2.4;0.584526684;0.07221274; 0.05262847; true; 0.133983235; 1.010170696;1.82;0.122782158;0.0063980619999999995; 0.094695777; true; 0.123136553; 0.497810794;0.09; 0.06584; 0.027697;1.5e-05;8.000000000000001e-06; 1.2e-05; true; 0.098106;0.1; 0.068168; 0.030152;0.015331000000000001;1.3000000000000001e-05;8e-06; 1e-05; true; 0.118987;0.07; 0.055587; 0.028867;1.3000000000000001e-05;4.9999999999999996e-06; 8e-06; true; 0.088927
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut7.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata;4.92;0.8821038400000001;0.28300659300000003; 0.169261916; true; 0.46095141; 1.703391006;2.28;0.23539560899999998;0.014924785; 0.003021064; true; 0.042731207; 0.549300495;0.28; 0.230941; 0.074108;1e-05;4.9999999999999996e-06; 8e-06; true; 0.311255;0.51; 0.355126; 0.104211;0.10397100000000001;9e-06;8e-06; 9e-06; true; 0.574381;0.37; 0.320453; 0.095931;1.4000000000000001e-05;9e-06; 1e-05; true; 0.42673
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut56.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut71.mata;1.7;0.17556738800000002;0.105169751; 0.02749574; true; 0.14024534; 0.460618904;1.27;0.028496021;0.002315861; 0.007122338; true; 0.018874455; 0.297648031;0.07; 0.059271; 0.022872;1.4e-05;9.999999999999999e-06; 1.1e-05; true; 0.084314;0.07; 0.057781; 0.0142;0.004106;9e-06;8e-06; 9e-06; true; 0.078635;0.07; 0.053553; 0.020008;1e-05;5.999999999999999e-06; 1e-05; true; 0.076057
