name;mata-0.111-runtime;mata-0.111-mataparsing;mata-0.111-mataminterm;mata-0.111-intersection;mata-0.111-trim;mata-0.111-inclusion_check;mata-0.111-inclusion_check_result;mata-0.111-overall;mata-0.112-runtime;mata-0.112-mataparsing;mata-0.112-mataminterm;mata-0.112-intersection;mata-0.112-trim;mata-0.112-inclusion_check;mata-0.112-inclusion_check_result;mata-0.112-overall;mata-0.113-runtime;mata-0.113-mataparsing;mata-0.113-mataminterm;mata-0.113-intersection;mata-0.113-trim;mata-0.113-inclusion_check;mata-0.113-inclusion_check_result;mata-0.113-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut44.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.01; 0.009211; 0.00681;0.000263;8.9e-05; 5e-06; true; 0.017623;0.01; 0.009054; 0.006668;0.000285;8.9e-05; 4e-06; true; 0.01737;0.01; 0.008825; 0.006634;0.000283;9.1e-05; 4.1e-05; true; 0.017166
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut48.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.04; 0.037106; 0.014226;0.00019600000000000002;6.2e-05; 8e-06; true; 0.053776;0.04; 0.035508; 0.013269;0.000188;6.2e-05; 6e-06; true; 0.051188;0.05; 0.038918; 0.014635;0.00020600000000000002;9.8e-05; 0.000195; true; 0.056571
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut3.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut49.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;0.03; 0.03386; 0.011777;0.000247;0.000117; 7.8e-05; true; 0.047494;0.04; 0.032896; 0.011352;0.00023799999999999998;0.00011399999999999999; 8.5e-05; true; 0.046057;0.04; 0.041045; 0.01426;0.00028;0.00013; 0.000186; true; 0.057489
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut3.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.07; 0.067805; 0.020233;0.000338;9.200000000000001e-05; 7e-06; true; 0.091498;0.06; 0.05105; 0.019129;0.00027800000000000004;9.200000000000001e-05; 7e-06; true; 0.073597;0.06; 0.050844; 0.018547;0.00029000000000000006;0.000123; 0.000184; true; 0.07306
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut39.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut53.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata;0.03; 0.023655; 0.014714;1.9e-05;1.4999999999999999e-05; 9e-06; true; 0.041231;0.04; 0.028624; 0.014141;1.6e-05;9.999999999999999e-06; 8e-06; true; 0.045309;0.03; 0.029967; 0.011509;1.3000000000000001e-05;7e-06; 5.2e-05; true; 0.043556
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut36.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut57.mata;0.01; 0.012303; 0.006233;7.9e-05;4.4e-05; 5.5e-05; true; 0.019606;0.02; 0.018202; 0.00806;7.099999999999999e-05;4.4e-05; 6.6e-05; true; 0.027436;0.01; 0.015309; 0.00764;7.999999999999999e-05;3.5e-05; 0.000136; true; 0.024194
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut44.mata;0.03; 0.023111; 0.012471;1e-05;4.9999999999999996e-06; 7e-06; true; 0.037574;0.03; 0.02301; 0.015694;1e-05;5.999999999999999e-06; 7e-06; true; 0.04108;0.03; 0.025083; 0.013178;1e-05;4.9999999999999996e-06; 2.5e-05; true; 0.040558
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.05; 0.048238; 0.015368;8e-06;4e-06; 7e-06; true; 0.066042;0.04; 0.035131; 0.014641;8e-06;5.999999999999999e-06; 6e-06; true; 0.052204;0.05; 0.039776; 0.018388;9e-06;4.9999999999999996e-06; 0.000255; true; 0.061178
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut7.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata;0.21; 0.186326; 0.051982;8e-06;4.9999999999999996e-06; 8e-06; true; 0.244012;0.21; 0.195024; 0.051464;6e-06;4e-06; 6e-06; true; 0.251982;0.21; 0.182799; 0.05156;1.4000000000000001e-05;7e-06; 4.6e-05; true; 0.240123
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut56.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut71.mata;0.03; 0.029479; 0.011114;8e-06;4e-06; 7e-06; true; 0.042062;0.03; 0.03111; 0.010556;5e-06;4.9999999999999996e-06; 6e-06; true; 0.043052;0.02; 0.028962; 0.010576;7e-06;4e-06; 4.4e-05; true; 0.041024
