name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;automata-runtime;mata-runtime;mata-mataparsing;mata-mataminterm;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;awali-runtime;pymata-runtime;pyfado-runtime;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.548174; 0.124657;0.031019200000000004;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.488039; 0.0902247;0.034184400000000004;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.686086; 0.102565;0.033807699999999996;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.58971; 0.115958;0.0349501;ERR;ERR;ERR;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.575437; 0.119813;0.045858800000000005;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-100-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-1000-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.613867; 0.12259;0.044146500000000005;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-150-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-200-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-250-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-300-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-350-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.247099; 0.0649613;0.02357707;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-400-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-450-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.55074; 0.103296;0.0347833;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-50-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-500-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.566868; 0.0535987;0.019672659999999998;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-550-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.690152; 0.0946485;0.020031760000000003;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-600-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-650-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.469116; 0.144971;0.01707017;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-700-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.243877; 0.0515459;0.01478989;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-750-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.737456; 0.0907968;0.0491165;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-800-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.468074; 0.0756386;0.021199299999999997;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-850-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.864205; 0.172405;0.066744;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-900-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.835986; 0.216861;0.07350870000000001;ERR;ERR;TO;ERR;TO;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-950-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.690285; 0.101703;0.0334928;ERR;ERR;TO;ERR;TO;ERR
