name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;0.36; 0.301126; 0.082577; 0.000617; 0.000743; 0.000135; false; 0.398352;0.62; 0.527893; 0.127915; 0.001547; 0.001221; 0.000154; false; 0.678653;0.42; 0.33633; 0.092955; 0.00064; 0.000791; 0.000135; false; 0.445489;1.72; 0.7676; 0.0000; 0.0063; 0.0047; 0.0049; False; 0.0160; 0.7864
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;0.09; 0.079304; 0.022113; 0.000186; 0.000138; 4.3e-05; false; 0.104956;0.09; 0.07377; 0.025028; 0.000182; 0.00013; 4.3e-05; false; 0.102532;0.09; 0.078167; 0.025079; 0.000199; 0.000198; 4.6e-05; false; 0.107286;1.32; 0.1171; 0.0000; 0.0012; 0.0006; 0.0005; False; 0.0024; 0.1202
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;0.11; 0.097624; 0.027542; 0.000263; 0.000164; 6.1e-05; false; 0.129651;0.07; 0.059655; 0.023568; 0.000268; 0.000192; 6.1e-05; false; 0.087764;0.09; 0.090773; 0.019226; 0.000163; 9.1e-05; 3.8e-05; false; 0.112794;1.15; 0.1562; 0.0000; 0.0012; 0.0005; 0.0005; False; 0.0022; 0.1588
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;0.15; 0.130277; 0.038083; 0.000342; 0.00036; 8.4e-05; false; 0.175177;0.12; 0.103033; 0.033601; 0.000304; 0.000202; 7.4e-05; false; 0.14188;0.1; 0.090365; 0.023933; 0.000158; 0.000125; 5.2e-05; false; 0.117792;1.08; 0.1133; 0.0000; 0.0009; 0.0004; 0.0004; False; 0.0017; 0.1155
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;0.18; 0.158115; 0.041857; 0.000385; 0.000255; 8.5e-05; false; 0.206195;0.15; 0.126116; 0.040689; 0.000391; 0.000313; 9.4e-05; false; 0.173414;0.13; 0.127028; 0.026361; 0.000181; 0.000138; 5.8e-05; false; 0.157216;1.1; 0.1870; 0.0000; 0.0014; 0.0006; 0.0007; False; 0.0029; 0.1906
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;0.2; 0.176533; 0.047779; 0.000458; 0.000422; 0.000106; false; 0.23254;0.21; 0.176826; 0.049675; 0.000456; 0.000316; 0.000108; false; 0.234807;0.21; 0.184331; 0.048799; 0.000445; 0.000322; 0.000101; false; 0.241557;1.3; 0.2250; 0.0000; 0.0013; 0.0005; 0.0005; False; 0.0024; 0.2279
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;0.2; 0.162802; 0.059358; 0.000538; 0.000393; 0.000125; false; 0.231081;0.25; 0.211761; 0.055634; 0.0005; 0.000361; 0.000116; false; 0.275745;0.24; 0.201312; 0.055574; 0.000606; 0.000388; 0.000143; false; 0.266387;1.31; 0.3047; 0.0000; 0.0019; 0.0010; 0.0011; False; 0.0041; 0.3098
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-rhs.mata;0.16; 0.13556; 0.03811; 0.000271; 0.000274; 8.9e-05; false; 0.179298;0.28; 0.232515; 0.057621; 0.000675; 0.000468; 0.000159; false; 0.300238;0.24; 0.219959; 0.038261; 0.000274; 0.00026; 8.8e-05; false; 0.263685;1.48; 0.3421; 0.0000; 0.0024; 0.0014; 0.0013; False; 0.0053; 0.3487
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-rhs.mata;0.02; 0.02549; 0.009437; 5.9e-05; 3.7e-05; 1.5e-05; false; 0.036858;0.03; 0.0252; 0.009825; 7.4e-05; 4.4e-05; 1.7e-05; false; 0.037254;0.03; 0.025903; 0.011147; 8e-05; 5.4e-05; 1.9e-05; false; 0.039548;1.26; 0.0443; 0.0000; 0.0004; 0.0001; 0.0001; False; 0.0006; 0.0452
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-rhs.mata;0.29; 0.257827; 0.063293; 0.000636; 0.000463; 0.000138; false; 0.331495;0.19; 0.16728; 0.043417; 0.000305; 0.000376; 0.000126; false; 0.217448;0.19; 0.154723; 0.062983; 0.000303; 0.000296; 9.9e-05; false; 0.224162;1.27; 0.2705; 0.0000; 0.0017; 0.0007; 0.0008; False; 0.0032; 0.2744
