name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;0.07; 0.047831; 0.01578; 0.009885; 0.007841; 2.3e-05; false; 0.083813;0.07; 0.047401; 0.016369; 0.010634; 0.008026; 2.4e-05; false; 0.084841;0.07; 0.046919; 0.01534; 0.006419; 0.004706; 0.003283; 1.7e-05; false; 0.078984;1.03; 0.0452; 0.0000; 0.0387; 0.0099; 0.0002; False; 0.0489; 0.0945
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;2.73; 0.511161; 0.131815; 1.73209; 0.714685; 0.000249; false; 3.12236;1.73; 0.285151; 0.079495; 1.13374; 0.435106; 0.000273; false; 1.95411;3.32; 0.51004; 0.136332; 0.001091; 2.27923; 0.803941; 0.000244; false; 3.76187;16.71; 0.5230; 0.0000; 13.4955; 3.2858; 0.0474; False; 16.8288; 17.3618
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;0.12; 0.076186; 0.021023; 0.025622; 0.01531; 3.2e-05; false; 0.141352;0.11; 0.071545; 0.019119; 0.022899; 0.013938; 4e-05; false; 0.130339;0.11; 0.067803; 0.022499; 0.016563; 0.012627; 0.007619; 3.1e-05; false; 0.130735;1.56; 0.1277; 0.0000; 0.1656; 0.0410; 0.0006; False; 0.2073; 0.3356
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;0.18; 0.102252; 0.030138; 0.045484; 0.026724; 3.6e-05; false; 0.208657;0.18; 0.09906; 0.029799; 0.048434; 0.028238; 4.3e-05; false; 0.209493;0.17; 0.095131; 0.028082; 0.032373; 0.020458; 0.013227; 3.1e-05; false; 0.193384;1.6; 0.1516; 0.0000; 0.2179; 0.0751; 0.0007; False; 0.2938; 0.4469
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;0.26; 0.12562; 0.037485; 0.086538; 0.049154; 5.3e-05; false; 0.304755;0.26; 0.12873; 0.036821; 0.080495; 0.042585; 7.9e-05; false; 0.293892;0.25; 0.128493; 0.035468; 0.04717; 0.032739; 0.021211; 4.4e-05; false; 0.270121;1.98; 0.1896; 0.0000; 0.5089; 0.1352; 0.0009; False; 0.6451; 0.8353
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;0.34; 0.157057; 0.040774; 0.116942; 0.063375; 7.1e-05; false; 0.383994;0.36; 0.152275; 0.042328; 0.13793; 0.068794; 9.5e-05; false; 0.408338;0.3; 0.144982; 0.038644; 0.068; 0.047147; 0.03007; 6.1e-05; false; 0.334234;2.12; 0.2305; 0.0000; 0.7067; 0.1999; 0.0012; False; 0.9079; 1.1411
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;0.44; 0.176416; 0.047519; 0.163181; 0.093236; 7.7e-05; false; 0.487423;0.44; 0.172408; 0.042471; 0.178204; 0.086418; 7.3e-05; false; 0.485679;0.4; 0.174452; 0.047593; 0.100304; 0.066791; 0.041201; 5.1e-05; false; 0.437876;2.64; 0.2717; 0.0000; 1.1041; 0.3069; 0.0012; False; 1.4123; 1.6847
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;0.48; 0.175858; 0.041619; 0.211153; 0.11452; 9.2e-05; false; 0.551615;0.4; 0.157016; 0.040356; 0.185285; 0.073394; 8.9e-05; false; 0.465372;0.54; 0.201134; 0.061195; 0.153057; 0.104061; 0.058724; 5.6e-05; false; 0.586126;2.95; 0.2703; 0.0000; 1.5266; 0.5377; 0.0020; False; 2.0664; 2.3386
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-rhs.mata;0.39; 0.134102; 0.043259; 0.167267; 0.094063; 8.9e-05; false; 0.445313;0.65; 0.215993; 0.068306; 0.274577; 0.150223; 0.000136; false; 0.719899;0.62; 0.228245; 0.057958; 0.180264; 0.121907; 0.067544; 6.5e-05; false; 0.664256;4.02; 0.3461; 0.0000; 2.1479; 0.6203; 0.0020; False; 2.7703; 3.1227
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-rhs.mata;0.03; 0.024603; 0.010263; 0.002492; 0.001171; 1.4e-05; false; 0.041052;0.03; 0.024511; 0.010125; 0.002667; 0.001186; 1.5e-05; false; 0.04078;0.03; 0.024595; 0.010004; 0.002036; 0.001222; 0.000564; 1.1e-05; false; 0.040519;1.22; 0.0482; 0.0000; 0.0150; 0.0034; 0.0001; False; 0.0186; 0.0685
