name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-inclusion_check;mata-old-inclusion_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-inclusion;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.88; 0.41767; 0.164805; 0.34261; false; 0.948473;0.55; 0.41433; 0.166097; 0.002273; false; 0.605959;0.64; 0.258849; 0.111775; 0.008398; 0.283616; false; 0.680198;1.78; 0.7467; 0.0000; 0.0025; False; 0.0025; 0.7498
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T10-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T10-rhs.mata;0.03; 0.021539; 0.012348; 2.6e-05; false; 0.03637;0.03; 0.021481; 0.01211; 2.7e-05; false; 0.036023;0.04; 0.021519; 0.01214; 0.011336; 2.4e-05; false; 0.047433;1.23; 0.0416; 0.0000; 0.0002; False; 0.0002; 0.0421
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T11-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T11-rhs.mata;0.5; 0.353441; 0.144359; 0.017373; false; 0.553866;0.31; 0.215297; 0.099804; 0.00083; false; 0.345298;0.56; 0.393965; 0.151088; 0.015248; 0.017303; false; 0.615494;1.32; 0.3665; 0.0000; 0.0016; False; 0.0016; 0.3690
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T113-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T113-rhs.mata;0.02; 0.018836; 0.011333; 2.9e-05; false; 0.032312;0.02; 0.018848; 0.011217; 2.2e-05; false; 0.032232;0.03; 0.018869; 0.011017; 0.011118; 2e-05; false; 0.043233;1.11; 0.0250; 0.0000; 0.0002; False; 0.0002; 0.0255
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T114-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T114-rhs.mata;0.03; 0.029191; 0.012572; 3.9e-05; false; 0.044225;0.05; 0.049396; 0.017801; 5.6e-05; false; 0.069827;0.09; 0.045017; 0.019565; 0.031318; 0.000116; false; 0.099888;1.27; 0.0864; 0.0000; 0.0004; False; 0.0005; 0.0872
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T116-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T116-rhs.mata;0.06; 0.045655; 0.021129; 6.6e-05; false; 0.071781;0.03; 0.028898; 0.013438; 5.6e-05; false; 0.045143;0.05; 0.028875; 0.013969; 0.019871; 8.1e-05; false; 0.065552;0.98; 0.0533; 0.0000; 0.0003; False; 0.0003; 0.0539
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T118-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T118-rhs.mata;0.05; 0.035198; 0.016597; 4.3e-05; false; 0.055151;0.04; 0.035132; 0.017711; 8.3e-05; false; 0.0568;0.13; 0.064853; 0.02772; 0.050077; 0.000117; false; 0.148849;1.18; 0.0745; 0.0000; 0.0003; False; 0.0003; 0.0751
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T12-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T12-rhs.mata;0.51; 0.352205; 0.144646; 0.018605; false; 0.551878;0.5; 0.361814; 0.154531; 0.000876; false; 0.553796;0.46; 0.311328; 0.120511; 0.013846; 0.01855; false; 0.503196;1.41; 0.4180; 0.0000; 0.0012; False; 0.0013; 0.4200
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T120-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T120-rhs.mata;0.04; 0.038084; 0.016206; 4.3e-05; false; 0.057285;0.07; 0.061905; 0.025035; 9.6e-05; false; 0.091924;0.13; 0.061659; 0.027289; 0.043328; 7.6e-05; false; 0.137727;1.29; 0.1127; 0.0000; 0.0004; False; 0.0004; 0.1136
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T121-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T121-rhs.mata;0.08; 0.061139; 0.027301; 6.4e-05; false; 0.094665;0.08; 0.060888; 0.028218; 9.5e-05; false; 0.094354;0.13; 0.069336; 0.027861; 0.040262; 0.000152; false; 0.143901;1.32; 0.1146; 0.0000; 0.0006; False; 0.0006; 0.1157
