name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-20-*.mata;0.35; 0.081623; 0.170507;0.013142;0.035365; 0.003268; false; 0.387056;0.39; 0.079477; 0.18274;0.015174;0.031393000000000004; 0.002975; false; 0.410705;0.35; 0.080993; 0.158105;0.013595000000000003;0.030003999999999996; 0.003242; false; 0.369311;1.95; 0.4045; 0.0000; 0.2867; 0.0042; 0.0022; False; 0.2932; 0.7046
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-21-*.mata;0.3; 0.096873; 0.134175;0.008516;0.028967999999999997; 0.002702; false; 0.327096;0.35; 0.095057; 0.15441;0.015869;0.03956900000000001; 0.003554; false; 0.369638;0.28; 0.052139; 0.154855;0.008611;0.026129; 0.002993; false; 0.300893;1.72; 0.2739; 0.0000; 0.2604; 0.0037; 0.0020; False; 0.2662; 0.5475
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-22-*.mata;0.29; 0.058582; 0.140523;0.009389999999999999;0.028480000000000002; 0.00279; false; 0.310425;0.38; 0.058549; 0.195478;0.019155000000000002;0.047502; 0.003428; false; 0.396612;0.38; 0.108892; 0.18924;0.009399999999999999;0.028266; 0.002868; false; 0.401554;1.79; 0.3121; 0.0000; 0.2349; 0.0045; 0.0019; False; 0.2414; 0.5614
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-23-*.mata;0.31; 0.06687; 0.141658;0.011902000000000001;0.039709999999999995; 0.00368; false; 0.337292;0.5; 0.063282; 0.23464;0.021627999999999998;0.05862200000000001; 0.005322; false; 0.52538;0.32; 0.061596; 0.145827;0.014964000000000002;0.040578; 0.00355; false; 0.342586;2.06; 0.5306; 0.0000; 0.4018; 0.0054; 0.0022; False; 0.4095; 0.9509
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-24-*.mata;0.45; 0.110277; 0.157393;0.026561999999999992;0.06534100000000001; 0.004559; false; 0.474286;0.61; 0.126167; 0.289866;0.026781;0.06393900000000001; 0.005563; false; 0.645239;0.49; 0.132631; 0.200115;0.018629000000000003;0.05522799999999999; 0.004671; false; 0.514458;1.95; 0.5551; 0.0000; 0.3750; 0.0046; 0.0015; False; 0.3813; 0.9466
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-25-*.mata;0.4; 0.117601; 0.174818;0.015398000000000002;0.04873; 0.004343; false; 0.448378;0.68; 0.14115; 0.307092;0.030034;0.084403; 0.004936; false; 0.712494;0.57; 0.144373; 0.252446;0.015818;0.053662; 0.004848; false; 0.599045;2.2; 0.7009; 0.0000; 0.5687; 0.0047; 0.0017; False; 0.5752; 1.2839
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-26-*.mata;0.74; 0.161274; 0.33354;0.032259;0.083962; 0.005402; false; 0.782141;0.65; 0.156125; 0.326787;0.018566;0.066103; 0.006338; false; 0.674535;0.59; 0.146466; 0.234209;0.033672999999999995;0.08946200000000001; 0.006326; false; 0.62239;1.94; 0.4677; 0.0000; 0.4436; 0.0059; 0.0020; False; 0.4516; 0.9303
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-27-*.mata;0.83; 0.1749; 0.360987;0.03749399999999999;0.11025800000000001; 0.006137; false; 0.865158;0.78; 0.163158; 0.31488;0.038506000000000006;0.098818; 0.00808; false; 0.808478;0.64; 0.158399; 0.299894;0.021867999999999995;0.08398900000000001; 0.005834; false; 0.677481;2.65; 0.7987; 0.0000; 0.6913; 0.0057; 0.0023; False; 0.6994; 1.5110
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-28-*.mata;0.8; 0.190311; 0.311236;0.04137199999999999;0.11426199999999999; 0.006984; false; 0.835421;0.73; 0.146106; 0.409265;0.021009000000000003;0.08005300000000001; 0.00642; false; 0.777708;0.9; 0.181686; 0.412755;0.039558;0.09648399999999999; 0.006492; false; 0.938308;2.33; 0.6166; 0.0000; 0.6203; 0.0064; 0.0019; False; 0.6287; 1.2580
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-29-*.mata;0.69; 0.156056; 0.33554;0.023049;0.09032800000000002; 0.00656; false; 0.7345;0.98; 0.193888; 0.449502;0.042636;0.121133; 0.007652; false; 1.02918;0.9; 0.117271; 0.40956;0.04739499999999999;0.12275599999999999; 0.00772; false; 0.934076;2.62; 0.8146; 0.0000; 0.6569; 0.0072; 0.0025; False; 0.6668; 1.4947
