name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance15169-1.mata;0.0; 0.000399; 0.000394; 6e-05; 2.8e-05; false; 0.001328;0.0; 0.0004; 0.000393; 6.7e-05; 2.5e-05; false; 0.001332;0.0; 0.000404; 0.000578; 0.000316; 4.3e-05; 2.6e-05; false; 0.001742;1.21; 0.0065; 0.0000; 0.0007; 0.0001; 0.0000; False; 0.0009; 0.0077
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance15169-2.mata;0.0; 0.000496; 0.000481; 5.5e-05; 1e-05; false; 0.001516;0.0; 0.000508; 0.000472; 5.7e-05; 1e-05; false; 0.001542;0.0; 0.00055; 0.000557; 0.000352; 5.8e-05; 2.9e-05; false; 0.001983;1.2; 0.0075; 0.0000; 0.0011; 0.0001; 0.0000; False; 0.0013; 0.0092
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance15169-3.mata;0.0; 0.000356; 0.000262; 3.7e-05; 1.8e-05; false; 0.001018;0.0; 0.000361; 0.000275; 4.2e-05; 2e-05; false; 0.001089;0.0; 0.000371; 0.000453; 0.000265; 3.6e-05; 2.5e-05; false; 0.001513;0.89; 0.0056; 0.0000; 0.0003; 0.0001; 0.0000; False; 0.0004; 0.0062
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance15186-1.mata;0.0; 0.000614; 0.00074; 9e-05; 1.3e-05; false; 0.002117;0.0; 0.000576; 0.000711; 8.1e-05; 1.3e-05; false; 0.002026;0.0; 0.000605; 0.000981; 0.000623; 7.5e-05; 4.8e-05; false; 0.002952;1.08; 0.0080; 0.0000; 0.0008; 0.0001; 0.0000; False; 0.0009; 0.0093
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance15186-2.mata;0.0; 0.000143; 8.4e-05; 1.7e-05; 7e-06; false; 0.000432;0.0; 0.000128; 7.9e-05; 1.7e-05; 7e-06; false; 0.000398;0.0; 0.000125; 0.000159; 7.3e-05; 1.9e-05; 8e-06; false; 0.00056;0.92; 0.0044; 0.0000; 0.0002; 0.0000; 0.0000; False; 0.0003; 0.0049
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance15217-1.mata;0.0; 0.004051; 0.00045; 4.2e-05; 3.2e-05; false; 0.005542;0.0; 0.003812; 0.000452; 3.4e-05; 3.2e-05; false; 0.00515;0.0; 0.003951; 0.001488; 0.000511; 4.4e-05; 3.4e-05; false; 0.006957;1.16; 0.0123; 0.0000; 0.0010; 0.0001; 0.0000; False; 0.0012; 0.0139
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance15217-10.mata;0.0; 0.000318; 0.000268; 3.9e-05; 1.8e-05; false; 0.000992;0.0; 0.00033; 0.000261; 3.7e-05; 3.2e-05; false; 0.001005;0.0; 0.000314; 0.000415; 0.000248; 4.2e-05; 2e-05; false; 0.001373;1.22; 0.0065; 0.0000; 0.0007; 0.0001; 0.0000; False; 0.0009; 0.0076
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance15217-11.mata;0.0; 0.001158; 0.000192; 1.8e-05; 1.7e-05; false; 0.001727;0.0; 0.002307; 0.000363; 3.5e-05; 2.7e-05; false; 0.003309;0.0; 0.002205; 0.001241; 0.000367; 3.2e-05; 2.9e-05; false; 0.004457;1.2; 0.0106; 0.0000; 0.0008; 0.0001; 0.0000; False; 0.0010; 0.0118
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance15217-2.mata;0.0; 9.5e-05; 2.5e-05; 6e-06; 2e-06; false; 0.000236;0.0; 8.8e-05; 2.2e-05; 5e-06; 2e-06; false; 0.000243;0.0; 8.7e-05; 4.7e-05; 1.4e-05; 8e-06; 1e-06; false; 0.000289;1.09; 0.0056; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0059
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance15217-3.mata;0.0; 5.6e-05; 1.7e-05; 4e-06; 1e-06; false; 0.00017;0.0; 5.5e-05; 1.5e-05; 5e-06; 2e-06; false; 0.000171;0.0; 5.4e-05; 3e-05; 1e-05; 7e-06; 2e-06; false; 0.000208;0.88; 0.0072; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0075
