name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1357.0.mata;0.05; 0.050537; 0.005482; 0.000394; 0.000151; false; 0.063362;0.06; 0.051353; 0.005457; 0.00044; 0.000171; false; 0.064107;0.06; 0.052018; 0.009324; 0.002162; 0.000175; 0.000103; false; 0.069864;1.29; 0.0846; 0.0000; 0.0102; 0.0005; 0.0000; False; 0.0107; 0.0964
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1370.0.mata;0.04; 0.038617; 0.003997; 0.000763; 0.000135; false; 0.049866;0.04; 0.037055; 0.003541; 0.000404; 0.000123; false; 0.046193;0.05; 0.041823; 0.008758; 0.001223; 0.00013; 7.3e-05; false; 0.05747;0.89; 0.0526; 0.0000; 0.0069; 0.0003; 0.0000; False; 0.0073; 0.0606
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1371.0.mata;0.03; 0.032703; 0.003281; 0.000277; 0.000124; false; 0.040552;0.07; 0.059137; 0.00611; 0.000445; 0.000195; false; 0.074594;0.04; 0.032976; 0.006548; 0.001153; 0.000109; 6.8e-05; false; 0.044899;0.97; 0.0558; 0.0000; 0.0067; 0.0003; 0.0000; False; 0.0071; 0.0636
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1375.0.mata;0.05; 0.052515; 0.00544; 0.000369; 0.00016; false; 0.065614;0.05; 0.050903; 0.005294; 0.000357; 0.00016; false; 0.06402;0.06; 0.053068; 0.008889; 0.002137; 0.000175; 0.000109; false; 0.070587;1.19; 0.0827; 0.0000; 0.0102; 0.0004; 0.0000; False; 0.0107; 0.0943
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1379.0.mata;0.07; 0.065862; 0.0066; 0.000555; 0.00021; false; 0.081776;0.06; 0.058948; 0.006243; 0.000537; 0.00022; false; 0.074417;0.07; 0.061114; 0.012398; 0.002304; 0.000194; 0.00013; false; 0.083689;1.2; 0.0558; 0.0000; 0.0074; 0.0003; 0.0000; False; 0.0078; 0.0643
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1427.0.mata;0.06; 0.053635; 0.005825; 0.000385; 0.000171; false; 0.067361;0.06; 0.058546; 0.00616; 0.000453; 0.000208; false; 0.073794;0.07; 0.056734; 0.013081; 0.002153; 0.000201; 0.000143; false; 0.080408;0.97; 0.0523; 0.0000; 0.0079; 0.0007; 0.0000; False; 0.0087; 0.0625
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1437.0.mata;0.04; 0.036388; 0.004487; 0.000255; 0.000109; false; 0.04599;0.03; 0.030864; 0.003466; 0.000245; 0.000107; false; 0.03923;0.03; 0.028063; 0.005966; 0.001781; 0.000168; 8e-05; false; 0.040048;1.17; 0.0515; 0.0000; 0.0069; 0.0002; 0.0000; False; 0.0072; 0.0595
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1471.0.mata;0.04; 0.035905; 0.004977; 0.000297; 0.000148; false; 0.047066;0.04; 0.03395; 0.004078; 0.000259; 0.000127; false; 0.043322;0.04; 0.035386; 0.00723; 0.000806; 4.2e-05; 6.6e-05; false; 0.048417;1.01; 0.0367; 0.0000; 0.0060; 0.0002; 0.0000; False; 0.0062; 0.0435
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1475.0.mata;0.09; 0.075379; 0.008584; 0.000492; 0.000297; false; 0.095163;0.04; 0.044929; 0.004414; 0.000205; 0.000167; false; 0.055461;0.09; 0.074867; 0.0137; 0.001376; 6.2e-05; 0.000115; false; 0.099353;0.96; 0.0825; 0.0000; 0.0170; 0.0012; 0.0000; False; 0.0183; 0.1025
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1477.0.mata;0.04; 0.035439; 0.004404; 0.00019; 0.000123; false; 0.045223;0.04; 0.040395; 0.004616; 0.000224; 0.000139; false; 0.051058;0.05; 0.040737; 0.007567; 0.000839; 4.2e-05; 6.3e-05; false; 0.054848;1.11; 0.0573; 0.0000; 0.0073; 0.0002; 0.0000; False; 0.0076; 0.0654
