name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1107.0.mata;0.28; 0.252799; 0.064186; 0.00314; 0.00041; 8.4e-05; false; 0.325976;0.28; 0.260293; 0.060385; 0.002614; 0.000375; 7.6e-05; false; 0.328401;0.3; 0.275237; 0.058985; 0.004298; 0.000715; 7.8e-05; 4.2e-05; false; 0.343779;1.6; 0.4320; 0.0000; 0.0048; 0.0002; 0.0000; False; 0.0051; 0.4374
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1117.0.mata;0.16; 0.129343; 0.037089; 0.001668; 0.000191; 5.5e-05; false; 0.171569;0.14; 0.136096; 0.030106; 0.001288; 0.000144; 4.5e-05; false; 0.170407;0.15; 0.128548; 0.033701; 0.002356; 0.000561; 6.8e-05; 3.1e-05; false; 0.168156;1.36; 0.2477; 0.0000; 0.0036; 0.0003; 0.0000; False; 0.0039; 0.2522
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1170.0.mata;0.21; 0.179212; 0.04015; 0.001891; 0.00018; 5.8e-05; false; 0.224502;0.17; 0.160257; 0.039504; 0.001769; 0.000243; 6.3e-05; false; 0.205412;0.21; 0.19095; 0.040017; 0.002739; 0.000619; 7.3e-05; 3.3e-05; false; 0.237621;1.22; 0.1888; 0.0000; 0.0026; 0.0002; 0.0000; False; 0.0030; 0.1921
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1172.0.mata;0.17; 0.157173; 0.041833; 0.001901; 0.000196; 5.7e-05; false; 0.204508;0.22; 0.199084; 0.045325; 0.001893; 0.000225; 6.1e-05; false; 0.250062;0.21; 0.192648; 0.043298; 0.00288; 0.000609; 7.4e-05; 4.6e-05; false; 0.242838;1.44; 0.7144; 0.0000; 0.0061; 0.0004; 0.0000; False; 0.0065; 0.7217
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1307.0.mata;0.04; 0.037303; 0.013383; 0.000873; 0.000103; 2.4e-05; false; 0.053435;0.03; 0.082194; 0.038249; 0.000763; 7.5e-05; 2.2e-05; false; 0.122876;0.04; 0.105053; 0.034695; 0.000777; 0.000319; 4.2e-05; 6e-06; false; 0.142344;1.23; 0.0837; 0.0000; 0.0015; 0.0001; 0.0000; False; 0.0017; 0.0859
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1317.0.mata;0.02; 0.022421; 0.008255; 0.000465; 5.7e-05; 1.5e-05; false; 0.032239;0.02; 0.024827; 0.018731; 0.00048; 5.1e-05; 1.4e-05; false; 0.045016;0.02; 0.038182; 0.018353; 0.000469; 0.000219; 3.3e-05; 1e-05; false; 0.058301;0.91; 0.0805; 0.0000; 0.0011; 0.0001; 0.0000; False; 0.0012; 0.0819
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1337.0.mata;0.09; 0.139784; 0.022303; 0.000983; 0.00015; 3.1e-05; false; 0.165087;0.09; 0.161049; 0.022751; 0.000981; 0.000128; 3.7e-05; false; 0.186858;0.09; 0.15314; 0.022166; 0.00163; 0.000377; 5.3e-05; 2.1e-05; false; 0.179209;1.03; 0.2132; 0.0000; 0.0030; 0.0002; 0.0000; False; 0.0033; 0.2169
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1357.0.mata;0.1; 0.08417; 0.021633; 0.000891; 0.000109; 3.1e-05; false; 0.108579;0.09; 0.099218; 0.021636; 0.000971; 0.000132; 3.4e-05; false; 0.123915;0.09; 0.115171; 0.020841; 0.001554; 0.00037; 5.1e-05; 1.9e-05; false; 0.139632;1.43; 0.2870; 0.0000; 0.0050; 0.0002; 0.0002; False; 0.0056; 0.2933
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1370.0.mata;0.16; 0.16598; 0.025657; 0.001112; 0.000134; 1.1e-05; false; 0.195097;0.12; 0.105901; 0.029097; 0.001212; 0.000128; 1.1e-05; false; 0.138564;0.12; 0.108188; 0.030142; 0.002107; 0.000406; 5.6e-05; 9e-06; false; 0.14331;1.47; 0.2930; 0.0000; 0.0041; 0.0003; 0.0000; False; 0.0045; 0.2979
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1371.0.mata;0.2; 0.178526; 0.043666; 0.002079; 0.000197; 1.6e-05; false; 0.228053;0.2; 0.174926; 0.043921; 0.00191; 0.000179; 1.6e-05; false; 0.224426;0.2; 0.174432; 0.041424; 0.003347; 0.000727; 7.6e-05; 1.2e-05; false; 0.223415;1.27; 0.1686; 0.0000; 0.0035; 0.0003; 0.0000; False; 0.0038; 0.1727
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1375.0.mata;0.16; 0.142763; 0.035985; 0.001586; 0.000162; 4.8e-05; false; 0.183392;0.15; 0.136797; 0.033731; 0.001475; 0.000161; 4.8e-05; false; 0.174933;0.16; 0.139893; 0.034853; 0.002636; 0.00062; 9e-05; 3.1e-05; false; 0.180984;1.08; 0.1973; 0.0000; 0.0028; 0.0003; 0.0000; False; 0.0031; 0.2009
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1379.0.mata;0.2; 0.180334; 0.039675; 0.002106; 0.000286; 1.9e-05; false; 0.225809;0.19; 0.173171; 0.040991; 0.002013; 0.000251; 1.8e-05; false; 0.219928;0.21; 0.176172; 0.040325; 0.003581; 0.000724; 9.6e-05; 1.2e-05; false; 0.224312;1.46; 0.2804; 0.0000; 0.0038; 0.0003; 0.0000; False; 0.0041; 0.2849
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1427.0.mata;0.11; 0.111386; 0.023986; 0.001053; 0.000125; 1.1e-05; false; 0.138385;0.19; 0.171573; 0.03976; 0.002026; 0.000289; 2e-05; false; 0.217238;0.2; 0.175978; 0.040157; 0.003598; 0.000742; 9e-05; 1.4e-05; false; 0.22412;1.45; 0.2925; 0.0000; 0.0039; 0.0002; 0.0000; False; 0.0042; 0.2971
