name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-inclusion_check;mata-old-inclusion_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-inclusion;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut44.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.01; 0.009627; 0.007354;0.00028;9.599999999999999e-05; 7e-06; true; 0.018901;0.03; 0.019627; 0.012034;0.0006550000000000001;0.00017900000000000001; 9e-06; true; 0.03514;0.02; 0.017421; 0.009977;0.002007;9.900000000000001e-05;3.5000000000000004e-05; 7e-06; true; 0.031398;1.06; 0.0472; 0.0000; 0.0021; 0.0000; 0.0000; True; 0.0022; 0.0496
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut48.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.05; 0.044918; 0.015521;0.000192;6.2e-05; 7e-06; true; 0.063069;0.06; 0.042877; 0.02724;0.00043200000000000004;0.000127; 1.1e-05; true; 0.075109;0.09; 0.066654; 0.024239;0.009345;0.00011999999999999999;3.9999999999999996e-05; 8e-06; true; 0.104448;1.27; 0.1362; 0.0000; 0.0014; 0.0000; 0.0000; True; 0.0014; 0.1384
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut3.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut49.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;0.07; 0.062755; 0.020823;0.00046;0.000211; 0.000128; true; 0.086858;0.07; 0.058442; 0.01875;0.000388;0.00016199999999999998; 0.000131; true; 0.080005;0.06; 0.05448; 0.0187;0.001828;0.00015299999999999998;6.500000000000001e-05; 3.3e-05; true; 0.077408;1.3; 0.1103; 0.0000; 0.0110; 0.0016; 0.0002; True; 0.0129; 0.1236
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut3.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.11; 0.09775; 0.023522;0.000297;0.000114; 7e-06; true; 0.125004;0.13; 0.105812; 0.03775;0.000619;0.000202; 1e-05; true; 0.150407;0.08; 0.056238; 0.02036;0.0075650000000000005;0.000148;4.4000000000000006e-05; 8e-06; true; 0.087458;1.18; 0.1347; 0.0000; 0.0030; 0.0001; 0.0000; True; 0.0031; 0.1382
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut39.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut53.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata;0.06; 0.046575; 0.019791;2.3000000000000003e-05;1.4e-05; 9e-06; true; 0.070324;0.05; 0.044235; 0.018221;2.1000000000000002e-05;1.3000000000000001e-05; 9e-06; true; 0.066437;0.06; 0.04288; 0.018596;0.004406;1.7e-05;2e-05; 1.1e-05; true; 0.069778;1.03; 0.0728; 0.0000; 0.0002; 0.0000; 0.0000; True; 0.0003; 0.0735
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut36.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut57.mata;0.01; 0.012541; 0.006592;5.7e-05;3.1e-05; 6.2e-05; true; 0.020291;0.03; 0.024083; 0.010299;0.000114;4.4e-05; 9.1e-05; true; 0.036013;0.02; 0.021264; 0.009723;0.001062;4.3e-05;3.2e-05; 2.4e-05; true; 0.033463;1.11; 0.0304; 0.0000; 0.0004; 0.0000; 0.0001; True; 0.0006; 0.0312
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut44.mata;0.05; 0.037554; 0.018228;1.2000000000000002e-05;7e-06; 9e-06; true; 0.059241;0.04; 0.036394; 0.017514;1.3000000000000001e-05;8e-06; 9e-06; true; 0.057244;0.05; 0.037145; 0.018271;0.007025;1.1e-05;8e-06; 1.8e-05; true; 0.065942;1.16; 0.0869; 0.0000; 0.0000; 0.0001; 0.0000; True; 0.0003; 0.0875
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.08; 0.067383; 0.027329;1.4000000000000001e-05;9.999999999999999e-06; 1.2e-05; true; 0.099955;0.09; 0.06733; 0.027614;1.3000000000000001e-05;7e-06; 1e-05; true; 0.099767;0.1; 0.069881; 0.028067;0.012884;9e-06;5.999999999999999e-06; 1e-05; true; 0.115655;1.21; 0.1385; 0.0000; 0.0000; 0.0000; 0.0000; True; 0.0001; 0.1391
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut7.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata;0.41; 0.349847; 0.093659;1.3000000000000001e-05;7e-06; 1e-05; true; 0.454058;0.41; 0.353604; 0.093194;9e-06;7e-06; 9e-06; true; 0.453771;0.54; 0.348197; 0.098411;0.12062;1.1e-05;7e-06; 7e-06; true; 0.580069;1.41; 0.3799; 0.0000; 0.0003; 0.0000; 0.0000; True; 0.0004; 0.3809
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut56.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut71.mata;0.04; 0.034409; 0.012821;8e-06;6.999999999999999e-06; 7e-06; true; 0.048904;0.04; 0.034149; 0.014071;8e-06;5.999999999999999e-06; 7e-06; true; 0.050027;0.07; 0.055518; 0.020639;0.00418;1.9e-05;6e-06; 1.7e-05; true; 0.08301;1.26; 0.0876; 0.0000; 0.0000; 0.0000; 0.0000; True; 0.0001; 0.0881
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut5.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.43; 0.350206; 0.111682;9.7e-05;3.2999999999999996e-05; 1e-05; true; 0.476203;0.27; 0.216857; 0.069462;6.3e-05;3.2e-05; 1e-05; true; 0.295022;0.42; 0.383484; 0.066786;0.014168;3.2999999999999996e-05;1.5e-05; 5e-06; true; 0.472986;1.53; 0.4834; 0.0000; 0.0006; 0.0000; 0.0000; True; 0.0007; 0.4846
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut5.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut57.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.41; 0.366546; 0.089239;0.000191;7.2e-05; 9.7e-05; true; 0.463815;0.42; 0.365687; 0.094389;0.000205;6.9e-05; 0.000104; true; 0.46861;0.26; 0.216692; 0.065204;0.00699;4e-05;2.5e-05; 3.5e-05; true; 0.293988;1.42; 0.4505; 0.0000; 0.0011; 0.0001; 0.0001; True; 0.0014; 0.4524
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut53.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut73.mata;0.18; 0.117586; 0.041871;0.00246;0.001201; 0.022775; false; 0.195303;0.16; 0.122648; 0.040122;0.002366;0.000866; 0.000411; false; 0.174432;0.18; 0.120306; 0.04144;0.028942000000000002;0.00091;0.00023099999999999998; 0.003363; false; 0.202198;1.32; 0.1544; 0.0000; 0.0100; 0.0009; 0.0007; False; 0.0117; 0.1670
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut59.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut60.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut73.mata;0.14; 0.114072; 0.033999;0.00038500000000000003;0.000144; 0.003827; false; 0.157525;0.14; 0.116659; 0.037105;0.000372;0.00013099999999999999; 0.000583; false; 0.16035;0.15; 0.110488; 0.032371;0.024046;0.000325;8.6e-05; 0.000363; false; 0.172703;1.3; 0.1933; 0.0000; 0.0045; 0.0011; 0.0011; False; 0.0068; 0.2008
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut6.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut52.mata;0.13; 0.099967; 0.036238;0.00045100000000000007;0.000178; 1e-05; true; 0.142837;0.13; 0.099568; 0.039984;0.0004980000000000001;0.000279; 9e-06; true; 0.147513;0.14; 0.099188; 0.037936;0.010690000000000002;0.00010599999999999999;3.1e-05; 8e-06; true; 0.154644;1.23; 0.1974; 0.0000; 0.0412; 0.0043; 0.0000; True; 0.0456; 0.2437
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut6.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut54.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.14; 0.103628; 0.040311;0.000442;0.00019999999999999998; 1e-05; true; 0.151872;0.14; 0.105098; 0.044995;0.0005120000000000001;0.000224; 1e-05; true; 0.158989;0.15; 0.106618; 0.04405;0.012541;0.00011499999999999999;3e-05; 7e-06; true; 0.170648;1.19; 0.1208; 0.0000; 0.0023; 0.0001; 0.0000; True; 0.0024; 0.1236
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut8.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut24.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata;0.09; 0.067424; 0.035916;3.6e-05;1.9e-05; 9e-06; true; 0.110267;0.1; 0.067209; 0.036027;4e-05;2.9e-05; 1e-05; true; 0.110211;0.08; 0.060845; 0.023342;0.005947;1.8e-05;2.3000000000000003e-05; 9e-06; true; 0.09529;1.43; 0.1517; 0.0000; 0.0008; 0.0000; 0.0000; True; 0.0008; 0.1533
