name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-concat;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-construction;awali-concat;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-24.mata;0.02; 0.00024;0.008965;0.0019779999999999997; 0.000656; false; 0.025952;0.9; 0.000229;0.916865;0.006011;0.001473; 0.000301; false; 0.935235;0.02; 0.000148; 1.1e-05;0.009918;0.010332; 0.005789; false; 0.02772
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-25.mata;0.0; 5.2e-05;0.00037200000000000004;0.000335; 0.000104; false; 0.001615;0.04; 5.2e-05;0.047005000000000005;0.000276;0.00019299999999999997; 4.4e-05; false; 0.048281;0.01; 6.3e-05; 6e-06;0.0030110000000000002;0.002249; 0.000998; false; 0.007288
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-26.mata;0.0; 7.6e-05;0.001816;0.00043400000000000003; 0.000132; false; 0.005441;0.32; 8e-05;0.32797899999999997;0.001957;0.00056; 0.000192; false; 0.334287;0.03; 0.000153; 1.3e-05;0.010252;0.008953; 0.004913; false; 0.026115
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-27.mata;0.01; 0.000127;0.004868;0.001375; 0.000452; false; 0.014677;1.25; 0.000204;1.2640259999999999;0.007982;0.0017599999999999998; 0.0005; false; 1.28688;0.02; 0.000126; 1.5e-05;0.009777000000000001;0.010057; 0.005358; false; 0.02674
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-28.mata;0.01; 0.000128;0.004738;0.001355; 0.000423; false; 0.014197;1.27; 0.000218;1.2854889999999999;0.007247;0.0018349999999999998; 0.000711; false; 1.30665;0.04; 0.000228; 1.6e-05;0.017066;0.016919; 0.009038; false; 0.045274
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-29.mata;0.0; 9.1e-05;0.000546;0.000542; 0.000123; false; 0.002455;0.07; 8.3e-05;0.08102499999999999;0.000536;0.000338; 6.3e-05; false; 0.083496;0.01; 0.000101; 1e-05;0.005311;0.0038580000000000003; 0.001674; false; 0.012639
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-3.mata;0.01; 0.000167;0.007129;0.0014130000000000002; 0.000585; false; 0.020519;1.26; 0.000204;1.271727;0.00793;0.0017469999999999999; 0.000457; false; 1.29457;0.02; 0.000126; 1.1e-05;0.009509;0.010185; 0.005281; false; 0.026444
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-30.mata;0.01; 0.000126;0.003136;0.000757; 0.000247; false; 0.009865;0.44; 0.000125;0.446839;0.002977;0.000784; 0.000226; false; 0.456309;0.01; 9e-05; 1.1e-05;0.005686;0.005085; 0.002632; false; 0.014682
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-31.mata;0.01; 0.000119;0.004789;0.001176; 0.00035; false; 0.014192;0.65; 0.000119;0.6637419999999999;0.003764;0.0008569999999999999; 0.000279; false; 0.675153;0.02; 0.000128; 2.3e-05;0.009114;0.009618; 0.005076; false; 0.025191
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-32.mata;0.01; 0.000122;0.004661;0.000997; 0.000332; false; 0.013202;0.72; 0.000124;0.733242;0.00391;0.001083; 0.00039; false; 0.745275;0.04; 0.00022; 1.6e-05;0.016675000000000002;0.016617; 0.008733; false; 0.04422
