name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06846.mata;0.07; 0.069299; 0.004267; 0.000225; 0.000126; false; 0.083381;0.21; 0.059596; 0.145392; 0.004508; 0.000226; 0.000126; false; 0.219475;0.08; 0.060339; 0.003338; 0.009396; 0.003075; 0.00254; false; 0.085544
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06848.mata;0.0; 0.001134; 0.00128; 0.000136; 9.7e-05; false; 0.003725;0.0; 0.001074; 0.002306; 0.001083; 0.000123; 0.0001; false; 0.005499;0.01; 0.001099; 0.000112; 0.003555; 0.002003; 0.001706; false; 0.009325
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06892.mata;0.0; 0.003936; 0.000524; 6.4e-05; 4.6e-05; false; 0.005489;0.0; 0.003926; 0.003765; 0.000563; 6e-05; 5.1e-05; false; 0.00933;0.0; 0.003839; 0.000232; 0.001876; 0.000907; 0.00059; false; 0.008584
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06928.mata;16.94; 17.335; 0.280964; 0.000509; 0.00031; false; 18.6854;16.88; 17.2813; 0.01642; 0.312884; 0.000664; 0.000357; false; 18.6647;27.62; 16.1538; 8.10458; 3.9758; 0.005589; 0.005333; false; 29.2302
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06935.mata;0.07; 0.070177; 0.002679; 0.000294; 0.000272; false; 0.08517;0.12; 0.112045; 0.001473; 0.004412; 0.000324; 0.000282; false; 0.137033;0.15; 0.148467; 0.003443; 0.006516; 0.002684; 0.002772; false; 0.17191
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06956.mata;0.0; 0.0005; 0.000298; 4.2e-05; 2.6e-05; false; 0.001256;0.0; 0.000858; 0.001202; 0.000605; 5.8e-05; 4.1e-05; false; 0.003274;0.0; 0.000461; 5e-05; 0.001344; 0.000766; 0.000422; false; 0.003793
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06963.mata;0.04; 0.034975; 0.012164; 0.000476; 8.7e-05; false; 0.053316;0.09; 0.03445; 0.042817; 0.012518; 0.000439; 7.4e-05; false; 0.095871;0.08; 0.034365; 0.001843; 0.033151; 0.004572; 0.003153; false; 0.081589
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06975.mata;0.0; 0.001105; 0.000888; 5.5e-05; 4e-05; false; 0.002638;0.0; 0.001031; 0.000969; 0.00083; 5.7e-05; 4.3e-05; false; 0.003418;0.01; 0.0021; 0.000144; 0.003714; 0.001563; 0.001124; false; 0.009814
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07006.mata;0.06; 0.061178; 0.003778; 0.000268; 0.000175; false; 0.075742;0.57; 0.119445; 0.453062; 0.004219; 0.000255; 0.000173; false; 0.595501;0.08; 0.062659; 0.003205; 0.009863; 0.003294; 0.002879; false; 0.089576
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07019.mata;0.02; 0.01859; 0.001171; 7.1e-05; 4.9e-05; false; 0.022962;0.09; 0.035627; 0.049637; 0.002538; 0.000135; 0.000174; false; 0.093799;0.05; 0.033489; 0.001968; 0.006353; 0.002081; 0.001511; false; 0.050382
