name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1307.0.mata;0.04; 0.036686; 0.013686; 0.000867; 0.000105; 3.7e-05; false; 0.052986;0.04; 0.037155; 0.013484; 0.0008; 0.00035; 4.3e-05; 6e-06; false; 0.05344;0.04; 0.034035; 0.008697; 0.000114; 0.001434; 0.000733; 0.000351; false; 0.047119
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1317.0.mata;0.04; 0.039391; 0.014181; 0.000935; 0.000113; 2.5e-05; false; 0.056305;0.02; 0.02322; 0.009419; 0.00046; 0.000295; 3e-05; 1e-05; false; 0.034395;0.05; 0.040079; 0.014961; 0.000226; 0.002418; 0.001235; 0.000618; false; 0.061849
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1337.0.mata;0.18; 0.150177; 0.036931; 0.001689; 0.000221; 6.5e-05; false; 0.192195;0.16; 0.145634; 0.038406; 0.00267; 0.000721; 8e-05; 3.4e-05; false; 0.190781;0.18; 0.157245; 0.037055; 0.000725; 0.004369; 0.001825; 0.001166; false; 0.205972
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1357.0.mata;0.16; 0.148313; 0.035211; 0.001699; 0.000236; 5.7e-05; false; 0.188609;0.17; 0.144794; 0.034836; 0.002639; 0.000673; 7.8e-05; 3.6e-05; false; 0.185946;0.18; 0.151717; 0.034674; 0.000708; 0.004169; 0.001772; 0.001124; false; 0.197654
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1370.0.mata;0.2; 0.177401; 0.041757; 0.001867; 0.000269; 1.6e-05; false; 0.22452;0.19; 0.174393; 0.039601; 0.003263; 0.000723; 8.3e-05; 1.1e-05; false; 0.221148;0.2; 0.178682; 0.038908; 0.000835; 0.007257; 0.00199; 0.001389; false; 0.23246
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1371.0.mata;0.2; 0.1755; 0.040089; 0.001783; 0.000194; 1.5e-05; false; 0.220497;0.2; 0.176323; 0.039465; 0.003194; 0.000708; 9.1e-05; 1.1e-05; false; 0.222725;0.21; 0.180596; 0.042616; 0.000863; 0.007356; 0.002022; 0.001431; false; 0.238385
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1375.0.mata;0.09; 0.087273; 0.022393; 0.000922; 0.000117; 3e-05; false; 0.112576;0.17; 0.154911; 0.037899; 0.002662; 0.000681; 8.2e-05; 4.8e-05; false; 0.199254;0.15; 0.126168; 0.036329; 0.000671; 0.004088; 0.001763; 0.001109; false; 0.173567
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1379.0.mata;0.2; 0.17264; 0.041214; 0.001991; 0.000193; 1.8e-05; false; 0.219473;0.2; 0.18108; 0.04196; 0.003247; 0.000686; 8.8e-05; 1.1e-05; false; 0.23004;0.16; 0.137537; 0.028384; 0.000521; 0.004399; 0.001642; 0.000946; false; 0.176299
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1427.0.mata;0.19; 0.17914; 0.041027; 0.002156; 0.000286; 1.9e-05; false; 0.225991;0.21; 0.175895; 0.051891; 0.003439; 0.000692; 9.9e-05; 1.4e-05; false; 0.236845;0.23; 0.180558; 0.048983; 0.0009; 0.007907; 0.002264; 0.001602; false; 0.246109
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1437.0.mata;0.12; 0.10506; 0.02741; 0.001081; 0.000119; 3.3e-05; false; 0.135906;0.07; 0.066574; 0.015313; 0.001179; 0.000329; 4.8e-05; 7e-06; false; 0.084878;0.11; 0.09361; 0.023637; 0.000491; 0.003416; 0.001387; 0.000774; false; 0.126416
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1471.0.mata;0.13; 0.104789; 0.035996; 0.003114; 0.000181; 0.000108; false; 0.149252;0.08; 0.063746; 0.024009; 0.002706; 0.000342; 4.1e-05; 2.3e-05; false; 0.094175;0.15; 0.111337; 0.031646; 0.001088; 0.009189; 0.002459; 0.001859; false; 0.161809
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1475.0.mata;0.29; 0.266495; 0.059184; 0.003283; 0.000207; 0.0001; false; 0.334367;0.28; 0.242067; 0.062314; 0.004549; 0.000562; 4.1e-05; 6.3e-05; false; 0.315398;0.29; 0.230719; 0.055554; 0.001054; 0.010117; 0.003033; 0.00195; false; 0.307496
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1477.0.mata;0.12; 0.11079; 0.026122; 0.001803; 0.000144; 7.3e-05; false; 0.143276;0.14; 0.110784; 0.033116; 0.004007; 0.000522; 3.4e-05; 4.1e-05; false; 0.152831;0.1; 0.075007; 0.022286; 0.000673; 0.005665; 0.001566; 0.001209; false; 0.109869
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1479.0.mata;0.27; 0.228349; 0.065747; 0.002915; 0.000158; 7e-05; false; 0.303168;0.27; 0.255567; 0.045883; 0.002658; 0.000282; 2.2e-05; 2.7e-05; false; 0.307392;0.18; 0.144704; 0.039303; 0.000743; 0.006104; 0.001718; 0.001293; false; 0.196787
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1575.0.mata;0.24; 0.216673; 0.043764; 0.002721; 0.00024; 7.3e-05; false; 0.266942;0.15; 0.124845; 0.037138; 0.002285; 0.00046; 6.9e-05; 2.4e-05; false; 0.167034;0.16; 0.130235; 0.035845; 0.000551; 0.005993; 0.002026; 0.001227; false; 0.178639
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1578.0.mata;0.13; 0.117071; 0.029215; 0.001417; 0.000166; 4.5e-05; false; 0.150087;0.13; 0.120682; 0.029105; 0.002209; 0.000441; 5.6e-05; 2.5e-05; false; 0.154693;0.26; 0.210739; 0.050438; 0.001037; 0.010008; 0.00283; 0.001809; false; 0.280751
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1597.0.mata;0.2; 0.17969; 0.051131; 0.001755; 0.000235; 2.3e-05; false; 0.236734;0.24; 0.184245; 0.069733; 0.005012; 0.000823; 9.3e-05; 4.1e-05; false; 0.266434;0.25; 0.209248; 0.045249; 0.000942; 0.007136; 0.002025; 0.001524; false; 0.271004
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1676.0.mata;0.14; 0.135364; 0.032127; 0.001509; 0.000175; 5.9e-05; false; 0.171557;0.27; 0.245053; 0.054132; 0.003848; 0.000697; 8.4e-05; 4e-05; false; 0.307473;0.16; 0.137553; 0.034907; 0.000611; 0.005863; 0.001593; 0.001248; false; 0.184513
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1677.0.mata;0.21; 0.19099; 0.042407; 0.001832; 0.000211; 5.7e-05; false; 0.23881;0.26; 0.202014; 0.070595; 0.00501; 0.000741; 8.5e-05; 3.1e-05; false; 0.284163;0.4; 0.340388; 0.076753; 0.001711; 0.012877; 0.003224; 0.002533; false; 0.443946
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1679.0.mata;0.36; 0.332928; 0.07118; 0.003418; 0.000524; 0.000103; false; 0.413543;0.34; 0.325979; 0.054769; 0.003006; 0.000381; 6.4e-05; 1.6e-05; false; 0.387635;0.39; 0.335164; 0.072938; 0.001673; 0.012195; 0.002982; 0.002362; false; 0.433494
