name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-inclusion_check;awali-inclusion_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut44.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.01; 0.010199; 0.008239;0.000304;0.00010899999999999999; 6e-06; true; 0.020689;0.02; 0.018366; 0.011731;0.003542;0.00019;5.4000000000000005e-05; 5e-06; true; 0.036224;0.03; 0.018604; 0.0121;0.00048199999999999995;0.001848;0.0021330000000000003; 0.001164; true; 0.039649
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut48.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.06; 0.03915; 0.023584;0.000422;0.000123; 8e-06; true; 0.067402;0.09; 0.072026; 0.025352;0.009266;0.00010599999999999999;3.9e-05; 8e-06; true; 0.11076;0.1; 0.070663; 0.024186;0.001044;0.001342;0.0014039999999999999; 0.010618; true; 0.113603
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut3.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut49.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;0.07; 0.061094; 0.019331;0.000456;0.000175; 0.000131; true; 0.083553;0.07; 0.057087; 0.021376;0.001729;0.000146;5.7e-05; 3.2e-05; true; 0.082497;0.08; 0.064465; 0.020853;0.000392;0.001989;0.0020310000000000003; 0.00177; true; 0.095561
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut3.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.13; 0.107036; 0.035663;0.000641;0.00019899999999999999; 1.1e-05; true; 0.149467;0.14; 0.103708; 0.034631;0.014163;0.00024399999999999997;6.400000000000001e-05; 8e-06; true; 0.158524;0.13; 0.09163; 0.024381;0.001761;0.002098;0.001845; 0.014175; true; 0.141672
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut39.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut53.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata;0.05; 0.04095; 0.019876;2.5e-05;1.5e-05; 1.1e-05; true; 0.065311;0.04; 0.034322; 0.012981;0.002323;1e-05;1.4e-05; 8e-06; true; 0.052539;0.07; 0.04519; 0.020638;0.000582;0.000798;0.0005759999999999999; 0.001708; true; 0.074059
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut36.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut57.mata;0.02; 0.021339; 0.010417;6.1e-05;3.1e-05; 5.1e-05; true; 0.03343;0.03; 0.022749; 0.010164;0.001163;4.3e-05;2.9e-05; 2.3e-05; true; 0.035592;0.04; 0.023821; 0.010265;0.000177;0.000813;0.0007390000000000001; 0.001202; true; 0.03926
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut44.mata;0.03; 0.022384; 0.011659;8e-06;4e-06; 5e-06; true; 0.036004;0.03; 0.02112; 0.01113;0.0056760000000000005;9e-06;6.999999999999999e-06; 5e-06; true; 0.040106;0.06; 0.036362; 0.017261;0.0007319999999999999;0.000642;0.000503; 0.000718; true; 0.06009
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.08; 0.071292; 0.028246;1.2000000000000002e-05;5.999999999999999e-06; 8e-06; true; 0.104219;0.1; 0.071144; 0.025405;0.010539;2e-05;5.999999999999999e-06; 7e-06; true; 0.111447;0.11; 0.072442; 0.02842;0.00146;0.0007019999999999999;0.0005459999999999999; 0.014036; true; 0.122836
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut7.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata;0.39; 0.342438; 0.084998;1.1e-05;7e-06; 6e-06; true; 0.433935;0.3; 0.203653; 0.060283;0.06392400000000001;8e-06;4.9999999999999996e-06; 5e-06; true; 0.33432;0.4; 0.345726; 0.095267;0.004111;0.000765;0.0005239999999999999; 0.001592; true; 0.458172
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut56.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut71.mata;0.07; 0.059037; 0.019774;1.2000000000000002e-05;7e-06; 8e-06; true; 0.081458;0.07; 0.060375; 0.020141;0.004439;1.1e-05;9e-06; 1e-05; true; 0.08767;0.07; 0.058849; 0.020341;0.00057;0.000655;0.0005219999999999999; 0.001772; true; 0.085843
