name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1427.0.mata;0.03; 0.032401; 0.003231; 0.000271; 0.000114; false; 0.040058;0.08; 0.063769; 0.012107; 0.002271; 0.000182; 0.000119; false; 0.085432;0.06; 0.032271; 0.001616; 0.020505; 0.00354; 0.003128; false; 0.064751
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1437.0.mata;0.03; 0.031616; 0.003906; 0.000286; 0.000113; false; 0.039954;0.04; 0.031955; 0.005654; 0.001897; 0.00016; 8.1e-05; false; 0.043626;0.03; 0.020809; 0.000831; 0.003777; 0.001367; 0.00112; false; 0.030073
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1471.0.mata;0.04; 0.040203; 0.004709; 0.000196; 0.000142; false; 0.050299;0.05; 0.040023; 0.006494; 0.000856; 5.6e-05; 5.6e-05; false; 0.052105;0.03; 0.020579; 0.001072; 0.008875; 0.001935; 0.001678; false; 0.036931
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1475.0.mata;0.11; 0.098288; 0.009114; 0.000343; 0.000274; false; 0.11815;0.05; 0.04336; 0.00857; 0.000807; 4e-05; 7e-05; false; 0.057801;0.13; 0.085833; 0.004269; 0.027153; 0.004738; 0.004224; false; 0.134321
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1477.0.mata;0.02; 0.021964; 0.002567; 0.00013; 8.5e-05; false; 0.027961;0.03; 0.023441; 0.006873; 0.000877; 5.4e-05; 6.2e-05; false; 0.036019;0.07; 0.039806; 0.002127; 0.015033; 0.003197; 0.002698; false; 0.067437
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1479.0.mata;0.09; 0.082598; 0.009368; 0.0004; 0.000288; false; 0.102817;0.09; 0.084286; 0.013243; 0.001582; 7e-05; 0.00012; false; 0.108481;0.12; 0.082919; 0.004319; 0.028019; 0.004744; 0.004393; false; 0.132418
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1575.0.mata;0.07; 0.07214; 0.006822; 0.000379; 0.000157; false; 0.087886;0.1; 0.08547; 0.011064; 0.002379; 0.00019; 7.2e-05; false; 0.107248;0.11; 0.074005; 0.003765; 0.02781; 0.004659; 0.004257; false; 0.121712
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1578.0.mata;0.04; 0.038379; 0.004343; 0.000356; 0.000145; false; 0.048189;0.08; 0.073293; 0.011147; 0.002362; 0.000185; 7.3e-05; false; 0.095148;0.05; 0.037812; 0.001878; 0.016983; 0.002944; 0.002722; false; 0.066574
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1597.0.mata;0.06; 0.056939; 0.005205; 0.000416; 0.000184; false; 0.069626;0.14; 0.124775; 0.016026; 0.002407; 0.000187; 0.000109; false; 0.15556;0.16; 0.111128; 0.005557; 0.034377; 0.005968; 0.005349; false; 0.172598
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1676.0.mata;0.05; 0.043693; 0.004789; 0.000389; 0.000161; false; 0.055174;0.05; 0.043316; 0.007797; 0.001114; 0.000106; 4.9e-05; false; 0.057514;0.13; 0.085157; 0.004451; 0.031609; 0.005509; 0.005162; false; 0.140923
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1677.0.mata;0.06; 0.063333; 0.005953; 0.000665; 0.000275; false; 0.078179;0.14; 0.118037; 0.025074; 0.002519; 0.000251; 0.000277; false; 0.159283;0.12; 0.067964; 0.003595; 0.038438; 0.006918; 0.006006; false; 0.131152
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1679.0.mata;0.13; 0.118915; 0.012692; 0.001108; 0.000409; false; 0.147578;0.09; 0.089421; 0.011498; 0.001242; 0.000175; 0.000176; false; 0.110522;0.17; 0.117418; 0.005992; 0.035941; 0.006668; 0.006263; false; 0.183516
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_17.0.mata;0.02; 0.021085; 0.003056; 0.000201; 8.5e-05; false; 0.027239;0.01; 0.010809; 0.002097; 0.000577; 7.1e-05; 2.9e-05; false; 0.015052;0.01; 0.010541; 0.00054; 0.003091; 0.001223; 0.000889; false; 0.017998
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1703.0.mata;0.12; 0.105225; 0.010209; 0.000902; 0.000329; false; 0.128873;0.06; 0.05482; 0.008836; 0.001163; 0.000113; 9e-05; false; 0.071549;0.12; 0.068384; 0.005562; 0.034769; 0.006045; 0.005613; false; 0.130563
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1707.0.mata;0.13; 0.12288; 0.01247; 0.001693; 0.000363; false; 0.151075;0.13; 0.115459; 0.01711; 0.002272; 0.000153; 0.00011; false; 0.148058;0.11; 0.083635; 0.003047; 0.022188; 0.003917; 0.003714; false; 0.122717
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1720.0.mata;0.09; 0.08297; 0.008649; 0.00062; 0.000275; false; 0.102467;0.1; 0.084053; 0.012218; 0.002265; 0.000175; 0.000141; false; 0.107879;0.06; 0.042637; 0.00216; 0.016192; 0.002927; 0.002536; false; 0.071317
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1722.0.mata;0.09; 0.083075; 0.008541; 0.000596; 0.000262; false; 0.102283;0.1; 0.082318; 0.014452; 0.002375; 0.000219; 0.000157; false; 0.109156;0.07; 0.043704; 0.002179; 0.016497; 0.004504; 0.003944; false; 0.076149
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1723.0.mata;0.09; 0.083327; 0.008673; 0.000697; 0.000293; false; 0.102991;0.09; 0.080832; 0.012479; 0.002217; 0.000173; 0.000139; false; 0.104712;0.11; 0.083704; 0.002398; 0.016185; 0.003017; 0.002581; false; 0.115717
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1726.0.mata;0.1; 0.08431; 0.009391; 0.001098; 0.000418; false; 0.106135;0.1; 0.086715; 0.012805; 0.002248; 0.000172; 0.000147; false; 0.111347;0.06; 0.043691; 0.002162; 0.016231; 0.002891; 0.002501; false; 0.073065
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1728.0.mata;0.09; 0.082655; 0.008406; 0.000533; 0.000258; false; 0.10174;0.05; 0.043464; 0.008004; 0.001221; 0.000145; 0.000103; false; 0.058111;0.13; 0.08408; 0.004316; 0.027008; 0.00456; 0.00416; false; 0.132951
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1729.0.mata;0.05; 0.043271; 0.004174; 0.000414; 0.000162; false; 0.053395;0.1; 0.085459; 0.01279; 0.00226; 0.000173; 0.000133; false; 0.110018;0.06; 0.042469; 0.002203; 0.016403; 0.002873; 0.002542; false; 0.071727
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_173.0.mata;0.03; 0.025963; 0.0032; 0.000219; 0.000106; false; 0.032698;0.02; 0.025953; 0.003688; 0.000726; 7e-05; 4.3e-05; false; 0.033398;0.04; 0.026173; 0.001293; 0.00533; 0.001968; 0.001496; false; 0.039473
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1732.0.mata;0.1; 0.08443; 0.008529; 0.000537; 0.000241; false; 0.10365;0.05; 0.042825; 0.007866; 0.001137; 0.000112; 7.7e-05; false; 0.057025;0.12; 0.083621; 0.004324; 0.02804; 0.00502; 0.004311; false; 0.133603
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1736.0.mata;0.09; 0.085597; 0.008696; 0.00063; 0.000275; false; 0.105235;0.06; 0.050295; 0.007521; 0.001145; 0.00011; 7.9e-05; false; 0.064196;0.06; 0.042392; 0.002121; 0.015845; 0.002927; 0.002603; false; 0.070542
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1737.0.mata;0.09; 0.083547; 0.009015; 0.000928; 0.000346; false; 0.104473;0.1; 0.085738; 0.017533; 0.002401; 0.000195; 0.000143; false; 0.116308;0.07; 0.043948; 0.002167; 0.018818; 0.004671; 0.004248; false; 0.078903
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1738.0.mata;0.09; 0.083889; 0.008713; 0.000697; 0.000262; false; 0.103429;0.09; 0.082124; 0.01657; 0.002309; 0.000199; 0.000143; false; 0.1108;0.11; 0.083318; 0.002442; 0.01608; 0.002849; 0.002516; false; 0.114793
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1739.0.mata;0.08; 0.083027; 0.008632; 0.000602; 0.000304; false; 0.102563;0.09; 0.081034; 0.015257; 0.002355; 0.00024; 0.000167; false; 0.108517;0.07; 0.042045; 0.002182; 0.026046; 0.004732; 0.004331; false; 0.084805
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1741.0.mata;0.09; 0.083876; 0.009796; 0.001054; 0.000349; false; 0.10635;0.09; 0.083901; 0.0125; 0.002078; 0.000168; 0.000132; false; 0.107452;0.1; 0.079475; 0.002239; 0.016495; 0.003004; 0.002598; false; 0.109313
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1748.0.mata;0.06; 0.057687; 0.007589; 0.000726; 0.000295; false; 0.07394;0.07; 0.059237; 0.011472; 0.002278; 0.000177; 6.4e-05; false; 0.080325;0.05; 0.033231; 0.001614; 0.015412; 0.00298; 0.002641; false; 0.05991
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1749.0.mata;0.09; 0.080319; 0.009642; 0.001189; 0.000383; false; 0.102005;0.05; 0.045098; 0.008587; 0.00123; 0.00012; 7.9e-05; false; 0.060981;0.12; 0.080347; 0.0041; 0.027769; 0.005315; 0.004473; false; 0.130526
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_175.0.mata;0.01; 0.013874; 0.001589; 0.000137; 5.3e-05; false; 0.017544;0.03; 0.025112; 0.004544; 0.001382; 0.000115; 6.1e-05; false; 0.034379;0.02; 0.014608; 0.000687; 0.003294; 0.001369; 0.000968; false; 0.023175
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1752.0.mata;0.04; 0.03345; 0.007903; 0.000698; 0.000243; false; 0.049772;0.07; 0.058922; 0.011206; 0.002564; 0.000316; 9.2e-05; false; 0.0806;0.1; 0.063219; 0.003241; 0.025839; 0.004889; 0.004164; false; 0.108626
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1755.0.mata;0.07; 0.064261; 0.007751; 0.000752; 0.000261; false; 0.080774;0.07; 0.05813; 0.012159; 0.002551; 0.000248; 6.8e-05; false; 0.080649;0.06; 0.036277; 0.001613; 0.015513; 0.003272; 0.002913; false; 0.064294
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1758.0.mata;0.07; 0.060661; 0.007694; 0.000929; 0.000289; false; 0.07783;0.08; 0.064775; 0.014163; 0.002869; 0.000383; 0.000122; false; 0.090607;0.06; 0.037461; 0.001715; 0.015941; 0.003019; 0.002603; false; 0.065725
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1761.0.mata;0.07; 0.058809; 0.007195; 0.000658; 0.000237; false; 0.074728;0.07; 0.064598; 0.012044; 0.002377; 0.000195; 6.6e-05; false; 0.087067;0.06; 0.037341; 0.001634; 0.015705; 0.003134; 0.00261; false; 0.065121
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1764.0.mata;0.06; 0.058708; 0.007412; 0.000787; 0.00024; false; 0.074823;0.04; 0.034721; 0.00624; 0.001251; 0.00016; 5.3e-05; false; 0.046879;0.09; 0.059849; 0.002719; 0.026209; 0.004986; 0.004294; false; 0.104845
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1767.0.mata;0.07; 0.065679; 0.008164; 0.000767; 0.000291; false; 0.082927;0.04; 0.040632; 0.006662; 0.001229; 0.000119; 4.1e-05; false; 0.053538;0.09; 0.055125; 0.003275; 0.027567; 0.004921; 0.004168; false; 0.102671
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1770.0.mata;0.08; 0.06858; 0.009098; 0.001337; 0.000453; false; 0.089246;0.08; 0.068965; 0.016495; 0.002378; 0.000301; 0.000147; false; 0.097192;0.11; 0.06959; 0.003298; 0.026671; 0.005488; 0.00595; false; 0.118749
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1777.0.mata;0.07; 0.05919; 0.00566; 0.000796; 0.000233; false; 0.074021;0.12; 0.097521; 0.01797; 0.002446; 0.000202; 0.000107; false; 0.130513;0.08; 0.056088; 0.002494; 0.018777; 0.003447; 0.003139; false; 0.090888
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1778.0.mata;0.1; 0.083067; 0.008739; 0.000706; 0.000289; false; 0.104283;0.09; 0.080524; 0.012242; 0.002199; 0.000161; 0.000131; false; 0.104213;0.07; 0.045615; 0.002192; 0.016275; 0.003002; 0.00383; false; 0.075704
