name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-inclusion_check;awali-inclusion_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-rhs.mata;0.42; 0.165108; 0.07623; 0.187766; false; 0.445618;0.71; 0.27191; 0.109396; 0.001126; 0.333812; false; 0.741474;0.38; 0.164078; 0.073459;0.0043630000000000006; 0.142595; false; 0.397267
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-rhs.mata;0.55; 0.179431; 0.078413; 0.314239; false; 0.586336;0.78; 0.29339; 0.121101; 0.000909; 0.375992; false; 0.813095;0.48; 0.275207; 0.07523;0.004344; 0.142784; false; 0.511419
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;6.46; 1.76912; 0.622015; 4.14384; false; 6.65027;4.0; 1.19491; 0.418511; 0.001746; 2.43898; false; 4.13395;10.56; 0.970757; 0.416335;0.022467; 9.48473; false; 10.9642
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;15.69; 1.79422; 0.621346; 13.3484; false; 15.866;15.63; 1.60779; 0.640314; 0.002848; 13.453; false; 15.8121;TO; 1.80119; 0.599228;0.034258;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;10.14; 0.980067; 0.397258; 8.8021; false; 10.2484;14.49; 1.64576; 0.616295; 0.002972; 12.3198; false; 14.6941;TO; 0.974733; 0.399819;0.022325;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.56; 0.255986; 0.109712; 0.215365; false; 0.598479;1.01; 0.469102; 0.192555; 0.016965; 0.347798; false; 1.05526;22.14; 0.417201; 0.170002;0.006869999999999999; 22.699; false; 23.3167
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.59; 0.277735; 0.115738; 0.211536; false; 0.623909;1.0; 0.469116; 0.197894; 0.016511; 0.338281; false; 1.05186;19.02; 0.252252; 0.1045;0.004503; 19.6215; false; 19.9975
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T10-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T10-rhs.mata;0.03; 0.021231; 0.013231; 2.7e-05; false; 0.037032;0.04; 0.020809; 0.012877; 0.012994; 2.6e-05; false; 0.049212;0.03; 0.020866; 0.012566;0.00045999999999999996; 0.005956; false; 0.042967
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T11-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T11-rhs.mata;0.55; 0.395518; 0.158285; 0.016843; false; 0.609776;0.55; 0.376025; 0.152279; 0.012631; 0.015957; false; 0.591616;0.56; 0.376563; 0.158091;0.009405; 0.039532; false; 0.615139
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T113-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T113-rhs.mata;0.02; 0.020106; 0.012067; 2.3e-05; false; 0.03468;0.04; 0.02061; 0.013036; 0.013387; 2.2e-05; false; 0.049805;0.04; 0.020608; 0.012905;0.000463; 0.005625; false; 0.04293
