name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;0.12; 0.07392; 0.023996; 0.028886; 0.018294; 6.7e-05; false; 0.149226;0.11; 0.066234; 0.022875; 0.015289; 0.010698; 0.00676; 2.2e-05; false; 0.125502;0.39; 0.066552; 0.02208;0.000548; 0.066494; 0.172405; 0.051562; false; 0.383702
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;0.19; 0.10226; 0.028748; 0.048502; 0.029845; 4.2e-05; false; 0.213462;0.18; 0.095611; 0.027725; 0.031127; 0.021469; 0.012756; 3e-05; false; 0.192766;0.7; 0.101685; 0.033044;0.000886; 0.155671; 0.307157; 0.087068; false; 0.690214
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;0.23; 0.112893; 0.031617; 0.070111; 0.038564; 5.5e-05; false; 0.257863;0.24; 0.113663; 0.035386; 0.049948; 0.034127; 0.021142; 4.9e-05; false; 0.259389;1.07; 0.115353; 0.036728;0.001037; 0.251815; 0.503794; 0.127921; false; 1.0415
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;0.32; 0.134471; 0.041818; 0.117389; 0.059016; 9.6e-05; false; 0.359534;0.3; 0.131133; 0.039832; 0.068174; 0.054199; 0.032646; 4.1e-05; false; 0.331549;1.64; 0.157648; 0.042174;0.001189; 0.426384; 0.756673; 0.193654; false; 1.58346
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;0.42; 0.168184; 0.050904; 0.169936; 0.086719; 0.000143; false; 0.483914;0.34; 0.159536; 0.047782; 0.094684; 0.037723; 0.029789; 3.4e-05; false; 0.37571;2.37; 0.188072; 0.055025;0.0015119999999999999; 0.64717; 1.11125; 0.262579; false; 2.27302
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;0.32; 0.118737; 0.035869; 0.130198; 0.074232; 6.2e-05; false; 0.364824;0.35; 0.118501; 0.035254; 0.093341; 0.093226; 0.046858; 3.8e-05; false; 0.39215;2.89; 0.205063; 0.0541;0.001503; 0.780867; 1.38999; 0.333475; false; 2.77175
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-rhs.mata;0.4; 0.135165; 0.041574; 0.169897; 0.097212; 0.000129; false; 0.452288;0.37; 0.134687; 0.039812; 0.11567; 0.068646; 0.049003; 4.8e-05; false; 0.41322;3.05; 0.13459; 0.04116;0.001156; 0.899936; 1.51944; 0.340843; false; 2.94198
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-rhs.mata;0.03; 0.024013; 0.009908; 0.002356; 0.001037; 1.3e-05; false; 0.03956;0.03; 0.025566; 0.011494; 0.002058; 0.001239; 0.000495; 9e-06; false; 0.043327;0.04; 0.022761; 0.009422;0.000205; 0.006114; 0.008081; 0.002896; false; 0.052239
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-rhs.mata;0.78; 0.247693; 0.073138; 0.358535; 0.174124; 0.000252; false; 0.868881;0.77; 0.2394; 0.067529; 0.000424; 0.383953; 0.156968; 0.000106; false; 0.859435;4.83; 0.231473; 0.061764;0.001908; 1.43297; 2.26566; 0.602239; false; 4.60407
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-rhs.mata;0.95; 0.273675; 0.075962; 0.47796; 0.235592; 0.000106; false; 1.07549;0.91; 0.247345; 0.072272; 0.000484; 0.455236; 0.239433; 0.000106; false; 1.02739;4.99; 0.162264; 0.051637;0.001418; 1.44138; 2.34707; 0.69178; false; 4.7014
