name;automata-runtime;automata-construction;automata-trim;mata-runtime;mata-mataparsing;mata-mataminterm;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pyfado-runtime;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;TO;0.0874564;0.008915099999999999;TO; 0.044883; 0.016879;TO; 0.082768; 0.024864;TO; 0.083734; 0.025774;0.004815;TO; 0.075741; 0.021003;0.000713;ERR;ERR;ERR;TO;TO;TO;TO;TO;0.06369485999999999
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;TO;0.14871790000000001;0.010867700000000001;TO; 0.10686; 0.031229;TO; 0.106678; 0.028972;TO; 0.111779; 0.024671;0.005648;TO; 0.09944; 0.027167;0.001084;ERR;ERR;ERR;TO;TO;TO;TO;TO;0.082660611
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;TO;0.1111702;0.009899600000000001;TO; 0.129816; 0.039462;TO; 0.077834; 0.024975;TO; 0.079878; 0.025829;0.003954;TO; 0.133058; 0.037441;0.0011649999999999998;ERR;ERR;ERR;TO;TO;TO;TO;TO;0.047897612
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;TO;0.0749935;0.0070568;TO; 0.130237; 0.0388;TO; 0.150927; 0.041788;TO; 0.151816; 0.043257;0.009647;TO; 0.145044; 0.040131;0.001411;TO; 0.154089; 0.044058;TO;TO;TO;TO;TO;0.065916416
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;TO;0.17245900000000003;0.009857600000000001;TO; 0.173798; 0.048517;TO; 0.180163; 0.04679;TO; 0.181982; 0.047517;0.01105;TO; 0.163263; 0.046451;0.001739;TO; 0.104919; 0.0343;TO;TO;TO;TO;TO;0.061033860999999995
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;TO;0.2164084;0.0101179;TO; 0.228036; 0.061323;TO; 0.172707; 0.052913;TO; 0.214687; 0.05562;0.012431999999999999;TO; 0.224223; 0.054832;0.002395;TO; 0.210067; 0.060333;TO;TO;TO;TO;TO;0.067293753
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-rhs.mata;TO;0.23418429999999998;0.0101352;TO; 0.252751; 0.063173;TO; 0.224171; 0.057533;TO; 0.253956; 0.062288;0.015304;TO; 0.235261; 0.058569;0.002248;TO; 0.158055; 0.046616;TO;TO;TO;TO;TO;0.08309006899999999
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-rhs.mata;TO;0.0620715;0.0088168;ERR;ERR;ERR;TO; 0.022482; 0.009375;TO; 0.02709; 0.010933;0.001428;TO; 0.02496; 0.01003;0.00026;ERR;ERR;ERR;TO;TO;TO;TO;TO;0.028843546999999997
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-rhs.mata;TO;0.1692022;0.011204500000000001;TO; 0.268301; 0.07405;TO; 0.242982; 0.068613;TO; 0.27449; 0.066259;0.01696;TO; 0.176788; 0.057392;0.002371;TO; 0.237336; 0.06164;TO;TO;TO;TO;TO;0.095839803
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-rhs.mata;TO;0.2448632;0.0190127;TO; 0.290732; 0.079145;TO; 0.212691; 0.062036;TO; 0.299514; 0.074074;0.020197;TO; 0.268554; 0.067882;0.002855;TO; 0.263112; 0.076274;TO;TO;TO;TO;TO;0.123835163
