name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-concat;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;awali-runtime;awali-mataparsing;awali-construction;awali-concat;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-concat;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-concat;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;java-brics-runtime;java-brics-construction;java-brics-concat;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10557-1.mata;0.91; 0.004997;0.325997;0.075552; 0.010833; false; 0.932994;0.89; 0.005189;0.324232;0.075084; 0.010664; false; 0.928966;2.62; 0.005173; 0.00044;1.0672739999999998;1.108254; 0.536984; false; 2.74092;5.8; 0.0142; 0.0000;1.5790000000000002;3.202; 0.0457; False; 4.8274; 4.9284;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.42; 0.045256392;0.5182510220000001; 3.5559E-5; false; 0.527887614; 0.711493588
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10629-1.mata;0.02; 0.000156;0.0074140000000000005;0.005962; 0.001215; false; 0.027613;0.02; 0.000154;0.007231;0.005732; 0.001174; false; 0.026846;0.12; 0.000161; 2.3e-05;0.053701;0.04809; 0.023491; false; 0.129422;1.25; 0.0065; 0.0000;0.0611;0.1343; 0.0061; False; 0.2018; 0.2121;27.6; 0.0065; 0.0001;24.8908; 1.8566; False; 26.7479; 26.7605;0.88; 0.007001776;0.103729514; 3.3052E-5; false; 0.116244494; 0.191884353
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10691-1.mata;0.07; 0.000318;0.020963;0.018108; 0.003994; false; 0.079899;0.07; 0.000309;0.021168;0.018237; 0.003922; false; 0.080552;0.38; 0.000308; 3.7e-05;0.167148;0.155751; 0.079985; false; 0.413403;1.94; 0.0068; 0.0000;0.15339999999999998;0.7810999999999999; 0.0097; False; 0.9447; 0.9565;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.54; 0.010505238;0.316270666; 3.7192E-5; false; 0.327569954; 0.443964353
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10783-1.mata;0.0; 8.7e-05;0.000593;0.000558; 0.000134; false; 0.002553;0.0; 9.6e-05;0.0006230000000000001;0.000562; 0.000116; false; 0.002609;0.01; 9.5e-05; 1e-05;0.00546;0.003929; 0.001749; false; 0.012689;1.24; 0.0064; 0.0000;0.0057;0.0013; 0.0004; False; 0.0077; 0.0147;2.42; 0.0064; 0.0001;1.1969; 0.0839; False; 1.2811; 1.2886;0.97; 0.005675679;0.017970701999999998; 2.4325E-5; false; 0.029295558; 0.105745214
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10783-2.mata;0.0; 8.2e-05;0.000606;0.000561; 0.000124; false; 0.002548;0.0; 7.9e-05;0.000579;0.00055; 0.000119; false; 0.002521;0.01; 8.6e-05; 9e-06;0.0055450000000000004;0.003972; 0.001744; false; 0.012757;1.16; 0.0066; 0.0000;0.0059;0.0013; 0.0004; False; 0.0079; 0.0151;2.24; 0.0064; 0.0001;1.0762; 0.0448; False; 1.1214; 1.1286;0.97; 0.005743972;0.018413741; 2.5713E-5; false; 0.029924274; 0.104896648
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10804-1.mata;0.1; 0.0004;0.029753;0.025443; 0.005507; false; 0.113281;0.1; 0.000392;0.029773;0.025462; 0.005476; false; 0.11326;0.55; 0.00042; 4.8e-05;0.23603000000000002;0.22695500000000002; 0.109384; false; 0.586679;3.72; 0.0075; 0.0000;0.23950000000000002;2.4086; 0.0244; False; 2.6729; 2.6910;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.66; 0.011362065;0.352752525; 2.4013E-5; false; 0.36357325; 0.446721093
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10804-2.mata;0.03; 0.000184;0.009874;0.008637; 0.001782; false; 0.037791;0.03; 0.000174;0.009690999999999998;0.008496; 0.00182; false; 0.037259;0.17; 0.000194; 2.3e-05;0.07639499999999999;0.069315; 0.034821; false; 0.186021;1.43; 0.0064; 0.0000;0.08460000000000001;0.30079999999999996; 0.0074; False; 0.3934; 0.4038;34.26; 0.0065; 0.0001;31.618299999999998; 1.8001; False; 33.4189; 33.4306;1.17; 0.007366952;0.155391572; 2.6891E-5; false; 0.166329727; 0.242466079
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10941-1.mata;0.0; 9e-05;0.000588;0.000536; 0.000121; false; 0.002484;0.0; 7.9e-05;0.000592;0.000541; 0.000127; false; 0.002474;0.01; 8.8e-05; 1e-05;0.00549;0.003992; 0.001773; false; 0.012681;1.11; 0.0063; 0.0000;0.0053;0.0012000000000000001; 0.0005; False; 0.0072; 0.0140;2.44; 0.0065; 0.0001;1.276; 0.0849; False; 1.3612; 1.3689;0.9; 0.005240112;0.024883653999999998; 1.8375E-5; false; 0.034250367; 0.100884737
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10941-2.mata;0.53; 0.003209;0.200719;0.041234; 0.005332; false; 0.561344;0.53; 0.003166;0.19917500000000002;0.041872; 0.005742; false; 0.55863;1.31; 0.00322; 0.000256;0.578116;0.5392859999999999; 0.271223; false; 1.4026;2.2; 0.0131; 0.0000;0.8942;0.2343; 0.0201; False; 1.1492; 1.2180;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.47; 0.034162202;0.21349823199999998; 2.709E-5; false; 0.227191415; 0.365036256
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10941-3.mata;0.23; 0.001169;0.07655599999999999;0.028755; 0.002797; false; 0.246532;0.24; 0.001206;0.07680799999999999;0.028791; 0.002786; false; 0.248255;0.83; 0.001251; 0.000115;0.340627;0.33857499999999996; 0.166392; false; 0.861926;1.82; 0.0082; 0.0000;0.4377;0.3056; 0.0218; False; 0.7656; 0.7978;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.84; 0.019627947;0.379349361; 2.6999E-5; false; 0.390354834; 0.496188135
