name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.36; 0.304492; 0.0868; 0.000962; 0.000955; 0.000142; false; 0.40805
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.46; 0.382056; 0.096513; 0.000828; 0.000998; 8.7e-05; false; 0.500089
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.51; 0.442683; 0.105424; 0.000596; 0.001348; 0.000262; false; 0.563896
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.46; 0.372658; 0.098263; 0.001253; 0.001173; 0.000186; false; 0.492421
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-rhs.mata;0.51; 0.401626; 0.12091; 0.001114; 0.000834; 3e-06; true; 0.543623;0.57; 0.485977; 0.107416; 0.001076; 0.0014; 0.000126; false; 0.617358
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-100-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.06; 0.052091; 0.017704; 0.000128; 8.6e-05; 3.4e-05; false; 0.072436
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-1000-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.57; 0.462319; 0.118678; 0.001462; 0.001895; 0.000318; false; 0.61049
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-150-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.07; 0.060279; 0.022461; 0.00019; 0.000114; 4.3e-05; false; 0.086149
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-200-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.11; 0.08936; 0.029841; 0.000249; 0.000217; 6e-05; false; 0.12426
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-250-rhs.mata;0.06; 0.049579; 0.022404; 0.000145; 0.000135; 2e-06; true; 0.075838;0.14; 0.124228; 0.036711; 0.000286; 0.000226; 7.1e-05; false; 0.166559
