name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.07; 0.048085; 0.015054; 0.010819; 0.007336; 2.3e-05; false; 0.083508
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;3.0; 0.506258; 0.14237; 1.97031; 0.709153; 0.000264; false; 3.358
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.11; 0.076744; 0.023173; 0.019376; 0.011074; 3.8e-05; false; 0.133869
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.17; 0.092328; 0.028885; 0.04511; 0.027088; 3.8e-05; false; 0.197433
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.27; 0.124584; 0.035904; 0.090505; 0.047994; 9.7e-05; false; 0.305932
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.33; 0.136423; 0.030072; 0.136896; 0.069496; 6.9e-05; false; 0.377593
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.39; 0.173381; 0.046788; 0.149256; 0.059522; 9.8e-05; false; 0.436239
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.55; 0.184439; 0.071131; 0.212137; 0.123623; 0.00013; false; 0.603312
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.66; 0.171381; 0.063441; 0.321192; 0.174645; 0.000176; false; 0.742089
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.04; 0.026911; 0.012727; 0.002755; 0.001508; 1.4e-05; false; 0.046861
