name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07019.mata;0.03; 0.02572; 0.003123; 0.000158; 8.9e-05; false; 0.034967;0.04; 0.034779; 0.002335; 0.000143; 8.2e-05; false; 0.043014
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07040.mata;0.0; 0.001405; 0.001216; 0.00012; 6.7e-05; false; 0.003752;0.0; 0.001343; 0.001181; 0.000112; 6.8e-05; false; 0.003582
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07045.mata;0.03; 0.023281; 0.003865; 0.000499; 4.9e-05; false; 0.035143;0.03; 0.024013; 0.003528; 0.000415; 5e-05; false; 0.034349
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07064.mata;0.21; 0.006933; 0.196814; 0.007625; 0.000255; false; 0.225794;0.21; 0.008913; 0.197643; 0.007462; 0.000197; false; 0.223489
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07075.mata;18.83; 17.9392; 0.508626; 0.000361; 9.1e-05; false; 19.2217;13.68; 13.2242; 1.03888; 0.00125; 0.000331; false; 15.3567
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07110.mata;0.0; 0.001719; 0.000314; 3.3e-05; 2.5e-05; false; 0.002882;0.0; 0.002086; 0.000318; 3.1e-05; 2.3e-05; false; 0.003147
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07137.mata;0.2; 0.059987; 0.126288; 0.010599; 0.000159; false; 0.222469;0.18; 0.075463; 0.092766; 0.006279; 0.000178; false; 0.200579
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07152.mata;0.01; 0.004529; 0.002188; 0.000265; 0.000139; false; 0.009511;0.01; 0.005528; 0.002158; 0.000232; 0.000143; false; 0.010167
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07170.mata;0.0; 0.001543; 0.001737; 8.8e-05; 6.4e-05; false; 0.004357;0.0; 0.001826; 0.001598; 8.5e-05; 5.9e-05; false; 0.004388
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07273.mata;0.03; 0.0256; 0.002921; 0.000131; 8.4e-05; false; 0.034477;0.03; 0.03282; 0.002311; 0.00018; 0.000111; false; 0.041525
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07319.mata;0.03; 0.024146; 0.002969; 0.000131; 8.5e-05; false; 0.033018;0.02; 0.022894; 0.001195; 7.1e-05; 5e-05; false; 0.027417
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07419.mata;0.15; 0.050296; 0.086263; 0.008064; 0.000139; false; 0.164928;0.22; 0.087728; 0.118409; 0.006797; 0.000154; false; 0.238725
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07431.mata;0.0; 0.000626; 0.001107; 0.000195; 4.7e-05; false; 0.002966;0.0; 0.000964; 0.001452; 0.000311; 7.9e-05; false; 0.004164
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07461.mata;0.01; 0.011139; 0.001021; 8.1e-05; 3.6e-05; false; 0.014483;0.01; 0.012307; 0.000833; 7.4e-05; 3.1e-05; false; 0.015467
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07468.mata;0.0; 0.002209; 0.002035; 0.000253; 8.4e-05; false; 0.006364;0.0; 0.002825; 0.001875; 0.000248; 0.000105; false; 0.006735
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07473.mata;0.0; 0.000892; 0.000146; 2.2e-05; 1.3e-05; false; 0.001489;0.0; 0.001034; 0.00013; 1.4e-05; 1.2e-05; false; 0.001526
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07591.mata;0.0; 0.003792; 0.000668; 7.7e-05; 2.2e-05; false; 0.005733;0.0; 0.005438; 0.000527; 7.8e-05; 1.8e-05; false; 0.007188
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07609.mata;0.22; 0.153898; 0.040501; 0.002767; 0.000368; false; 0.231817;0.17; 0.128283; 0.031539; 0.002138; 0.000319; false; 0.184077
