name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_173.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.07; 0.069818; 0.019144; 0.000967; 0.00015; 2.9e-05; false; 0.092184
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1732.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.25; 0.227334; 0.049876; 0.002533; 0.000336; 7.5e-05; false; 0.284498
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1736.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.26; 0.225222; 0.050904; 0.002578; 0.000377; 0.000107; false; 0.283477
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1737.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.28; 0.247128; 0.058923; 0.003081; 0.000461; 9.9e-05; false; 0.314505
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1738.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.28; 0.248196; 0.058695; 0.002875; 0.000499; 0.000125; false; 0.315784
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1739.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.2; 0.189468; 0.041572; 0.00136; 0.000156; 6.2e-05; false; 0.235136
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1741.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.25; 0.226121; 0.051174; 0.002433; 0.000272; 7.7e-05; false; 0.283854
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1748.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.19; 0.167158; 0.043665; 0.002493; 0.000433; 0.000105; false; 0.218352
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1749.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.27; 0.239219; 0.054938; 0.002731; 0.000449; 8.5e-05; false; 0.302565
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_175.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.07; 0.068009; 0.020553; 0.001026; 0.000145; 3.7e-05; false; 0.092112
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1752.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.18; 0.16536; 0.042193; 0.001436; 0.000249; 5.6e-05; false; 0.212329
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1755.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.16; 0.141264; 0.042513; 0.002557; 0.000409; 9.9e-05; false; 0.191228
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1758.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.13; 0.12179; 0.028513; 0.001373; 0.000185; 4.6e-05; false; 0.154496
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1761.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.19; 0.168715; 0.042236; 0.002331; 0.000392; 9.6e-05; false; 0.218041
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1764.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.19; 0.161909; 0.041301; 0.002172; 0.000236; 0.000102; false; 0.209466
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1767.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.2; 0.175754; 0.04529; 0.002627; 0.000453; 0.000105; false; 0.228747
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1770.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.2; 0.174767; 0.044687; 0.00262; 0.00042; 8.6e-05; false; 0.226907
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1777.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.19; 0.184114; 0.039751; 0.001708; 0.000204; 6.5e-05; false; 0.228615
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1778.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.26; 0.236318; 0.053912; 0.002415; 0.000251; 8.5e-05; false; 0.297206
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1781.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.29; 0.264192; 0.059113; 0.002828; 0.000285; 8.1e-05; false; 0.330507
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1784.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.19; 0.166619; 0.043395; 0.002546; 0.000413; 0.000106; false; 0.21787
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1785.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.27; 0.258513; 0.048443; 0.00177; 0.000294; 6.1e-05; false; 0.312403
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1786.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.28; 0.257797; 0.061934; 0.003323; 0.000588; 0.000119; false; 0.329125
