name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-inclusion_check;mata-old-inclusion_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;12.49; 1.92407; 0.446725; 10.2608; false; 12.7198
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.95; 0.433978; 0.181047; 0.358382; false; 1.00025
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.94; 0.444341; 0.184693; 0.341778; false; 1.00201
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T10-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T10-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.02; 0.012969; 0.01174; 2.9e-05; false; 0.027474
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T11-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T11-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.46; 0.290682; 0.157511; 0.018233; false; 0.510367
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T113-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T113-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.01; 0.013187; 0.008343; 2.9e-05; false; 0.023263
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T114-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T114-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.05; 0.032323; 0.017916; 8.5e-05; false; 0.054967
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T116-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T116-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.07; 0.05284; 0.025198; 5e-05; false; 0.082857
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T118-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T118-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.07; 0.054054; 0.029484; 4.9e-05; false; 0.089591
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T12-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T12-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.4; 0.250125; 0.122156; 0.018303; false; 0.432273
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T120-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T120-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.09; 0.065114; 0.028005; 7e-05; false; 0.09941
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T121-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T121-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.09; 0.065146; 0.028916; 9.5e-05; false; 0.100892
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T122-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T122-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.09; 0.063055; 0.03366; 8.6e-05; false; 0.104508
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T123-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T123-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.09; 0.063585; 0.029114; 7.7e-05; false; 0.099642
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T124-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T124-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.02; 0.021487; 0.012214; 3.6e-05; false; 0.036472
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T125-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T125-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.1; 0.077326; 0.03638; 0.000108; false; 0.12254
