name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-concat;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-concat;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-concat;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-concat;pyfado-emptiness;pyfado-result;java-brics-runtime;java-brics-construction;java-brics-concat;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06250-1.mata;0.03; 0.000451282;0.011821228;0.0037686; 0.000654712; false;0.06; 0.000385123;0.019968929;0.00543486; 0.000739294; false;0.1; 0.000245871; 2.0591e-05;0.042761346;0.043425151999999995; 0.0219497; false;1.23; 0.0068; 0.0000;0.1058;0.0305; 0.0040; False;57.98; 0.0049; 0.0001;30.0366; 27.2888; False;1.09; 0.010573855;0.077341732; 2.1123E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06315-1.mata;0.1; 0.000648979;0.033526362000000004;0.019506329000000003; 0.0022038; false;0.11; 0.000478544;0.033217864;0.01924583; 0.00216179; false;0.62; 0.000451566; 5.2265e-05;0.266976316;0.25792308799999997; 0.130576; false;3.99; 0.0070; 0.0000;0.32599999999999996;2.6452999999999998; 0.0160; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.5; 0.008469104;0.341670461; 1.8863E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06342-1.mata;0.05; 0.000591012;0.018743382;0.004783222; 0.0010506; false;0.05; 0.000361438;0.018781651000000003;0.004909175; 0.00105239; false;0.17; 0.000348605; 4.017e-05;0.07216109400000001;0.06849483099999999; 0.0338197; false;1.23; 0.0067; 0.0000;0.1086;0.0692; 0.0044; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.03; 0.00947793;0.08268854; 3.0134E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-1.mata;1.5; 0.00934691;0.5656637449999999;0.09355749599999999; 0.0146314; false;1.5; 0.00891766;0.564653946;0.099368385; 0.0168298; false;4.19; 0.0093989; 0.000791284;1.75814135;1.7414052999999998; 0.842858; false;5.01; 0.0198; 0.0000;2.6234;1.3456000000000001; 0.0529; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;2.62; 0.042691638;0.548776276; 2.6244E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-10.mata;0.01; 0.000372059;0.003380928;0.0006469049999999999; 0.000223854; false;0.0; 0.000129244;0.003320532;0.000670121; 0.000239743; false;0.03; 0.000146185; 1.2705e-05;0.014252842;0.010712712999999999; 0.00547659; false;1.21; 0.0068; 0.0000;0.019999999999999997;0.0017000000000000001; 0.0007; False;7.82; 0.0065; 0.0001;3.8461000000000003; 2.8471; False;0.77; 0.007130666;0.016490524; 2.3895E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-11.mata;0.01; 0.000472447;0.0072588470000000006;0.001134014; 0.000343231; false;0.01; 0.000273212;0.005648518;0.001082808; 0.0003483; false;0.03; 0.000125234; 1.0662e-05;0.013869641;0.012234611; 0.00643563; false;0.96; 0.0048; 0.0000;0.0236;0.0019; 0.0005; False;23.34; 0.0069; 0.0001;7.5874; 15.2042; False;0.88; 0.008558692;0.017762165; 2.1778E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-12.mata;0.02; 0.000446568;0.009236758000000001;0.001381565; 0.000509672; false;0.02; 0.00022032;0.009109895;0.001445253; 0.000480976; false;0.06; 0.000213232; 1.8492e-05;0.027452156999999998;0.021393113999999998; 0.0110717; false;0.88; 0.0048; 0.0000;0.0221;0.0018000000000000002; 0.0005; False;20.48; 0.0067; 0.0002;7.1884; 12.5164; False;1.01; 0.008399294;0.026540824; 2.3185E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-13.mata;0.0; 0.000323347;0.0005590599999999999;0.000332133; 6.1709e-05; false;0.0; 7.8984e-05;0.000566435;0.000333949; 7.4376e-05; false;0.01; 9.0422e-05; 1.0256e-05;0.005539393;0.004048830000000001; 0.00178361; false;0.88; 0.0044; 0.0000;0.0029000000000000002;0.0006000000000000001; 0.0002; False;2.26; 0.0061; 0.0001;1.116; 0.0827; False;0.68; 0.005003576;0.014684522; 1.7594E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-14.mata;0.0; 0.000278623;0.001796585;0.000409972; 0.00012088; false;0.0; 9.6882e-05;0.0018381600000000001;0.000344035; 0.000108731; false;0.01; 0.000103914; 8.819e-06;0.007151681;0.005969788; 0.00303141; false;0.76; 0.0045; 0.0000;0.0105;0.001; 0.0003; False;7.41; 0.0045; 0.0001;3.5627; 3.1413; False;0.86; 0.005963963;0.015347553; 1.5362E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-15.mata;0.02; 0.000380178;0.009030351;0.001458167; 0.000471056; false;0.02; 0.000234547;0.0089429;0.00150439; 0.000456261; false;0.05; 0.000217476; 2.0459e-05;0.027089725000000002;0.020890541; 0.010592; false;1.07; 0.0063; 0.0000;0.037599999999999995;0.0022; 0.0008; False;26.39; 0.0065; 0.0001;7.1454; 18.4075; False;0.85; 0.007310595;0.015739986999999997; 1.5666E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-16.mata;0.02; 0.000439007;0.008929217;0.0011672780000000001; 0.000389976; false;0.02; 0.000215847;0.00881376;0.001214681; 0.000376911; false;0.06; 0.00021618; 1.9148e-05;0.027129050000000002;0.020936793999999998; 0.0104803; false;1.08; 0.0066; 0.0000;0.0384;0.0024000000000000002; 0.0008; False;23.1; 0.0064; 0.0001;8.6394; 13.6708; False;0.88; 0.007147285;0.016111129000000002; 1.5866E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-17.mata;0.0; 0.000307709;0.000555726;0.000333396; 5.9047e-05; false;0.0; 6.7521e-05;0.0005358170000000001;0.00032927200000000003; 5.9372e-05; false;0.01; 8.0198e-05; 8.821e-06;0.005359429;0.0038508289999999996; 0.00171028; false;1.04; 0.0064; 0.0000;0.004999999999999999;0.0011; 0.0005; False;2.19; 0.0063; 0.0001;1.0579; 0.1110; False;0.89; 0.004944906;0.020012804000000002; 1.9474E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-18.mata;0.0; 0.000306613;0.003284922;0.0005592920000000001; 0.000169237; false;0.01; 0.000121307;0.003237841;0.000580455; 0.000190596; false;0.03; 0.000160771; 1.2778e-05;0.013415818;0.010053388; 0.00502452; false;1.04; 0.0062; 0.0000;0.017;0.0015; 0.0005; False;5.82; 0.0062; 0.0001;3.0482; 1.9043; False;0.85; 0.00615691;0.016407249; 1.8609E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-19.mata;0.02; 0.000447818;0.008693567000000001;0.001399816; 0.000424609; false;0.02; 0.00020707;0.008814642000000001;0.001229711; 0.000404525; false;0.06; 0.000221638; 1.9256e-05;0.026982904000000002;0.021289666; 0.0110688; false;1.12; 0.0064; 0.0000;0.037599999999999995;0.0022; 0.0008; False;25.23; 0.0045; 0.0001;7.6273; 16.7826; False;0.94; 0.00764145;0.015886597; 2.1061E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-2.mata;0.0; 0.000294282;0.00320404;0.00054678; 0.000195045; false;0.0; 0.0001246;0.003157727;0.0005524130000000001; 0.000172257; false;0.03; 0.000134295; 1.4152e-05;0.013370668999999998;0.010214108999999999; 0.00521166; false;1.12; 0.0064; 0.0000;0.0173;0.0016; 0.0006; False;5.27; 0.0064; 0.0001;2.7153; 1.4983; False;0.92; 0.006712732;0.015940284; 2.3141E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-20.mata;0.01; 0.000348425;0.004826753;0.0007869819999999999; 0.000239741; false;0.02; 0.000209653;0.008405217999999999;0.001271707; 0.000377841; false;0.06; 0.000210206; 1.7585e-05;0.025513821;0.020554387; 0.0109334; false;0.93; 0.0047; 0.0000;0.0217;0.0015; 0.0005; False;26.26; 0.0066; 0.0001;8.6549; 16.7959; False;0.92; 0.007064273;0.024901583; 1.7422E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-21.mata;0.0; 0.000274965;0.000587422;0.000342423; 5.9618e-05; false;0.0; 7.3299e-05;0.000570583;0.000350563; 6.1823e-05; false;0.01; 7.8815e-05; 8.788e-06;0.005460803;0.003940964; 0.00174643; false;1.06; 0.0062; 0.0000;0.0052;0.0011; 0.0004; False;1.73; 0.0046; 0.0000;0.593; 0.0514; False;0.89; 0.005371894;0.018702795; 2.157E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-22.mata;0.0; 0.000392719;0.0032500719999999997;0.000594453; 0.000182884; false;0.0; 0.000134972;0.0031631000000000003;0.000680494; 0.000184854; false;0.03; 0.000146299; 1.4e-05;0.013920002;0.010439429; 0.00531625; false;0.83; 0.0044; 0.0000;0.0107;0.001; 0.0004; False;5.71; 0.0065; 0.0001;2.8152999999999997; 1.8943; False;0.68; 0.005567464;0.016119377; 2.1166E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-23.mata;0.01; 0.000304059;0.004867689;0.000749995; 0.000278187; false;0.01; 0.000118551;0.004759014000000001;0.0007295439999999999; 0.000255343; false;0.03; 0.00012628; 1.1262e-05;0.013831449;0.012340679; 0.00617049; false;0.77; 0.0044; 0.0000;0.020900000000000002;0.0015; 0.0005; False;20.43; 0.0048; 0.0001;5.404999999999999; 14.3115; False;0.93; 0.007493179;0.016257665; 1.9187E-5; false
