name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-inclusion_check;automata-inclusion_result;automata-interpretation;automata-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-intersection;automata-min-inclusion_check;automata-min-inclusion_result;automata-min-interpretation;automata-min-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut48.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.2;0.0824686;0.008211000000000001;0.0140745; 0.0399343000; True; 0.0645288000; 0.1893655000;1.0;0.052609500000000003;0.009227099999999998;0.0150416; 0.0398002000; True; 0.0666951000; 0.1775194000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut3.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut49.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;0.2;0.1109453;0.0168661;0.0327374; 0.0585780000; True; 0.1107032000; 0.2724727000;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut3.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.23;0.10278780000000001;0.009027499999999999;0.0160435; 0.0430922000; True; 0.0709461000; 0.2167471000;0.93;0.057122599999999996;0.0092233;0.0172701; 0.0421605000; True; 0.0712141000; 0.1857271000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut39.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut53.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata;0.2;0.0758055;0.0087155;0.012469; 0.0459202000; True; 0.0694454000; 0.1862898000;0.95;0.0275646;0.0053163;0.007958300000000001; 0.0321587000; True; 0.0470812000; 0.1097328000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut36.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut57.mata;0.18;0.062346000000000006;0.008454;0.0138445; 0.0422178000; True; 0.0668228000; 0.1658761000;0.93;0.0260127;0.006002599999999999;0.008615600000000001; 0.0242148000; True; 0.0405755000; 0.1026197000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut44.mata;0.14;0.0422867;0.0094855;0.018597; 0.0689937000; True; 0.0992587000; 0.1682396000;0.98;0.0447925;0.008219200000000003;0.0130395; 0.0360595000; True; 0.0596191000; 0.1623053000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.19;0.10982729999999999;0.008907300000000002;0.013777; 0.0422954000; True; 0.0676310000; 0.2276486000;0.97;0.030878400000000004;0.005497800000000001;0.0093485; 0.0405361000; True; 0.0570333000; 0.1277664000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut7.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata;0.31;0.1916492;0.009302099999999999;0.013854400000000001; 0.0498292000; True; 0.0755095000; 0.3222041000;1.49;0.07862219999999999;0.008926299999999998;0.0135892; 0.0465932000; True; 0.0717455000; 0.2160784000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut56.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut71.mata;0.2;0.09329309999999999;0.008735099999999999;0.012273100000000002; 0.0429983000; True; 0.0668906000; 0.2264509000;0.89;0.027148099999999998;0.0058479000000000005;0.008065; 0.0441098000; True; 0.0602125000; 0.1228655000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut5.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.24;0.1631147;0.0054505;0.007805; 0.0238968000; True; 0.0390670000; 0.2380928000;1.21;0.033196699999999996;0.005850599999999999;0.008078900000000002; 0.0248736000; True; 0.0409280000; 0.1173687000
