name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-automata_inclusion_naive;mata-bin-automata_inclusion_antichain;automata-runtime;automata-result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-construction;mata-intersection;mata-inclusion_check;mata-inclusion_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-inclusion_check;vata-inclusion_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-inclusion_check;awali-inclusion_check_result;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-inclusion;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-inclusion;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-inclusion
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut44.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;ERR;ERR;ERR;ERR;ERR;0.2; NOT EMPTY;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.03; 0.0431; 0.0000; 0.0015; 0.0003;1.08; 0.0422; 0.0225; 0.0313; 0.0004;1.11; 0.0442; 0.0199; 0.0010; 0.0004
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut48.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;ERR;ERR;ERR;ERR;ERR;0.23; NOT EMPTY;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.12; 0.1265; 0.0000; 0.0014; 0.0002;1.75; 0.1295; 0.5452; 0.0285; 0.0286;1.23; 0.1275; 0.0865; 0.0010; 0.0004
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut3.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut49.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;ERR;ERR;ERR;ERR;ERR;0.22; NOT EMPTY;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.15; 0.1085; 0.0000; 0.0004; 0.0003;1.97; 0.1071; 0.0280; 0.7963; 0.0003;1.02; 0.0659; 0.0088; 0.0004; 0.0002
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut3.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.18; 0.160917; 0.0181883; 0.0022; 0.0011;0.24; NOT EMPTY;0.49; 0.404463; 0.0800735;0.004252170999999999;0.003178878; 9.3783e-05; true;0.63; 0.454647; 0.0742111;0.06914218999999999;0.011154301; 0.0125881; true;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.354602; 0.117269;0.94; 0.1071; 0.0000; 0.0009; 0.0001;2.26; 0.1799; 0.6982; 0.4591; 0.0168;1.28; 0.1847; 0.1189; 0.0024; 0.0006
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut39.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut53.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata;0.15; 0.151083; 0.0145581; 0.0003; 0.0000;0.2; NOT EMPTY;0.3; 0.250997; 0.0528475;0.0033354519999999996;4.2835e-05; 1.7474e-05; true;0.53; 0.245698; 0.0525994;0.043262669999999996;0.17447449999999998; 0.0103419; true;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.254312; 0.0542122;1.11; 0.0906; 0.0000; 0.0002; 0.0000;1.17; 0.0925; 0.0316; 0.0275; 0.0008;1.12; 0.0933; 0.0276; 0.0002; 0.0000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut36.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut57.mata;ERR;ERR;ERR;ERR;ERR;0.18; NOT EMPTY;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.93; 0.0282; 0.0000; 0.0001; 0.0001;0.95; 0.0288; 0.0031; 0.0084; 0.0002;1.06; 0.0305; 0.0049; 0.0002; 0.0001
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut44.mata;ERR;ERR;ERR;ERR;ERR;0.13; NOT EMPTY;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.12; 0.0746; 0.0000; 0.0000; 0.0001;TO;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;ERR;ERR;ERR;ERR;ERR;0.14; NOT EMPTY;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.18; 0.1381; 0.0000; 0.0000; 0.0000;2.01; 0.1400; 0.7106; 0.0555; 0.0318;1.38; 0.1437; 0.1194; 0.0001; 0.0000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut7.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata;ERR;ERR;ERR;ERR;ERR;0.37; NOT EMPTY;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.71; 0.6258; 0.0000; 0.0003; 0.0000;10.48; 0.6120; 8.8311; 0.0475; 0.0007;1.94; 0.6003; 0.2426; 0.0001; 0.0000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut56.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut71.mata;ERR;ERR;ERR;ERR;ERR;0.21; NOT EMPTY;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.17; 0.1013; 0.0000; 0.0000; 0.0000;1.23; 0.1026; 0.0287; 0.0028; 0.0009;1.26; 0.1038; 0.0255; 0.0001; 0.0000
