name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-automata_inclusion_naive;mata-bin-automata_inclusion_antichain;automata-runtime;automata-result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-construction;mata-inclusion_check;mata-inclusion_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-inclusion_check;vata-inclusion_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-inclusion_check;awali-inclusion_check_result;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-inclusion;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-inclusion;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-inclusion
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-rhs.mata;0.55; 0.381183; 0.0842293; 0.0522; 0.0392;1.61; EMPTY;1.75; 1.29637; 0.33472;0.0201319; 0.0876491; false;2.94; 1.28769; 0.34012;0.47352700000000003; 0.800077; false;ERR;ERR;ERR;ERR;ERR;ERR;TO; 1.29065; 0.329439;1.71; 0.5564; 0.0000; 0.0439;TO;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-rhs.mata;0.76; 0.434682; 0.116861; 0.1315; 0.0720;1.08; EMPTY;1.37; 0.994011; 0.27628;0.014989349999999999; 0.0707033; false;2.03; 0.895663; 0.271122;0.380013; 0.43436; false;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.859358; 0.186656;1.53; 0.4578; 0.0000; 0.0431;TO;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-rhs.mata;0.38; 0.214151; 0.0651391; 0.0743; 0.0299;1.11; EMPTY;1.36; 0.99601; 0.275913;0.01623496; 0.0640488; false;2.07; 0.980965; 0.264009;0.369025; 0.434781; false;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.997569; 0.271119;1.55; 0.4629; 0.0000; 0.0385;TO;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-rhs.mata;0.74; 0.46316; 0.124701; 0.1274; 0.0353;1.27; EMPTY;1.5; 1.12566; 0.303451;0.01793432; 0.0405014; false;2.35; 1.11311; 0.305568;0.430728; 0.462746; false;ERR;ERR;ERR;ERR;ERR;ERR;TO; 1.14165; 0.305644;1.71; 0.5359; 0.0000; 0.0261;TO;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;12.93; 6.86047; 0.65251; 5.7038; 0.0546;4.48; EMPTY;21.08; 19.5843; 1.48394;0.06349704; 0.0534549; false;24.72; 18.7699; 1.61862;2.162373; 2.16708; false;ERR;ERR;ERR;ERR;ERR;ERR;TO; 20.5905; 1.27252;5.56; 4.5497; 0.0000; 0.0511;TO;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;TO; 7.11544; 0.66298;MISSING;MISSING;6.56; EMPTY;20.94; 19.3533; 1.51932;0.06280165; 0.0728297; false;18.6; 13.8159; 1.52853;2.101361; 1.06455; false;ERR;ERR;ERR;ERR;ERR;ERR;TO; 13.1914; 1.0645;5.49; 4.5351; 0.0000; 0.0715;TO;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;TO; 6.19753; 0.658951;MISSING;MISSING;5.78; EMPTY;20.2; 18.5445; 1.56917;0.06186812999999999; 0.0709356; false;25.93; 15.7386; 1.51173;2.095388; 6.55203; false;ERR;ERR;ERR;ERR;ERR;ERR;TO; 18.9757; 1.71966;5.57; 4.5521; 0.0000; 0.0688;TO;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-rhs.mata;12.17; 0.801516; 0.167328; 11.9129; 0.0033;0.84; EMPTY;2.61; 2.13653; 0.446891;0.023450679999999998; 0.00310939; false;2.74; 1.86822; 0.272954;0.3068106; 0.274713; false;ERR;ERR;ERR;ERR;ERR;ERR;TO; 1.53316; 0.416882;1.26; 0.4677; 0.0000; 0.0033;TO;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-rhs.mata;13.77; 0.789436; 0.164832; 13.6679; 0.0029;0.83; EMPTY;2.58; 2.12414; 0.423149;0.02300571; 0.0037094; false;3.29; 2.09963; 0.419646;0.47556529999999997; 0.256491; false;ERR;ERR;ERR;ERR;ERR;ERR;TO; 2.19885; 0.410353;1.83; 0.8166; 0.0000; 0.0031;TO;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T10-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T10-rhs.mata;0.04; 0.0295448; 0.00614982; 0.0017; 0.0000;0.2; EMPTY;0.09; 0.0710695; 0.0231418;0.0015237669999999999; 5.5854e-05; false;0.12; 0.0711695; 0.0234653;0.023399903; 0.00981859; false;0.11; 0.0710189; 0.0233178;0.001454335; 0.00668826; false;TO; 0.0726454; 0.0228114;1.1; 0.0395; 0.0000; 0.0002;1.22; 0.0407; 0.0332; 0.0420;1.16; 0.0409; 0.0291; 0.0001
