name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-intersection_emptiness;automata-runtime;automata-result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-construction;mata-interall;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-interall;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-interall;awali-emptiness_check;awali-emptiness_check_result;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-emptiness;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-emptiness;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-emptiness
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-29-*.mata;TO; 0.39461; 0.0415571;MISSING;TO;MISSING;TO; 1.34952; 0.250922;0.012462050999999997;MISSING;MISSING;MISSING;TO; 1.28985; 0.185506;0.15072656;MISSING;MISSING;MISSING;TO; 1.29378; 0.237534;0.013765841000000003;MISSING;MISSING;MISSING;TO; 1.38315; 0.27903;TO;MISSING;MISSING;MISSING;MISSING;24.14; 0.4431; 0.3757; 22.3451; 0.0000;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-3-*.mata;0.01; 0.00788708; 0.000698695; 0.0001;0.14; EMPTY;0.01; 0.0114965; 0.00848167;0.00017275899999999998; 8.48e-06; 7.468e-06; true;0.02; 0.0125212; 0.00950002;0.00150987; 9.3579e-05; 8.1771e-05; true;0.02; 0.0109234; 0.00828689;0.00016899899999999997; 0.00098395; 0.00117541; true;TO; 0.0111023; 0.00944298;0.8; 0.0077; 0.0000; 0.0001; 0.0002;1.03; 0.0117; 0.0010; 0.0027; 0.0000;1.14; 0.0112; 0.0030; 0.0012; 0.0001
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-30-*.mata;TO; 0.812249; 0.0791648;MISSING;TO;MISSING;TO; 1.47339; 0.298794;0.013584950000000002;MISSING;MISSING;MISSING;TO; 1.45949; 0.269051;0.21495829999999996;MISSING;MISSING;MISSING;TO; 1.48483; 0.27275;0.014798091;MISSING;MISSING;MISSING;TO; 1.47569; 0.27897;TO;MISSING;MISSING;MISSING;MISSING;17.69; 0.5230; 0.3976; 15.7744; 0.0000;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-31-*.mata;TO; 0.758303; 0.0832519;MISSING;TO;MISSING;TO; 1.57104; 0.31004;0.014990831;MISSING;MISSING;MISSING;TO; 1.25147; 0.276961;0.15388211000000002;MISSING;MISSING;MISSING;TO; 1.34092; 0.278;0.015689971;MISSING;MISSING;MISSING;TO; 1.47651; 0.242067;TO;MISSING;MISSING;MISSING;MISSING;32.74; 0.5505; 0.4985; 30.7180; 0.0000;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-32-*.mata;TO; 0.837222; 0.0818035;MISSING;TO;MISSING;TO; 1.14084; 0.200367;0.008802566999999997;MISSING;MISSING;MISSING;TO; 1.08929; 0.205624;0.15278779000000003;MISSING;MISSING;MISSING;TO; 1.38282; 0.271415;0.015476417999999999;MISSING;MISSING;MISSING;TO; 1.63583; 0.342627;TO;MISSING;MISSING;MISSING;MISSING;32.43; 0.5849; 0.4773; 30.4835; 0.0000;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-33-*.mata;TO; 1.04525; 0.0942922;MISSING;TO;MISSING;TO; 1.77067; 0.289132;0.014111280000000002;MISSING;MISSING;MISSING;TO; 1.51469; 0.314771;0.20947911;MISSING;MISSING;MISSING;TO; 1.27281; 0.222532;0.011638504;MISSING;MISSING;MISSING;TO; 1.90474; 0.340224;TO;MISSING;MISSING;MISSING;MISSING;32.98; 0.6026; 0.5083; 31.0768; 0.0000;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-34-*.mata;TO; 1.07511; 0.100758;MISSING;TO;MISSING;TO; 1.9692; 0.376064;0.017247626000000002;MISSING;MISSING;MISSING;TO; 1.87788; 0.348007;0.24178012000000002;MISSING;MISSING;MISSING;TO; 2.03327; 0.362828;0.018875034;MISSING;MISSING;MISSING;TO; 1.47549; 0.256986;TO;MISSING;MISSING;MISSING;MISSING;25.67; 0.4675; 0.3206; 24.0035; 0.0000;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-35-*.mata;TO; 1.19875; 0.103786;MISSING;TO;MISSING;TO; 1.59481; 0.330274;0.019464058;MISSING;MISSING;MISSING;TO; 1.41195; 0.25519;0.19927019999999995;MISSING;MISSING;MISSING;TO; 2.18078; 0.387885;0.020669262999999997;MISSING;MISSING;MISSING;TO; 1.54271; 0.258244;TO;MISSING;MISSING;MISSING;MISSING;52.23; 0.7217; 0.6572; 50.2165; 0.0002;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-36-*.mata;TO; 0.676731; 0.0655766;MISSING;TO;MISSING;TO; 2.0613; 0.408556;0.011884447999999997;MISSING;MISSING;MISSING;TO; 2.20553; 0.394622;0.30550138;MISSING;MISSING;MISSING;TO; 2.23371; 0.407245;0.022112693000000003;MISSING;MISSING;MISSING;TO; 1.79014; 0.409209;TO;MISSING;MISSING;MISSING;MISSING;57.44; 0.7855; 0.7661; 55.3257; 0.0000;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-37-*.mata;TO; 1.29071; 0.126259;MISSING;TO;MISSING;TO; 2.2835; 0.470885;0.021415705999999993;MISSING;MISSING;MISSING;TO; 2.31246; 0.430845;0.32523502000000004;MISSING;MISSING;MISSING;TO; 2.0639; 0.408533;0.022977301000000002;MISSING;MISSING;MISSING;TO; 2.26902; 0.424072;TO;MISSING;MISSING;MISSING;MISSING;48.37; 0.8171; 0.8407; 45.9927; 0.0000;TO;MISSING;MISSING;MISSING;MISSING
