name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-emptiness_check;automata-runtime;automata-result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-construction;mata-intersection;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-emptiness_check;awali-emptiness_check_result;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-emptiness;pyfado-runtime;pyautomata-lib-runtime
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;0.2; 0.121263; 0.00875047; 0.0725;0.24; NOT EMPTY;0.19; 0.166705; 0.0325012;0.000938487; 3.913e-06; 6.019e-06; true;0.24; 0.196591; 0.0379025;0.01782408; 1.2567e-05; 6.405e-06; true;0.23; 0.19624; 0.0384908;0.0011340310000000002; 0.000730255; 0.000537526; true;TO; 0.132324; 0.0265946;1.34; 0.0849; 0.0000; 0.0643; 0.0286;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;20.19; 1.06834; 0.083557; 19.3383;11.12; NOT EMPTY;27.04; 1.80625; 0.284633;0.0106427; 11.5571; 7.63276; false;2.18; 1.78243; 0.219267;0.1354399; 0.0253382; 0.0299992; false;16.09; 1.46814; 0.303925;0.01683972; 6.71615; 7.36009; false;TO; 1.80981; 0.320672;19.87; 0.6060; 0.0000; 12.2665; 5.5958;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;0.43; 0.196136; 0.0151058; 0.2574;0.25; NOT EMPTY;0.7; 0.319898; 0.05685;0.001616986; 0.155921; 0.0617949; false;0.26; 0.205728; 0.0387203;0.01929716; 0.00335315; 0.00345408; false;0.43; 0.200033; 0.0375178;0.0014119710000000001; 0.0603525; 0.124572; false;TO; 0.251265; 0.0387276;1.61; 0.1328; 0.0000; 0.1661; 0.0755;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;0.43; 0.126751; 0.0117622; 0.3090;0.29; NOT EMPTY;0.3; 0.25177; 0.0479692;0.001221517; 3.139e-06; 6.429e-06; true;0.32; 0.255015; 0.0480196;0.0246697; 8.755e-06; 5.006e-06; true;0.3; 0.247335; 0.0468539;0.0020637299999999997; 0.000739222; 0.000602037; true;TO; 0.262628; 0.0499428;1.55; 0.1426; 0.0000; 0.2516; 0.1069;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;1.18; 0.305235; 0.0293442; 0.8563;0.66; NOT EMPTY;1.72; 0.430041; 0.0776541;0.00296908; 0.540421; 0.261778; false;0.63; 0.468151; 0.0867807;0.0483937; 0.00878722; 0.0099357; false;1.33; 0.465548; 0.084285;0.0036203900000000002; 0.310354; 0.460253; false;TO; 0.471041; 0.0840681;2.15; 0.1925; 0.0000; 0.5007; 0.2425;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;1.61; 0.367533; 0.0269378; 1.2182;0.87; NOT EMPTY;2.53; 0.636491; 0.105192;0.0036319; 0.802426; 0.435173; false;0.55; 0.42737; 0.0704182;0.0398308; 0.00709938; 0.00749696; false;1.84; 0.567104; 0.0979569;0.00418488; 0.440547; 0.6889; false;TO; 0.412408; 0.0702357;2.57; 0.2498; 0.0000; 0.7693; 0.3231;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;2.2; 0.444562; 0.040014; 1.7874;1.24; NOT EMPTY;3.27; 0.67935; 0.115031;0.00362557; 1.1576; 0.572837; false;0.65; 0.50073; 0.0830846;0.0467314; 0.0103536; 0.0110273; false;1.95; 0.572543; 0.0784872;0.00360392; 0.509733; 0.768264; false;TO; 0.668288; 0.117176;2.51; 0.1601; 0.0000; 0.8490; 0.4048;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;2.19; 0.246234; 0.0234236; 1.9013;1.55; NOT EMPTY;0.89; 0.751928; 0.129016;0.00381281; 3.695e-06; 6.074e-06; true;0.9; 0.69807; 0.125138;0.0724008; 1.22e-05; 5.631e-06; true;0.91; 0.769063; 0.122244;0.0056640200000000005; 0.000771538; 0.000625899; true;TO; 0.763907; 0.133008;3.24; 0.2843; 0.0000; 1.2318; 0.5967;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-rhs.mata;2.98; 0.271366; 0.0277211; 2.6431;1.93; NOT EMPTY;0.92; 0.768313; 0.153949;0.004854509999999999; 5.046e-06; 7.042e-06; true;1.08; 0.838891; 0.148037;0.088451; 1.5846e-05; 6.323e-06; true;1.04; 0.882929; 0.151099;0.00701867; 0.000750248; 0.000614013; true;TO; 0.601568; 0.197723;3.87; 0.1930; 0.0000; 1.5573; 0.7784;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-rhs.mata;0.08; 0.0643968; 0.00476416; 0.0141;0.2; NOT EMPTY;0.14; 0.0929582; 0.0230302;0.0007627070000000001; 0.0122671; 0.00516198; false;0.11; 0.0871158; 0.0199955;0.008027969999999999; 0.0015451; 0.00174855; false;0.15; 0.0971364; 0.0222519;0.000766361; 0.0101244; 0.0114033; false;TO; 0.0982489; 0.0218588;1.08; 0.0306; 0.0000; 0.0098; 0.0046;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-rhs.mata;4.23; 0.560358; 0.0452353; 3.6941;2.14; NOT EMPTY;6.1; 0.804866; 0.146471;0.00483061; 2.32094; 1.49546; false;0.88; 0.69155; 0.109782;0.06292; 0.0101142; 0.0113089; false;4.76; 0.927765; 0.157114;0.007808540000000001; 1.49408; 2.12436; false;TO; 0.591442; 0.110636;4.91; 0.3343; 0.0000; 2.1405; 1.1921;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-rhs.mata;5.22; 0.5536; 0.0465404; 4.7074;1.92; NOT EMPTY;5.9; 0.718606; 0.120097;0.00355721; 2.32986; 1.61384; false;0.95; 0.725248; 0.119798;0.0713957; 0.01208; 0.0142687; false;5.76; 1.03027; 0.166177;0.0078556; 1.80293; 2.67711; false;TO; 0.753185; 0.120319;4.89; 0.2890; 0.0000; 2.3111; 1.1004;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-rhs.mata;6.66; 0.748242; 0.0571944; 6.1148;3.37; NOT EMPTY;7.9; 1.15962; 0.195436;0.00669726; 3.24065; 1.96967; false;1.4; 1.0735; 0.172726;0.11153099999999999; 0.0185014; 0.0225609; false;6.79; 1.22029; 0.173496;0.009193119999999999; 2.26587; 3.091; false;TO; 1.18119; 0.167695;5.97; 0.2694; 0.0000; 3.1119; 1.3943;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-rhs.mata;7.45; 0.72624; 0.0556788; 6.6714;3.55; NOT EMPTY;9.87; 1.27691; 0.217461;0.00690531; 3.80352; 2.78525; false;1.42; 1.1746; 0.143653;0.0845915; 0.0135937; 0.0160604; false;8.13; 1.28222; 0.199277;0.01004194; 2.74476; 3.75881; false;TO; 1.11857; 0.200062;9.35; 0.5018; 0.0000; 4.7358; 2.6518;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-rhs.mata;9.07; 0.820751; 0.0648694; 8.1986;5.22; NOT EMPTY;12.46; 1.32767; 0.179439;0.00433862; 5.76403; 3.0544; false;1.4; 1.12176; 0.152143;0.090404; 0.0155211; 0.0176915; false;9.6; 1.36003; 0.235938;0.01074294; 3.46977; 4.45808; false;TO; 1.37013; 0.22428;10.57; 0.5326; 0.0000; 5.7394; 2.8504;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-rhs.mata;10.82; 0.81093; 0.0656111; 10.0397;5.47; NOT EMPTY;1.65; 1.41224; 0.219662;0.00813841; 6.577e-06; 8.437e-06; true;1.67; 1.29969; 0.219639;0.14292539999999998; 1.5009e-05; 7.052e-06; true;1.54; 1.30756; 0.218043;0.01143416; 0.000761468; 0.000519178; true;TO; 1.3075; 0.219065;10.35; 0.5710; 0.0000; 5.5666; 2.4807;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-rhs.mata;12.28; 0.921803; 0.0754604; 11.6309;7.16; NOT EMPTY;1.67; 1.39625; 0.25492;0.00897889; 6.495e-06; 7.138e-06; true;1.91; 1.48973; 0.253081;0.16800510000000002; 1.7545e-05; 9.212e-06; true;1.8; 1.51342; 0.253798;0.0125463; 0.000732384; 0.000606877; true;TO; 1.50902; 0.245448;12.36; 0.5291; 0.0000; 7.2799; 3.1689;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-rhs.mata;12.37; 0.55534; 0.0525486; 11.7729;5.19; NOT EMPTY;1.24; 1.04808; 0.173223;0.00531621; 3.878e-06; 5.083e-06; true;1.34; 1.02306; 0.179302;0.1138004; 1.1044e-05; 5.101e-06; true;1.86; 1.56571; 0.256343;0.01357584; 0.000792182; 0.000588586; true;TO; 1.62749; 0.265125;13.31; 0.6524; 0.0000; 7.4600; 3.2650;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-rhs.mata;16.27; 0.54794; 0.0525515; 15.7943;7.56; NOT EMPTY;1.42; 1.21321; 0.186813;0.00693109; 4.262e-06; 7.582e-06; true;1.41; 1.0868; 0.190609;0.1167051; 1.0639e-05; 5.23e-06; true;1.29; 1.08265; 0.186761;0.00946551; 0.00062476; 0.000460635; true;TO; 1.11414; 0.191932;17.57; 0.3840; 0.0000; 10.1987; 5.3048;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-rhs.mata;17.7; 0.600384; 0.0603395; 17.1011;6.36; NOT EMPTY;1.87; 1.57265; 0.269038;0.010037609999999999; 5.138e-06; 6.85e-06; true;2.09; 1.64134; 0.268393;0.1724656; 1.3122e-05; 6.075e-06; true;2.14; 1.81124; 0.305369;0.015354650000000001; 0.000821417; 0.00057403; true;TO; 1.60295; 0.285005;16.72; 0.4989; 0.0000; 9.1088; 4.9442;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-rhs.mata;0.17; 0.103573; 0.00779338; 0.0590;0.21; NOT EMPTY;0.22; 0.193091; 0.0386278;0.001145336; 3.92e-06; 7.309e-06; true;0.23; 0.180433; 0.0373694;0.01695887; 1.2675e-05; 6.639e-06; true;0.22; 0.181732; 0.0360392;0.001396776; 0.00101001; 0.000822952; true;TO; 0.188897; 0.0384482;1.27; 0.0823; 0.0000; 0.0568; 0.0254;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-rhs.mata;21.46; 1.17267; 0.0948051; 20.4366;10.25; NOT EMPTY;26.31; 1.82741; 0.320175;0.01172143; 10.2416; 7.6765; false;2.44; 1.80678; 0.309269;0.212789; 0.0371873; 0.0445874; false;17.5; 1.80811; 0.239101;0.010564239999999999; 6.9549; 8.37594; false;TO; 1.67713; 0.29435;20.26; 0.4123; 0.0000; 11.9084; 6.2471;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-rhs.mata;0.44; 0.173137; 0.0152575; 0.2666;0.33; NOT EMPTY;0.69; 0.290496; 0.052395;0.0016796530000000001; 0.156116; 0.0729452; false;0.38; 0.298962; 0.0530724;0.0274756; 0.00438462; 0.00503747; false;0.57; 0.295834; 0.0525697;0.00207014; 0.0907839; 0.121803; false;TO; 0.294386; 0.0523831;1.13; 0.0753; 0.0000; 0.1357; 0.0627;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-rhs.mata;0.66; 0.245535; 0.0202275; 0.4140;0.31; NOT EMPTY;0.82; 0.255246; 0.047926;0.001713103; 0.218293; 0.121073; false;0.36; 0.276302; 0.0472682;0.0252489; 0.00495949; 0.00509915; false;0.66; 0.246436; 0.0465682;0.0018589589999999999; 0.129707; 0.225301; false;TO; 0.253349; 0.0474157;1.7; 0.1579; 0.0000; 0.2814; 0.1385;TO;TO
